iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,num_wins,num_losses,max_consec_wins,max_consec_losses
1,2021-07-19 10:00:00,2021-08-17 05:45:00,0.7436970718307824,13911.766138202787,13.911766138202847,67.77777777777779,90,-4.524845506657845,1.531611620214728,657.0624075601947,-902.3807145851415,61,29,6,2
2,2017-06-27 05:00:00,2017-07-26 00:45:00,1.0387562091279383,27854.044019699493,27.854044019699575,70.4225352112676,142,-3.325633222089256,1.6957867656393013,678.8648699683295,-953.1534042174634,100,42,6,2
3,2014-04-15 03:15:00,2014-05-13 23:00:00,0.585224167497065,13965.248774960442,13.965248774960552,65.04065040650406,123,-7.029516006232071,1.3593275045173216,660.3775987288589,-903.836258682518,79,44,5,3
