DateTime,Open,High,Low,Close,IC_Regime,IC_RegimeName,IC_Confidence,IC_ADX,IC_ChoppinessIndex,IC_BandWidth,IC_ATR_Normalized,IC_EfficiencyRatio,IC_DI_Plus,IC_DI_Minus,IC_BB_Upper,IC_BB_Middle,IC_BB_Lower,IC_Signal,IC_RiskLevel,MB_h2,MB_l2,MB_ha_avg,MB_Bias,MB_o2,MB_c2,NTI_FastEMA,NTI_SlowEMA,NTI_SlopePower,NTI_TrendPhase,NTI_DirectionRaw,NTI_Direction,NTI_Confidence,NTI_ReversalRisk,NTI_StallDetected,NTI_SlopeForecast,SuperTrend_Up,SuperTrend_Down,SuperTrend_Direction,ATR,SuperTrend_Line,SR_FractalHighs,SR_FractalLows,SR_Levels,SR_LevelTypes,SR_LevelStrengths
2010-01-03 17:00:00,0.8983,0.8986,0.8982,0.8985,0,Volatile Chop,0.0,0.0,50.0,0.0,0.044518642181408566,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986,0.8982,0.8984,-1,0.8984,0.8984,0.8985,0.8985,0.0,Neutral,-1,-1.0,50.0,False,False,0.0,0.8973000000000001,0.8996999999999998,1,0.00039999999999995595,0.8973000000000001,,,,,
2010-01-03 17:15:00,0.8987,0.8995,0.8987,0.8994,0,Volatile Chop,0.0,0.0,50.0,0.0,0.07782966422058911,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986064171122994,0.8982035650623885,0.898404991087344,1,0.8984,0.8984048128342246,0.8986636363636363,0.8985295081967213,0.0,Neutral,1,-1.0,50.0,False,False,0.0,0.8978727272727274,0.8996999999999998,1,0.0005090909090908732,0.8978727272727274,,,,,
2010-01-03 17:30:00,0.8994,0.8995,0.8988,0.899,0,Volatile Chop,0.0,0.0,50.0,0.0,0.07786429365961733,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986178329377448,0.8982106202001137,0.8984142265689292,1,0.8984024064171122,0.8984140877157862,0.8987247933884297,0.8985469338190649,0.0,Neutral,1,-1.0,50.0,False,False,0.0,0.8978727272727274,0.8996999999999998,1,0.0005438016528925186,0.8978727272727274,,,,,
2010-01-03 17:45:00,0.8991,0.8996,0.899,0.8993,0,Volatile Chop,0.0,0.0,50.0,0.0,0.07505837873901405,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986338098491002,0.8982217945939396,0.89842780222152,1,0.8984082470664493,0.8984273388243523,0.8988293764087152,0.8985743180438261,6.072818211643952,Impulse,1,-1.0,34.903703703703705,False,False,6.072818211643952,0.8978727272727274,0.8996999999999998,1,0.0005540195341847759,0.8978727272727274,,,,,
2010-01-03 18:00:00,0.8992,0.8996,0.8986,0.8992,0,Volatile Chop,0.0,0.0,50.0,0.0,0.0822953736654763,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986532582956446,0.8982332753948334,0.898443266845239,1,0.8984177929454008,0.8984429081355472,0.8988967625162215,0.8985974914496104,3.9319738022869517,Impulse,1,-1.0,33.637909031191576,False,False,3.9319738022869517,0.8978727272727274,0.8996999999999998,1,0.000635106891605726,0.8978727272727274,,,,,
2010-01-03 18:15:00,0.8993,0.8994,0.8988,0.8988,0,Volatile Chop,0.0,0.0,50.0,0.0,0.07973594422192086,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986738710081998,0.898246341226589,0.8984601061173945,1,0.8984303505404739,0.8984596540066607,0.898879169331454,0.8986054329613904,2.282780969018637,Impulse,1,-1.0,32.54088698168106,False,False,2.282780969018637,0.8978727272727274,0.8996999999999998,1,0.0006287238204046729,0.8978727272727274,,,,,
2010-01-03 18:30:00,0.8989,0.899,0.8981,0.8982,0,Volatile Chop,0.0,0.0,50.0,0.0,0.08270509272512899,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8986923999247846,0.8982555687968168,0.8984739843608007,1,0.8984450022735673,0.8984734620514636,0.8987556839984623,0.8985904169257833,-1.9953620491132984,Reversal,1,-1.0,16.294196236308238,True,False,-10.063542309870549,0.8978727272727274,0.8996999999999998,1,0.00067804676214928,0.8978727272727274,,,,,
2010-01-03 18:45:00,0.8983,0.8983,0.8971,0.8971,0,Volatile Chop,0.0,0.0,50.0,0.0,0.08917623453349319,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.898704167576326,0.8982545832055213,0.8984793753909237,1,0.8984592321625153,0.898478801622858,0.8984546505441964,0.8985371877498626,-5.090776963697379,Impulse,-1,-1.0,36.51140344641467,False,False,-14.11352772968171,0.8978727272727274,0.8994188420525482,-1,0.000772947350849407,0.8994188420525482,,,,,
2010-01-03 19:00:00,0.8971,0.8974,0.8962,0.8968,0,Volatile Chop,0.0,0.0,50.0,0.0,0.09416195856873473,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8987041192056031,0.8982391590012728,0.898471639103438,1,0.8984690168926865,0.8984715637342545,0.8981538049907061,0.898476233793727,-5.844756598867455,Impulse,-1,-1.0,41.48464416720066,False,False,-13.972294166753546,0.8942482201388242,0.8993517798611759,-1,0.0008505932870586018,0.8993517798611759,,,,,
2010-01-03 19:15:00,0.8968,0.8982,0.8966,0.8974,0,Volatile Chop,0.0,0.0,50.0,0.0,0.10251838644974108,0.0,0.0,0.0,0.0,0.0,0.0,-1,High,0.8987004867487204,0.8982153466838421,0.8984579167162812,-1,0.8984702903134705,0.8984571641552684,0.8980167495378504,0.8984363732828483,-5.734223702714534,Impulse,-1,-1.0,40.195657750609925,False,False,-9.473085356315769,0.8944394528408561,0.8993517798611759,-1,0.000986849053047955,0.8993517798611759,,,,,
