segment,sharpe,returns,win_rate,max_dd,trades
Recent 50k bars,1.9331572682247349,26.5638965549458,51.85034013605442,3.7543209516189107,14700
Previous 50k bars,0.5723260127725355,8.075982644209233,50.65862769513074,5.6860168906614525,15259
Last 20k bars,1.8609881076606871,9.689166402066851,52.052052052052055,3.7543209516193117,5994
Full available,1.2442902721568505,249.80342134483945,51.85441081377942,8.286746778785762,112893
