sl_pips,sharpe,returns,win_rate,max_dd,trades,profit_factor
30,0.02499114888596395,4.710482135489791,61.853448275862064,14.339676759843863,1856,1.0234810904300649
40,0.030966466035666697,6.2568803454437605,62.03599550056242,14.488224099533035,1778,1.0311266091707214
50,0.02926505519069916,5.821333385891947,62.19581211092247,14.499773428498253,1767,1.0298581856678062
60,0.02822398201618816,5.551277551178546,62.23103057757644,14.502275729095324,1766,1.028825585549436
70,0.02822398201618816,5.551277551178546,62.23103057757644,14.502275729095324,1766,1.028825585549436
80,0.031250897578660446,6.3354648485935305,62.26628895184136,14.502275729094988,1765,1.0319818839290578
100,0.031250897578660446,6.3354648485935305,62.26628895184136,14.502275729094988,1765,1.0319818839290578
