trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2013-02-07 12:00:00,1.027718,short,1.000000,47.021203,False,Standard (NTI+MB+IC),1.028718,10.000000,1.026176,1.024635,1.022579,2013-02-07 12:30:00,1.028794,stop_loss,0,0.500000,-1076.503458,-10.765035,-1076.503458,,,,,,,,,,
2,2013-02-07 12:45:00,1.028000,short,1.000000,48.365904,False,Standard (NTI+MB+IC),1.029000,10.000000,1.026458,1.024916,1.022860,2013-02-07 21:00:00,1.027965,trailing_stop,0,8.250000,1094.008047,0.345629,1094.008047,PPT,0.500000,424.769781,PPT,0.165000,254.429886,PPT,0.110550,170.468024,849.667691
3,2013-02-07 21:45:00,1.029190,short,1.000000,18.470955,False,Standard (NTI+MB+IC),1.029350,1.593829,1.027646,1.026103,1.024044,2013-02-07 22:00:00,1.029416,stop_loss,0,0.250000,-226.071868,-2.260719,-226.071868,,,,,,,,,,
4,2013-02-07 22:15:00,1.028871,short,1.000000,18.897649,False,Standard (NTI+MB+IC),1.029310,4.394523,1.027328,1.025784,1.023727,2013-02-07 23:30:00,1.028782,trailing_stop,0,1.250000,209.807431,0.886389,209.807431,PPT,0.500000,165.487965,,,,,,,165.487965
5,2013-02-08 03:15:00,1.032306,long,1.000000,45.441340,False,Standard (NTI+MB+IC),1.031306,10.000000,1.033855,1.035403,1.037468,2013-02-08 03:45:00,1.031187,stop_loss,0,0.500000,-1118.979784,-11.189798,-1118.979784,,,,,,,,,,
6,2013-02-08 04:00:00,1.031679,long,1.000000,52.825396,False,Standard (NTI+MB+IC),1.030679,10.000000,1.033227,1.034774,1.036838,2013-02-08 11:00:00,1.031763,trailing_stop,0,7.000000,1057.951092,0.839627,1057.951092,PPT,0.500000,285.398325,PPT,0.165000,255.340603,PPT,0.110550,171.078204,711.817132
7,2013-02-08 12:30:00,1.031013,long,1.000000,38.565241,False,Standard (NTI+MB+IC),1.031271,2.580929,1.032559,1.034106,1.036168,2013-02-08 12:45:00,1.031096,stop_loss,0,0.250000,82.749699,0.827497,82.749699,,,,,,,,,,
8,2013-02-08 13:00:00,1.031104,short,1.000000,42.915092,False,Standard (NTI+MB+IC),1.032088,9.836626,1.029558,1.028011,1.025949,2013-02-08 16:15:00,1.032096,stop_loss,0,3.250000,-991.898017,-9.918980,-991.898017,,,,,,,,,,
9,2013-02-10 23:30:00,1.029664,short,1.000000,52.890921,False,Standard (NTI+MB+IC),1.030664,10.000000,1.028120,1.026575,1.024516,2013-02-11 12:15:00,1.028736,trailing_stop,0,12.750000,1089.254957,9.281826,1089.254957,PPT,0.500000,317.007783,PPT,0.165000,254.841844,PPT,0.110550,170.744035,742.593662
10,2013-02-11 16:15:00,1.025735,short,1.000000,46.198800,False,Standard (NTI+MB+IC),1.026735,10.000000,1.024196,1.022658,1.020606,2013-02-11 17:45:00,1.025652,trailing_stop,0,1.500000,308.781903,0.826472,308.781903,PPT,0.500000,267.458315,,,,,,,267.458315
