trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2018-09-27 21:30:00,0.721350,short,1.000000,17.157720,False,Standard (NTI+MB+IC),0.721679,3.284755,0.720701,0.720052,0.719186,2018-09-27 23:30:00,0.721246,signal_flip,0,2.000000,104.524721,1.045247,104.524721,,,,,,,,,,
2,2018-09-28 11:15:00,0.723831,long,1.000000,48.027261,False,Standard (NTI+MB+IC),0.723331,5.000000,0.724482,0.725134,0.726002,2018-09-28 13:00:00,0.723146,stop_loss,0,1.750000,-684.587089,-6.845871,-684.587089,,,,,,,,,,
3,2018-09-28 13:30:00,0.722852,long,1.000000,17.696860,False,Standard (NTI+MB+IC),0.722352,5.000000,0.723503,0.724153,0.725021,2018-09-28 14:15:00,0.722216,stop_loss,0,0.750000,-636.176061,-6.361761,-636.176061,,,,,,,,,,
4,2018-10-01 01:30:00,0.720987,short,1.000000,44.603759,False,Standard (NTI+MB+IC),0.721487,5.000000,0.720338,0.719689,0.718824,2018-10-01 03:30:00,0.721550,stop_loss,0,2.000000,-52.112441,-5.628885,-52.112441,PPT,0.700000,116.754096,116.754096,,,,,,
5,2018-10-02 02:15:00,0.719874,short,1.000000,41.736979,False,Standard (NTI+MB+IC),0.720374,5.000000,0.719226,0.718578,0.717714,2018-10-02 02:30:00,0.720399,stop_loss,0,0.250000,-524.690252,-5.246903,-524.690252,,,,,,,,,,
6,2018-10-02 02:45:00,0.719997,short,1.000000,39.006628,False,Standard (NTI+MB+IC),0.720497,5.000000,0.719349,0.718701,0.717837,2018-10-02 11:00:00,0.718919,trailing_stop,0,8.250000,1032.040579,10.773313,1032.040579,PPT,0.700000,837.641139,944.774477,PPT,0.099000,64.151700,PPT,0.066330,42.981639
7,2018-10-02 21:15:00,0.717375,short,1.000000,35.438700,False,Standard (NTI+MB+IC),0.717875,5.000000,0.716730,0.716084,0.715223,2018-10-02 22:00:00,0.718027,stop_loss,0,0.750000,316.724731,-6.518138,316.724731,PPT,0.700000,297.761190,404.504494,PPT,0.099000,63.918146,PPT,0.066330,42.825158
8,2018-10-03 05:00:00,0.715433,short,1.000000,44.158730,False,Standard (NTI+MB+IC),0.715933,5.000000,0.714789,0.714145,0.713286,2018-10-17 04:15:00,0.706802,trailing_stop,0,335.250000,328.006010,86.309068,328.006010,PPT,0.700000,134.839201,241.293429,PPT,0.099000,63.745047,PPT,0.066330,42.709182
9,2018-10-17 05:15:00,0.714659,long,1.000000,38.073810,False,Standard (NTI+MB+IC),0.714159,5.000000,0.715302,0.715946,0.716803,2018-10-17 06:15:00,0.714094,stop_loss,0,1.000000,-565.721911,-5.657219,-565.721911,,,,,,,,,,
10,2018-10-17 06:45:00,0.712594,long,1.000000,17.927518,False,Standard (NTI+MB+IC),0.713682,10.879239,0.713236,0.713877,0.714732,2018-10-17 07:00:00,0.713498,stop_loss,0,0.250000,903.610745,9.036107,903.610745,,,,,,,,,,
11,2018-10-17 07:30:00,0.712616,short,1.000000,41.399686,False,Standard (NTI+MB+IC),0.713116,5.000000,0.711974,0.711333,0.710478,2018-10-17 11:30:00,0.712618,trailing_stop,0,4.000000,629.433945,-0.022607,629.433945,PPT,0.700000,438.086239,544.121338,PPT,0.099000,63.494071,PPT,0.066330,42.541028
12,2018-10-17 14:15:00,0.711606,short,1.000000,35.025505,False,Standard (NTI+MB+IC),0.712106,5.000000,0.710965,0.710325,0.709471,2018-10-17 20:45:00,0.711637,trailing_stop,0,6.500000,385.006897,-0.317306,385.006897,PPT,0.700000,192.973370,298.858160,PPT,0.099000,63.404066,PPT,0.066330,42.480724
13,2018-10-17 21:00:00,0.712066,short,1.000000,18.763643,False,Standard (NTI+MB+IC),0.712097,0.304107,0.711425,0.710784,0.709930,2018-10-17 22:00:00,0.712144,stop_loss,0,1.000000,66.051705,-0.780405,66.051705,PPT,0.700000,18.292761,81.737854,PPT,0.099000,63.445092,,,
14,2018-10-17 22:45:00,0.713205,long,1.000000,35.719779,False,Standard (NTI+MB+IC),0.712705,5.000000,0.713846,0.714488,0.715344,2018-10-18 01:15:00,0.712618,stop_loss,0,2.500000,-11.161575,-5.865709,-11.161575,PPT,0.700000,164.809682,164.809682,,,,,,
15,2018-10-18 01:30:00,0.712799,long,1.000000,17.184415,False,Standard (NTI+MB+IC),0.712299,5.000000,0.713440,0.714082,0.714937,2018-10-18 02:00:00,0.712195,stop_loss,0,0.500000,-603.376948,-6.033769,-603.376948,,,,,,,,,,
16,2018-10-18 02:30:00,0.712185,long,1.000000,18.821006,False,Standard (NTI+MB+IC),0.711959,2.260371,0.712826,0.713467,0.714322,2018-10-18 02:45:00,0.711775,stop_loss,0,0.250000,-409.900680,-4.099007,-409.900680,,,,,,,,,,
17,2018-10-18 03:00:00,0.712115,long,1.000000,21.779969,False,Standard (NTI+MB+IC),0.711965,1.506162,0.712756,0.713397,0.714252,2018-10-18 11:45:00,0.712426,trailing_stop,0,8.750000,328.511326,3.102371,328.511326,PPT,0.700000,136.240356,242.200987,PPT,0.099000,63.449480,PPT,0.066330,42.511151
18,2018-10-18 13:00:00,0.710926,short,1.000000,43.109154,False,Standard (NTI+MB+IC),0.711426,5.000000,0.710286,0.709646,0.708793,2018-10-18 14:30:00,0.710907,trailing_stop,0,1.500000,534.878048,0.190659,534.878048,PPT,0.700000,368.071486,473.855114,PPT,0.099000,63.343490,PPT,0.066330,42.440138
19,2018-10-18 14:45:00,0.710545,short,1.000000,44.181433,False,Standard (NTI+MB+IC),0.711045,5.000000,0.709905,0.709266,0.708413,2018-10-18 21:30:00,0.710500,trailing_stop,0,6.750000,657.215828,0.447145,657.215828,PPT,0.700000,465.408437,571.135381,PPT,0.099000,63.309548,PPT,0.066330,42.417397
20,2018-10-19 02:15:00,0.711626,long,1.000000,48.196279,False,Standard (NTI+MB+IC),0.711126,5.000000,0.712267,0.712907,0.713761,2018-10-19 03:00:00,0.710932,stop_loss,0,0.750000,-79.480510,-6.941575,-79.480510,PPT,0.700000,128.766732,128.766732,,,,,,
21,2018-10-19 07:00:00,0.713321,long,1.000000,47.729418,False,Standard (NTI+MB+IC),0.712821,5.000000,0.713963,0.714605,0.715460,2018-10-19 11:15:00,0.713272,trailing_stop,0,4.250000,448.698044,-0.485214,448.698044,PPT,0.700000,258.631464,364.771418,PPT,0.099000,63.556859,PPT,0.066330,42.583095
22,2018-10-19 12:00:00,0.712886,long,1.000000,19.361042,False,Standard (NTI+MB+IC),0.712386,5.000000,0.713527,0.714169,0.715024,2018-10-19 13:00:00,0.712266,stop_loss,0,1.000000,-619.886174,-6.198862,-619.886174,,,,,,,,,,
23,2018-10-19 13:15:00,0.712543,long,1.000000,23.521261,False,Standard (NTI+MB+IC),0.712157,3.864788,0.713184,0.713826,0.714681,2018-10-19 14:00:00,0.712134,stop_loss,0,0.750000,-409.006199,-4.090062,-409.006199,,,,,,,,,,
24,2018-10-19 14:15:00,0.712298,long,1.000000,26.234658,False,Standard (NTI+MB+IC),0.712181,1.171006,0.712939,0.713580,0.714435,2018-10-19 14:30:00,0.712158,stop_loss,0,0.250000,-139.916906,-1.399169,-139.916906,,,,,,,,,,
25,2018-10-19 15:15:00,0.711599,short,1.000000,62.556784,False,Standard (NTI+MB+IC),0.712099,5.000000,0.710959,0.710318,0.709464,2018-10-21 17:00:00,0.712105,stop_loss,0,49.750000,-26.197442,-5.055385,-26.197442,PPT,0.700000,125.464118,125.464118,,,,,,
26,2018-10-21 17:15:00,0.712189,short,1.000000,52.507441,False,Standard (NTI+MB+IC),0.712616,4.267762,0.711548,0.710907,0.710053,2018-10-22 02:30:00,0.711602,trailing_stop,0,9.250000,345.773760,5.874732,345.773760,PPT,0.700000,153.482703,259.454328,PPT,0.099000,63.456063,PPT,0.066330,42.515562
27,2018-10-22 05:45:00,0.710036,short,1.000000,35.861729,False,Standard (NTI+MB+IC),0.710536,5.000000,0.709396,0.708757,0.707905,2018-10-22 06:00:00,0.710716,stop_loss,0,0.250000,-680.512182,-6.805122,-680.512182,,,,,,,,,,
28,2018-10-22 07:00:00,0.710120,short,1.000000,47.520611,False,Standard (NTI+MB+IC),0.710620,5.000000,0.709481,0.708842,0.707990,2018-10-23 23:15:00,0.708083,trailing_stop,0,40.250000,324.696126,20.371188,324.696126,PPT,0.700000,132.963740,238.627458,PPT,0.099000,63.271687,PPT,0.066330,42.392031
29,2018-10-23 23:30:00,0.710194,long,1.000000,35.743926,False,Standard (NTI+MB+IC),0.709694,5.000000,0.710833,0.711472,0.712325,2018-10-24 02:00:00,0.709567,stop_loss,0,2.500000,-79.082887,-6.273977,-79.082887,PPT,0.700000,109.136427,109.136427,,,,,,
30,2018-10-24 04:15:00,0.708196,long,1.000000,45.597366,False,Standard (NTI+MB+IC),0.708869,6.723357,0.708834,0.709471,0.710321,2018-10-24 04:30:00,0.708788,stop_loss,0,0.250000,591.370026,5.913700,591.370026,,,,,,,,,,
31,2018-10-24 04:45:00,0.708141,short,1.000000,53.963840,False,Standard (NTI+MB+IC),0.708641,5.000000,0.707504,0.706866,0.706017,2018-10-24 05:00:00,0.708721,stop_loss,0,0.250000,-580.302161,-5.803022,-580.302161,,,,,,,,,,
32,2018-10-24 05:15:00,0.708811,short,1.000000,45.246298,False,Standard (NTI+MB+IC),0.709311,5.000000,0.708173,0.707535,0.706684,2018-10-24 06:45:00,0.709337,stop_loss,0,1.500000,-526.436381,-5.264364,-526.436381,,,,,,,,,,
33,2018-10-24 11:30:00,0.706951,short,1.000000,40.605816,False,Standard (NTI+MB+IC),0.707451,5.000000,0.706315,0.705679,0.704830,2018-10-24 20:30:00,0.706910,trailing_stop,0,9.000000,401.797857,0.414997,401.797857,PPT,0.700000,210.924594,316.116829,PPT,0.099000,62.989363,PPT,0.066330,42.202873
34,2018-10-24 22:15:00,0.707918,long,1.000000,47.391026,False,Standard (NTI+MB+IC),0.707418,5.000000,0.708555,0.709192,0.710041,2018-10-25 01:00:00,0.707304,stop_loss,0,2.750000,-63.369211,-6.132323,-63.369211,PPT,0.700000,120.600486,120.600486,,,,,,
35,2018-10-25 03:00:00,0.706157,long,1.000000,44.620736,False,Standard (NTI+MB+IC),0.707046,8.894608,0.706793,0.707428,0.708275,2018-10-25 03:15:00,0.706877,stop_loss,0,0.250000,720.020842,7.200208,720.020842,,,,,,,,,,
36,2018-10-25 03:30:00,0.706587,short,1.000000,53.096030,False,Standard (NTI+MB+IC),0.707087,5.000000,0.705951,0.705315,0.704467,2018-10-25 04:45:00,0.707238,stop_loss,0,1.250000,204.132221,-6.515060,204.132221,PPT,0.700000,186.732539,291.870529,PPT,0.099000,62.956880,PPT,0.066330,42.181110
37,2018-10-25 05:15:00,0.708116,short,1.000000,21.809367,False,Standard (NTI+MB+IC),0.707488,6.285402,0.707479,0.706842,0.705992,2018-10-25 05:30:00,0.707488,stop_loss,0,0.250000,628.311276,6.283113,628.311276,,,,,,,,,,
