trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2016-05-16 22:15:00,0.736310,long,1.000000,46.540421,False,Standard (NTI+MB+IC),0.735310,10.000000,0.737414,0.738519,0.739991,2016-05-16 23:00:00,0.735172,stop_loss,0,0.750000,-1137.434808,-11.374348,-1137.434808,,,,,,,,,,
2,2016-05-16 23:15:00,0.734836,long,1.000000,56.719749,False,Standard (NTI+MB+IC),0.733836,10.000000,0.735939,0.737041,0.738511,2016-05-17 04:15:00,0.733673,stop_loss,1,5.000000,555.290210,-11.635787,555.290210,PPT,0.500000,381.801793,TP1,0.333333,367.418198,749.219991,,,
3,2016-05-17 05:00:00,0.732373,long,1.000000,16.748564,False,Standard (NTI+MB+IC),0.732332,0.409390,0.733471,0.734570,0.736034,2016-05-17 05:15:00,0.732207,stop_loss,0,0.250000,-165.985672,-1.659857,-165.985672,,,,,,,,,,
4,2016-05-17 05:30:00,0.732334,long,1.000000,17.688731,False,Standard (NTI+MB+IC),0.732379,0.445670,0.733433,0.734531,0.735996,2016-05-17 07:00:00,0.732369,stop_loss,0,1.500000,50.374909,0.349661,50.374909,PPT,0.500000,32.891876,,,,32.891876,,,
5,2016-05-17 12:00:00,0.735514,long,1.000000,51.954425,False,Standard (NTI+MB+IC),0.734514,10.000000,0.736617,0.737720,0.739191,2016-05-17 12:30:00,0.734507,stop_loss,0,0.500000,-1006.486787,-10.064868,-1006.486787,,,,,,,,,,
6,2016-05-17 12:45:00,0.734118,long,1.000000,46.429120,False,Standard (NTI+MB+IC),0.733118,10.000000,0.735219,0.736320,0.737788,2016-05-17 13:45:00,0.733007,stop_loss,0,1.000000,-1110.332266,-11.103323,-1110.332266,,,,,,,,,,
7,2016-05-17 14:45:00,0.732324,long,1.000000,20.058852,False,Standard (NTI+MB+IC),0.732790,4.658377,0.733423,0.734521,0.735986,2016-05-17 15:00:00,0.732612,stop_loss,0,0.250000,286.555923,2.873176,286.555923,PPT,0.500000,142.897134,,,,142.897134,,,
8,2016-05-17 15:30:00,0.732485,short,1.000000,45.420898,False,Standard (NTI+MB+IC),0.733485,10.000000,0.731387,0.730288,0.728823,2016-05-17 20:30:00,0.730288,take_profit_2,2,5.000000,1050.202354,21.974563,1050.202354,PPT,0.500000,317.716920,TP1,0.333333,366.242717,1050.202354,TP2,0.166667,366.242717
9,2016-05-17 20:45:00,0.729371,short,1.000000,71.731826,False,Standard (NTI+MB+IC),0.730371,10.000000,0.728277,0.727183,0.725724,2016-05-17 21:00:00,0.730566,stop_loss,0,0.250000,-1195.048454,-11.950485,-1195.048454,,,,,,,,,,
10,2016-05-17 21:15:00,0.730414,short,1.000000,75.226733,False,Standard (NTI+MB+IC),0.731414,10.000000,0.729318,0.728222,0.726761,2016-05-17 23:45:00,0.728222,take_profit_2,2,2.500000,1607.190448,21.912407,1607.190448,PPT,0.500000,876.776895,TP1,0.333333,365.206777,1607.190448,TP2,0.166667,365.206777
11,2016-05-18 00:00:00,0.728365,short,1.000000,71.309100,False,Standard (NTI+MB+IC),0.729365,10.000000,0.727273,0.726180,0.724724,2016-05-18 05:30:00,0.728346,trailing_stop,1,5.500000,840.091780,0.194515,840.091780,PPT,0.500000,472.667193,TP1,0.333333,364.182667,836.849860,,,
12,2016-05-18 05:45:00,0.727923,short,1.000000,14.166300,False,Standard (NTI+MB+IC),0.728923,10.000000,0.726831,0.725739,0.724283,2016-05-18 09:00:00,0.725739,take_profit_2,2,3.250000,1344.283079,21.837682,1344.283079,PPT,0.500000,616.360358,TP1,0.333333,363.961360,1344.283079,TP2,0.166667,363.961360
13,2016-05-18 09:15:00,0.725546,short,1.000000,43.040681,False,Standard (NTI+MB+IC),0.726546,10.000000,0.724458,0.723369,0.721918,2016-05-18 10:00:00,0.726606,stop_loss,0,0.750000,-1059.906286,-10.599063,-1059.906286,,,,,,,,,,
14,2016-05-18 13:15:00,0.729619,long,1.000000,43.579448,False,Standard (NTI+MB+IC),0.728619,10.000000,0.730714,0.731808,0.733267,2016-05-18 14:00:00,0.728429,stop_loss,0,0.750000,-1190.097833,-11.900978,-1190.097833,,,,,,,,,,
15,2016-05-18 14:30:00,0.723277,short,1.000000,56.040042,False,Standard (NTI+MB+IC),0.724277,10.000000,0.722192,0.721107,0.719661,2016-05-18 21:30:00,0.721107,take_profit_2,2,7.000000,1016.721940,21.698307,1016.721940,PPT,0.500000,293.445050,TP1,0.333333,361.638445,1016.721940,TP2,0.166667,361.638445
16,2016-05-18 21:45:00,0.721206,short,1.000000,26.407367,False,Standard (NTI+MB+IC),0.722206,10.000000,0.720124,0.719042,0.717600,2016-05-18 22:00:00,0.722264,stop_loss,0,0.250000,-1058.108373,-10.581084,-1058.108373,,,,,,,,,,
