num,direction,entry_price,exit_price,position_size,pnl,pnl_pct,tp_hits,partial_exits,exit_reason,pattern,sl_outcome
1,short,0.6120141034565973,0.612710359463989,1000000.0,-696.2560073916491,-0.11376469977722108,0,0,stop_loss,Pure SL (Loss),Loss
2,short,0.6136897060920942,0.6138238028202594,1000000.0,-134.09672816522277,-0.021850900680595635,0,0,stop_loss,Pure SL (Loss),Loss
3,short,0.6137414335858941,0.6138394370224257,1000000.0,-98.00343653165733,-0.015968196241706336,0,0,stop_loss,Pure SL (Loss),Loss
4,short,0.6135951546283597,0.6137189707507735,3000000.0,-105.16732397582325,-0.005713176578103884,0,1,stop_loss,Partial Exit → SL (Loss),Loss
5,long,0.6145669200496648,0.6139922843236347,3000000.0,-1723.9071780903448,-0.09350254744978416,0,0,stop_loss,Pure SL (Loss),Loss
6,long,0.6146846040301538,0.6140362491045984,3000000.0,-1945.0647766661166,-0.10547765818510182,0,0,stop_loss,Pure SL (Loss),Loss
7,long,0.6148541904968908,0.614244678652565,3000000.0,-1828.535532977349,-0.09913111982423174,0,0,stop_loss,Pure SL (Loss),Loss
8,long,0.6155095603867935,0.6149824181884841,1000000.0,1220.8699010711398,0.19835108658652367,0,3,stop_loss,Partial Exit → SL (Profit),Profit
9,long,0.6174855406830951,0.6187822603185297,1000000.0,1809.924013658788,0.2931119669063918,0,4,take_profit_1,,
10,long,0.6187415723240691,0.6181811484885774,1000000.0,-560.4238354917079,-0.09057478284297067,0,0,stop_loss,Pure SL (Loss),Loss
11,long,0.6179970205654802,0.6173711122469352,1000000.0,-625.908318545032,-0.10128015147586192,0,0,stop_loss,Pure SL (Loss),Loss
12,long,0.6221119731012539,0.6214726117226853,1000000.0,-161.7232470547125,-0.025995842235364063,0,1,stop_loss,Partial Exit → SL (Loss),Loss
13,long,0.621732836113132,0.6212107366529576,1000000.0,-522.0994601744521,-0.08397488918848893,0,0,stop_loss,Pure SL (Loss),Loss
14,long,0.6179475881473434,0.6190039409716168,1000000.0,1056.3528242734099,0.1709453753902399,0,0,stop_loss,Pure SL (Profit),Profit
15,long,0.6185044983613884,0.6190764553174005,3000000.0,1715.8708680362622,0.09247417885033658,0,0,stop_loss,Pure SL (Profit),Profit
16,short,0.6188044726553222,0.6194488656001977,3000000.0,-1933.1788346265143,-0.10413514661753835,0,0,stop_loss,Pure SL (Loss),Loss
17,long,0.6233578529595766,0.6246669044507916,1000000.0,1656.369499642637,0.265717274881279,0,4,take_profit_1,,
18,long,0.6256496288617422,0.6251003175128178,3000000.0,-1647.934046773325,-0.08779855746479312,0,0,stop_loss,Pure SL (Loss),Loss
19,long,0.6249169326862251,0.6243472722489773,3000000.0,-706.3808382306768,-0.037678652488754336,0,1,stop_loss,Partial Exit → SL (Loss),Loss
20,long,0.6268307491990779,0.628147093772396,1000000.0,1477.833891889211,0.2357628265329178,0,4,take_profit_1,,
21,long,0.6282280793579431,0.6295473583245947,3000000.0,4306.259966591606,0.228487079140252,0,4,take_profit_1,,
22,short,0.6268698989392157,0.6255534721514434,1000000.0,1534.229169835799,0.24474443140945346,0,4,take_profit_1,,
23,short,0.626068771037117,0.6266244980518196,1000000.0,-555.7270147026338,-0.08876453201491616,0,0,stop_loss,Pure SL (Loss),Loss
24,long,0.6282407773560619,0.6295600829885096,1000000.0,1434.5560486228649,0.22834494358359927,0,4,take_profit_1,,
25,long,0.6295967250052177,0.6289045722994684,1000000.0,-692.1527057492938,-0.10993588089956434,0,0,stop_loss,Pure SL (Loss),Loss
26,short,0.6281118586378561,0.6286595996844327,1000000.0,-214.57315071382934,-0.03416161433079128,0,1,stop_loss,Partial Exit → SL (Loss),Loss
27,short,0.6290278595081078,0.6288408620816999,1000000.0,186.99742640793104,0.02972800386840748,0,0,stop_loss,Pure SL (Profit),Profit
28,short,0.6284105553776399,0.6289214236995617,1000000.0,-252.9985010664626,-0.04026006547812115,0,1,stop_loss,Partial Exit → SL (Loss),Loss
29,short,0.6258993145105476,0.626548155340716,1000000.0,-648.8408301683623,-0.10366536839487595,0,0,stop_loss,Pure SL (Loss),Loss
30,short,0.624323279735502,0.6248813755369615,1000000.0,-168.24187426230154,-0.02694787776191497,0,1,stop_loss,Partial Exit → SL (Loss),Loss
31,short,0.6245672195753894,0.6252578935690366,1000000.0,-690.6739936471951,-0.11058441301430265,0,0,stop_loss,Pure SL (Loss),Loss
32,long,0.6273008064667902,0.6266303122894059,1000000.0,997.7678419483715,0.15905731854039856,0,3,stop_loss,Partial Exit → SL (Profit),Profit
33,short,0.6262035081470384,0.6268486471756306,1000000.0,-645.1390285922009,-0.10302386048605724,0,0,stop_loss,Pure SL (Loss),Loss
34,short,0.6268113812945493,0.6274904792528777,1000000.0,-679.0979583284341,-0.10834167639488257,0,0,stop_loss,Pure SL (Loss),Loss
35,long,0.6296181805216583,0.6290208395021822,1000000.0,-257.7180551962,-0.04093243542978263,0,1,stop_loss,Partial Exit → SL (Loss),Loss
36,long,0.6291867360673633,0.6289296128773115,1000000.0,-257.12319005177784,-0.04086595843690023,0,0,stop_loss,Pure SL (Loss),Loss
37,short,0.6280293763804575,0.6267105146900586,1000000.0,1539.7672790459628,0.24517440377075264,0,4,take_profit_1,,
38,short,0.6248687694139938,0.6254557280301318,3000000.0,-1760.8758484140008,-0.09393310161563267,0,0,stop_loss,Pure SL (Loss),Loss
39,short,0.6252247514795357,0.6257996301244574,3000000.0,-1724.6359347650175,-0.09194751864210049,0,0,stop_loss,Pure SL (Loss),Loss
