crypto,config,iteration,start_date,end_date,sharpe_ratio,total_pnl,win_rate,max_drawdown,profit_factor,total_trades
ETH,Config 1: Crypto Ultra-Tight,15,2018-07-05 00:00:00,2018-09-26 07:45:00,0.17757086301611968,535955567.44037324,87.3529411764706,-0.002539772897440049,5193328357.9896555,1360
ETH,Config 1: Crypto Ultra-Tight,16,2021-03-06 15:30:00,2021-05-28 23:15:00,0.17788104387512063,5277625396.555221,94.44444444444444,-7.547388430822885e-09,135334816878.08937,1170
ETH,Config 1: Crypto Ultra-Tight,17,2017-07-22 04:00:00,2017-10-13 11:45:00,0.17769075676663412,371069383.34312475,89.14819136522753,-8.15733357065277e-08,6649938313.890317,857
ETH,Config 1: Crypto Ultra-Tight,18,2015-11-01 23:15:00,2016-01-24 07:00:00,0.1782878167116989,3649234.6462337356,64.62585034013605,-2.198346067702366e-06,29240661.00183914,588
ETH,Config 1: Crypto Ultra-Tight,19,2024-05-13 15:30:00,2024-08-04 23:15:00,0.17751801995104036,3350966568.409325,87.74145616641901,-7.023431195896814e-09,33840010490.690533,1346
ETH,Config 1: Crypto Ultra-Tight,20,2021-02-22 04:00:00,2021-05-16 11:45:00,0.1775095297635797,4287020545.370985,94.13735343383584,-1.704569876353687e-09,102082005733.90393,1194
ETH,Config 1: Crypto Ultra-Tight,21,2020-06-12 12:30:00,2020-09-03 20:15:00,0.1795821774021558,381190843.8328536,87.61583824768323,-0.0011484889880951131,150.32950306744056,1187
ETH,Config 1: Crypto Ultra-Tight,22,2021-09-05 11:45:00,2021-11-27 19:30:00,0.17752409287299378,4583378557.748492,91.8918918918919,-0.0011190233284070637,84856977252.5233,1110
ETH,Config 1: Crypto Ultra-Tight,23,2017-11-02 22:15:00,2018-01-25 06:00:00,0.18315888269444902,1600501516.4065473,90.60887512899896,-2.395772858096918e-06,29313441384.641033,969
ETH,Config 1: Crypto Ultra-Tight,24,2018-07-25 03:45:00,2018-10-16 11:30:00,0.17753299074791856,470216762.6028584,85.98130841121495,-0.00200001522898674,4018916087.903415,1391
ETH,Config 1: Crypto Ultra-Tight,25,2025-01-01 17:30:00,2025-03-26 01:15:00,0.17751497078733605,3824286918.3430614,91.37134052388289,-1.3004095032276077e-08,56904103025.19452,1298
ETH,Config 1: Crypto Ultra-Tight,26,2023-01-10 17:00:00,2023-04-04 00:45:00,0.17759691554916482,1604816914.8111756,89.78622327790974,-0.0011854946335977344,20738739366.852783,1263
ETH,Config 1: Crypto Ultra-Tight,27,2022-06-16 02:45:00,2022-09-07 10:30:00,0.1776344045955467,2364015909.747866,90.6158357771261,-1.249840592514801e-07,30785926678.990932,1364
ETH,Config 1: Crypto Ultra-Tight,28,2023-02-11 11:45:00,2023-05-05 19:30:00,0.17759699995235415,1670630485.3163035,90.96573208722741,-0.005998648703098297,24008718722.84036,1284
ETH,Config 1: Crypto Ultra-Tight,29,2022-09-14 06:00:00,2022-12-06 13:45:00,0.1775699049701447,1604888264.4120831,90.12066365007541,-0.002792611943032131,20422117724.93884,1326
ETH,Config 1: Crypto Ultra-Tight,30,2021-06-23 15:45:00,2021-09-14 23:30:00,0.17768866577309372,4160463053.0194855,93.2603201347936,-0.0009345531020362273,86678176262.12025,1187
ETH,Config 2: Crypto Scalping,1,2020-12-07 13:45:00,2021-02-28 21:30:00,0.177563227775003,4564605876.761517,92.51259899208063,-2.243234925473771e-08,146296753683.97183,1389
ETH,Config 2: Crypto Scalping,2,2016-01-14 06:00:00,2016-04-06 13:45:00,0.1782841134615801,40443707.537258975,63.627730294396954,-6.261429988876975e-07,355705314.0013761,1053
ETH,Config 2: Crypto Scalping,3,2019-08-13 09:00:00,2019-11-04 16:45:00,0.17800873546174117,355851566.09176147,84.7926267281106,-1.6657583774103323e-08,728.5679866713851,1519
ETH,Config 2: Crypto Scalping,4,2021-12-20 21:45:00,2022-03-14 05:30:00,0.17750646019995625,7123955806.938575,91.23533471359558,-0.0006002978364225852,186935519638.0819,1449
ETH,Config 2: Crypto Scalping,5,2018-08-20 17:00:00,2018-11-12 00:45:00,0.17750921569484623,511559301.9929208,83.9506172839506,-1.0180426928668263e-08,6269061358.324351,1701
ETH,Config 2: Crypto Scalping,6,2021-04-30 14:30:00,2021-07-22 22:15:00,0.1775524282390481,9652983840.017347,93.4228187919463,-2.1465672763276728e-09,328253856631.52313,1490
ETH,Config 2: Crypto Scalping,7,2016-09-15 20:00:00,2016-12-08 03:45:00,0.17815109111168542,18686156.309611004,68.0952380952381,-0.0010000003385357559,232414801.79205307,840
ETH,Config 2: Crypto Scalping,8,2020-04-22 09:15:00,2020-07-14 17:00:00,0.18043337321239705,346945910.8090911,87.06395348837209,-1.0195263550490905e-08,6497064963.769082,1376
ETH,Config 2: Crypto Scalping,9,2016-04-28 07:15:00,2016-07-20 15:00:00,0.18027325928992,42343394.022254854,71.31394182547643,-0.0010000003385357559,495244258.4451087,997
ETH,Config 2: Crypto Scalping,10,2021-11-29 22:45:00,2022-02-21 06:30:00,0.17751855667047062,7426129769.697075,91.08695652173913,-0.0006259156685958515,2710.9719344846767,1380
ETH,Config 2: Crypto Scalping,11,2021-12-16 02:30:00,2022-03-09 10:15:00,0.17751178063330492,7191549406.726029,91.69014084507042,-0.0002939546564345399,204838195138.17435,1420
ETH,Config 2: Crypto Scalping,12,2017-10-17 18:00:00,2018-01-09 01:45:00,0.17752646114604728,1450520929.1783783,88.65979381443299,-0.0010947737379678325,40294364834.64136,1067
ETH,Config 2: Crypto Scalping,13,2018-09-30 13:15:00,2018-12-22 21:00:00,0.17753220398507097,332328264.5563435,83.63298202107873,-4.390762259766702e-08,4196031996.7606583,1613
ETH,Config 2: Crypto Scalping,14,2023-10-19 21:15:00,2024-01-11 05:00:00,0.1775137935462721,3193683361.7173967,90.0,-6.666729277582412e-09,418.7645444207043,1550
ETH,Config 2: Crypto Scalping,15,2021-07-14 21:30:00,2021-10-06 05:15:00,0.17751088668860618,6761744232.56755,92.6953981008035,-0.0005851820252457414,225337293163.58704,1369
ETH,Config 2: Crypto Scalping,16,2018-09-12 16:45:00,2018-12-05 00:30:00,0.17840416904415482,438837244.8305355,83.74325134973006,-1.1144680183751032e-08,5397710989.101935,1667
ETH,Config 2: Crypto Scalping,17,2020-11-03 07:45:00,2021-01-25 15:30:00,0.17757546932095788,2771784609.1459246,91.32947976878613,-0.0006199741240120228,76997613684.82384,1384
ETH,Config 2: Crypto Scalping,18,2020-03-25 22:00:00,2020-06-17 05:45:00,0.17765764762559666,372615686.72083026,89.08132530120481,-7.177684008980967e-08,8565812632.327773,1328
ETH,Config 2: Crypto Scalping,19,2016-12-01 10:15:00,2017-02-22 18:00:00,0.17876503645848596,17219129.74464632,68.90012642225032,-3.414537477120496e-07,234273795.76676422,791
ETH,Config 2: Crypto Scalping,20,2020-05-15 20:00:00,2020-08-07 03:45:00,0.17752988596452984,414142926.5881727,85.08005822416303,-1.4200535433833646e-08,6733980051.790497,1374
ETH,Config 2: Crypto Scalping,21,2018-07-25 06:30:00,2018-10-16 14:15:00,0.17753158451050993,760255040.2329824,87.20930232558139,-1.3851789865596835e-08,12125187422.373177,1634
ETH,Config 2: Crypto Scalping,22,2016-01-22 15:15:00,2016-04-14 23:00:00,0.17802654505299864,43109769.23809762,63.7546468401487,-4.2838430649223957e-07,371315717.1404325,1076
ETH,Config 2: Crypto Scalping,23,2021-07-19 21:00:00,2021-10-11 04:45:00,0.1775451380643639,6816476303.304312,92.82511210762333,-2.4435611837461782e-09,236626309331.4735,1338
ETH,Config 2: Crypto Scalping,24,2019-03-11 07:30:00,2019-06-02 15:15:00,0.17768732830259484,458952899.26693225,87.43016759776536,-0.0006265570977733444,8499063049.143211,1432
ETH,Config 2: Crypto Scalping,25,2023-05-14 13:15:00,2023-08-05 21:00:00,0.1775623742516684,1767173797.7063384,87.98342541436463,-1.3480125815687193e-08,33845766121.746777,1448
ETH,Config 2: Crypto Scalping,26,2022-07-28 21:45:00,2022-10-20 05:30:00,0.17750863683700255,3012272205.977579,89.83768525052929,-1.0270999848731756e-09,70199484809.41032,1417
ETH,Config 2: Crypto Scalping,27,2023-11-30 09:00:00,2024-02-21 16:45:00,0.17785314379446773,3533963959.057862,87.23274282223579,-7.793448295178857e-08,56349512582.69814,1637
ETH,Config 2: Crypto Scalping,28,2023-01-31 00:30:00,2023-04-24 08:15:00,0.17752508874573203,2543407856.3990407,90.32042723631508,-2.3862488786183883e-08,58455090882.77892,1498
ETH,Config 2: Crypto Scalping,29,2023-12-17 08:45:00,2024-03-09 16:30:00,0.17751923508941864,4029957750.5959864,86.66666666666667,-0.001000240445137024,66157454841.45737,1530
ETH,Config 2: Crypto Scalping,30,2017-11-11 22:30:00,2018-02-03 06:15:00,0.17806190420109713,3043299075.0041895,91.70984455958549,-0.000673071108454713,106791294508.76373,1158
