trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2023-10-27 05:00:00,0.635116,long,1.000000,34.808287,False,Standard (NTI+MB+IC),0.634116,10.000000,0.636069,0.637021,0.638292,2023-10-27 06:15:00,0.635134,trailing_stop,0,1.250000,18.218100,0.182181,18.218100,,,,,,,,,,
2,2023-10-27 13:15:00,0.633755,long,1.000000,46.886889,False,Standard (NTI+MB+IC),0.634140,3.845943,0.634706,0.635656,0.636924,2023-10-27 13:30:00,0.634070,stop_loss,0,0.250000,315.030158,3.150302,315.030158,,,,,,,,,,
3,2023-10-27 13:45:00,0.633644,short,1.000000,52.824664,False,Standard (NTI+MB+IC),0.634644,10.000000,0.632694,0.631743,0.630476,2023-10-27 15:15:00,0.633579,trailing_stop,0,1.500000,65.545653,0.655457,65.545653,,,,,,,,,,
4,2023-10-27 15:30:00,0.633220,short,1.000000,50.617104,False,Standard (NTI+MB+IC),0.634220,10.000000,0.632270,0.631320,0.630054,2023-10-29 17:15:00,0.634252,stop_loss,0,49.750000,-1032.370131,-10.323701,-1032.370131,,,,,,,,,,
5,2023-10-29 20:30:00,0.634988,long,1.000000,48.940930,False,Standard (NTI+MB+IC),0.633988,10.000000,0.635940,0.636893,0.638163,2023-10-30 00:00:00,0.635057,trailing_stop,0,3.500000,436.320560,0.690931,436.320560,TP0,0.500000,256.014847,TP0,0.165000,157.159523,413.174370,,,
6,2023-10-30 01:30:00,0.635558,long,1.000000,29.181579,False,Standard (NTI+MB+IC),0.634558,10.000000,0.636511,0.637465,0.638736,2023-10-30 02:30:00,0.635650,trailing_stop,0,1.000000,301.867245,0.918464,301.867245,TP0,0.500000,255.944025,,,,255.944025,,,
7,2023-10-30 04:00:00,0.636154,long,1.000000,24.182689,False,Standard (NTI+MB+IC),0.635154,10.000000,0.637108,0.638062,0.639335,2023-10-30 21:15:00,0.636170,trailing_stop,0,17.250000,770.206113,0.157245,770.206113,TP0,0.500000,293.090751,TP0,0.165000,157.448070,556.029028,TP0,0.110550,105.490207
8,2023-10-30 23:00:00,0.634976,short,1.000000,49.222710,False,Standard (NTI+MB+IC),0.635976,10.000000,0.634023,0.633071,0.631801,2023-10-31 01:15:00,0.634961,trailing_stop,0,2.250000,265.049805,0.145250,265.049805,TP0,0.500000,257.787297,,,,257.787297,,,
9,2023-10-31 02:30:00,0.636280,short,1.000000,21.114693,False,Standard (NTI+MB+IC),0.636240,0.401165,0.635326,0.634371,0.633099,2023-10-31 03:15:00,0.636187,trailing_stop,0,0.750000,408.681331,0.929547,408.681331,TP0,0.500000,220.062171,TP0,0.165000,157.479331,377.541502,,,
10,2023-10-31 04:15:00,0.636797,long,1.000000,40.582458,False,Standard (NTI+MB+IC),0.635797,10.000000,0.637752,0.638707,0.639981,2023-10-31 05:00:00,0.636815,trailing_stop,0,0.750000,18.169275,0.181693,18.169275,,,,,,,,,,
