iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,primary_year
17,2023-11-15 13:45:00,2024-04-11 11:45:00,1.2988146522510144,187831.2882217972,187.83128822179808,58.66819747416763,871,-2.851598900267381,2.13602291817848,691.1397190070745,-459.28085608560764,2023
18,2023-01-16 00:15:00,2023-07-27 05:00:00,1.7148395457191246,329826.5954248452,329.82659542484834,61.23959296947271,1081,-1.8079429248441619,2.661064150202341,798.1722441266672,-473.8984014009771,2023
19,2020-08-27 06:30:00,2021-01-24 20:15:00,2.030725887344699,406584.9721421561,406.5849721421592,60.24193548387097,1240,-1.8454349001519008,2.703653314632757,863.7747412068823,-484.0867333456106,2020
20,2019-02-11 01:30:00,2019-07-07 18:15:00,1.7288271753086797,269265.22765093396,269.2652276509368,63.24972737186477,917,-1.5279361558243985,2.6697550964240766,742.2854130239864,-478.5172460029048,2019
21,2023-05-31 19:45:00,2023-11-10 09:15:00,1.6406516229325803,278429.1814443497,278.42918144435214,60.290117860380775,1103,-1.9999999999997673,2.35053201143448,728.7094352964303,-470.69085166159107,2023
22,2019-04-02 06:15:00,2019-08-26 22:00:00,1.7077792931739477,225250.49785203207,225.25049785203342,64.31014823261117,877,-1.9032313038290911,2.5309927861802315,660.2439320378026,-470.05456810635496,2019
23,2023-04-26 05:00:00,2023-10-17 09:30:00,1.625053219096222,272690.56026438426,272.6905602643862,59.40959409594095,1084,-2.497758395043135,2.316943619546649,744.9592552828933,-470.59818213136333,2023
24,2020-03-12 01:15:00,2020-08-05 07:15:00,1.9142217121924534,511569.9573916468,511.56995739164125,62.28615863141525,1286,-1.4277976810010486,3.2090878441541175,927.7717309804094,-477.4746373683747,2020
25,2020-12-17 18:30:00,2021-05-14 14:15:00,1.6520140060977546,268734.56463687855,268.7345646368818,58.55130784708249,994,-3.4404714695970298,2.384389570755006,795.2788613891624,-471.15954536799745,2020
26,2018-05-23 06:15:00,2018-10-16 10:00:00,1.8388032323307302,351936.35397899937,351.93635397900283,64.38746438746439,1053,-3.0224317449271942,2.9862278383007443,780.4198584024942,-472.50216004771346,2018
27,2018-11-27 03:15:00,2019-04-23 22:30:00,1.7993969872951783,346419.82794477424,346.4198279447764,61.05263157894737,1045,-1.5350293666669894,2.76170913478215,851.1885895563735,-483.1412584574776,2018
28,2018-07-03 22:00:00,2018-11-27 01:45:00,2.0073274445432006,381069.54501014354,381.06954501014695,65.54472984942427,1129,-1.5681744876817851,3.083049145855365,762.1728124750296,-470.2784992837514,2018
29,2021-04-28 04:15:00,2021-09-22 04:00:00,1.4188767944477034,179349.34599844084,179.34934599844158,58.369565217391305,920,-1.9999999999997673,2.0204450902841464,661.2762471782821,-458.8929470921607,2021
30,2024-10-30 10:15:00,2025-03-27 10:00:00,1.7485531579933185,288922.588422312,288.92258842231473,61.756373937677054,1059,-1.932038694899673,2.5079887605688675,734.735848338022,-473.07322565618597,2024
31,2020-03-16 21:15:00,2020-08-10 03:15:00,1.9308819225390437,480974.44295769837,480.9744429576965,61.96513470681458,1262,-1.3956259304695646,3.0996997610220376,907.9829182626082,-477.2254148409624,2020
32,2022-06-24 12:30:00,2022-11-17 16:30:00,2.2024649784334103,639335.0522670337,639.3350522670307,61.5606936416185,1384,-2.020837910003362,3.5693820237004252,1042.445290827414,-467.72243518405975,2022
