trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2018-06-01 01:00:00,0.753972,short,1.000000,56.659358,False,Standard (NTI+MB+IC),0.754472,5.000000,0.753293,0.752615,0.751710,2018-06-01 02:30:00,0.754643,stop_loss,0,1.500000,-671.539693,-6.715397,-671.539693,,,,,,,,,,
2,2018-06-01 02:45:00,0.754785,short,1.000000,60.979616,False,Standard (NTI+MB+IC),0.755285,5.000000,0.754106,0.753426,0.752521,2018-06-01 03:15:00,0.755325,stop_loss,0,0.500000,-540.324093,-5.403241,-540.324093,,,,,,,,,,
3,2018-06-01 03:30:00,0.755959,short,1.000000,24.409894,False,Standard (NTI+MB+IC),0.756117,1.578615,0.755279,0.754598,0.753691,2018-06-01 11:00:00,0.754458,trailing_stop,0,7.500000,770.550601,15.015578,770.550601,TP0,0.700000,566.439390,TP0,0.099000,67.355965,TP0,0.066330,45.128496,678.923851
4,2018-06-03 21:30:00,0.759767,long,1.000000,40.469293,False,Standard (NTI+MB+IC),0.759267,5.000000,0.760451,0.761135,0.762047,2018-06-05 10:00:00,0.764929,trailing_stop,0,36.500000,382.080817,51.618664,382.080817,TP0,0.700000,176.943667,TP0,0.099000,67.695260,TP0,0.066330,45.355824,289.994751
5,2018-06-05 10:15:00,0.760020,short,1.000000,56.403914,False,Standard (NTI+MB+IC),0.760520,5.000000,0.759336,0.758652,0.757740,2018-06-05 11:15:00,0.760714,stop_loss,0,1.000000,-693.798393,-6.937984,-693.798393,,,,,,,,,,
6,2018-06-05 11:30:00,0.760926,short,1.000000,20.870897,False,Standard (NTI+MB+IC),0.761426,5.000000,0.760241,0.759556,0.758643,2018-06-05 12:00:00,0.760894,trailing_stop,0,0.500000,337.171303,0.316694,337.171303,TP0,0.700000,263.007265,TP0,0.099000,67.798482,,,,330.805747
7,2018-06-05 12:15:00,0.762046,short,1.000000,17.078664,False,Standard (NTI+MB+IC),0.762546,5.000000,0.761360,0.760675,0.759760,2018-06-05 13:00:00,0.762052,trailing_stop,0,0.750000,663.094046,-0.052736,663.094046,TP0,0.700000,550.414038,TP0,0.099000,67.898326,TP0,0.066330,45.491878,663.804242
8,2018-06-05 13:15:00,0.762024,short,1.000000,16.207970,False,Standard (NTI+MB+IC),0.762426,4.023966,0.761338,0.760652,0.759738,2018-06-05 19:00:00,0.761994,trailing_stop,0,5.750000,394.034830,0.304983,394.034830,TP0,0.700000,191.871967,TP0,0.099000,67.896348,TP0,0.066330,45.490553,305.258867
9,2018-06-05 19:45:00,0.762355,long,1.000000,49.469565,False,Standard (NTI+MB+IC),0.761855,5.000000,0.763041,0.763728,0.764642,2018-06-07 12:00:00,0.766030,trailing_stop,0,40.250000,573.080966,36.748589,573.080966,TP0,0.700000,367.245018,TP0,0.099000,67.925863,TP0,0.066330,45.510328,480.681209
10,2018-06-07 12:15:00,0.762875,short,1.000000,66.149674,False,Standard (NTI+MB+IC),0.763375,5.000000,0.762189,0.761502,0.760587,2018-07-30 08:15:00,0.739500,end_of_data,0,1268.000000,356.667904,233.752737,356.667904,TP0,0.700000,150.691580,TP0,0.099000,67.972187,TP0,0.066330,45.541365,264.205132
