iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
20,-4.230185,263,34.600760,0.769981,-2.730411,-4.146220,5.112026,-160.843546,1556.092824,-1069.222672,3859.511346,-1196.439241,0.827497,1.455350,-160.843546,-1.824693,2.247863,2021-01-06 13:00:00,2021-05-03 21:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
21,-6.725104,374,32.887701,0.750028,-3.656701,-5.150639,7.724255,-179.815628,1640.513428,-1071.849388,3776.114437,-1199.986786,0.870648,1.530545,-179.815628,-2.376174,3.090909,2020-10-16 03:15:00,2021-02-14 21:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
22,-4.500684,271,34.317343,0.765229,-3.516629,-5.028509,5.218743,-166.076884,1577.405966,-1076.997699,3649.614970,-1199.087300,0.862408,1.464633,-166.076884,-1.909919,2.316239,2019-01-31 16:45:00,2019-05-29 13:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
23,-4.544768,272,34.558824,0.761454,-3.746885,-5.170218,4.818481,-167.087044,1543.320185,-1070.335805,3649.693367,-1199.940416,0.943195,1.441903,-167.087044,-1.951029,2.324786,2019-02-07 12:30:00,2019-06-05 09:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
24,-1.271931,309,40.129450,0.936246,-0.793516,-1.676233,3.051399,-41.162806,1506.351489,-1078.415630,3539.030002,-1198.451713,0.416835,1.396819,-41.162806,-0.506164,2.641026,2019-07-17 04:15:00,2019-11-11 12:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
25,-5.964677,384,33.854167,0.780316,-3.368075,-4.855354,7.114971,-155.330134,1629.728185,-1068.942659,3744.095691,-1199.223431,0.838328,1.524617,-155.330134,-2.078955,3.173554,2020-10-08 23:30:00,2021-02-07 17:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
26,-6.807461,302,33.774834,0.683182,-4.038756,-6.273464,6.835024,-225.412602,1439.168652,-1074.349042,8581.205989,-1199.227338,0.995967,1.339573,-225.412602,-2.818426,2.559322,2024-12-03 13:00:00,2025-04-01 12:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
27,-7.111672,243,30.041152,0.608088,-4.533470,-5.890755,8.335766,-292.661384,1511.563516,-1067.416782,3863.204925,-1199.093589,0.853152,1.416095,-292.661384,-3.384972,2.094828,2021-05-03 05:00:00,2021-08-27 08:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
28,-6.273627,367,36.512262,0.750290,-4.299273,-4.976306,7.305756,-170.943516,1406.715107,-1078.266501,3493.646356,-1199.170237,0.858724,1.304608,-170.943516,-2.427950,3.136752,2020-04-08 09:45:00,2020-08-03 17:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
29,-4.793509,255,34.901961,0.726359,-3.278857,-4.902574,5.443773,-187.980753,1429.666217,-1055.273405,3492.565928,-1196.412396,0.880549,1.354783,-187.980753,-2.248595,2.142857,2023-10-06 03:00:00,2024-02-02 04:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
30,-5.471745,346,35.549133,0.780041,-2.590920,-4.393412,7.139401,-158.142910,1577.597615,-1115.524455,8982.671983,-2917.680874,0.766415,1.414221,-158.142910,-1.912689,2.149068,2023-02-07 00:30:00,2023-07-18 11:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
31,-6.373189,355,32.676056,0.748060,-3.146209,-4.579580,8.961091,-179.526449,1631.318596,-1058.430320,4654.038088,-1198.794762,0.711207,1.541262,-179.526449,-2.359406,3.008475,2018-10-02 23:15:00,2019-01-29 21:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
32,1.096954,197,40.609137,1.088496,0.809218,1.555138,2.638783,55.682958,1686.562372,-1059.448266,3666.459815,-1199.559864,0.415705,1.591925,55.682958,0.500251,1.683761,2024-05-30 17:00:00,2024-09-25 00:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
33,-3.139987,534,43.820225,0.903347,-1.494153,-2.969943,6.970408,-58.801258,1254.153423,-1082.905909,6923.689965,-1198.837630,0.450474,1.158137,-58.801258,-1.020430,4.643478,2022-09-18 21:00:00,2023-01-12 07:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
34,-4.890306,278,34.532374,0.748555,-3.977625,-5.564623,5.337808,-175.910279,1516.514451,-1068.617829,3649.639899,-1199.086951,0.916164,1.419136,-175.910279,-2.092529,2.376068,2019-02-12 12:15:00,2019-06-10 09:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
35,-6.195866,336,35.119048,0.745455,-3.043341,-4.799192,7.110730,-184.400776,1537.721759,-1116.558845,4629.380253,-2925.108603,0.871340,1.377197,-184.400776,-2.321766,2.126582,2023-03-16 00:15:00,2023-08-21 13:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
36,-4.438445,323,37.151703,0.797130,-2.686807,-3.940225,5.336696,-137.413157,1453.319709,-1077.747857,3625.341731,-1196.643629,0.831684,1.348478,-137.413157,-1.779848,2.808696,2022-03-14 04:30:00,2022-07-07 14:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
37,-5.173071,365,36.164384,0.795149,-3.419841,-5.973302,5.605812,-141.727973,1521.195602,-1083.813432,3675.203563,-1199.600708,0.922805,1.403559,-141.727973,-1.890467,3.173913,2020-06-22 17:15:00,2020-10-16 01:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
38,-5.840309,276,32.608696,0.710558,-4.785583,-6.754042,6.435130,-211.605409,1593.059056,-1084.830150,3649.687270,-1198.627061,0.907567,1.468487,-211.605409,-2.488865,2.358974,2019-01-25 10:15:00,2019-05-22 19:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
39,-8.894625,286,29.370629,0.592153,-5.887909,-8.564763,9.620212,-311.000891,1537.392265,-1079.639629,3666.454142,-4764.006569,0.924577,1.423987,-311.000891,-3.845878,2.486957,2024-08-25 17:00:00,2024-12-19 05:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
40,-7.399794,523,38.049713,0.790779,-3.456901,-4.846148,8.785500,-141.487451,1405.450201,-1091.612737,3794.080555,-1670.225282,0.842274,1.287499,-141.487451,-2.373183,4.547826,2020-02-18 07:15:00,2020-06-12 16:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
41,-4.510665,307,37.785016,0.781170,-2.643910,-4.576451,5.594631,-146.927188,1388.104864,-1079.197963,8580.715711,-1314.184918,0.806249,1.286237,-146.927188,-1.838178,2.623932,2025-01-16 01:45:00,2025-05-13 10:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
42,1.603265,232,43.103448,1.114370,1.154641,2.234620,2.748067,69.106269,1562.151268,-1061.988427,3492.136669,-1198.314385,0.583416,1.470968,69.106269,0.707681,2.017391,2019-05-20 20:15:00,2019-09-13 16:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
43,-2.583353,315,35.873016,0.880527,-1.473848,-2.493754,4.539718,-82.011200,1684.912701,-1070.438928,4630.473375,-1199.457963,0.569056,1.574039,-82.011200,-0.969917,2.692308,2018-08-08 01:30:00,2018-12-03 09:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
44,-2.572152,312,38.461538,0.875692,-1.551516,-3.134630,3.834720,-82.440760,1509.964427,-1077.694002,3539.068238,-1199.448245,0.670753,1.401107,-82.440760,-1.020659,2.713043,2019-07-23 03:00:00,2019-11-15 10:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
45,0.273078,258,40.310078,1.016358,0.146359,0.279930,2.713336,10.584415,1631.400620,-1083.992762,3490.349139,-1195.947183,0.100643,1.504992,10.584415,0.112924,2.205128,2019-06-13 04:15:00,2019-10-08 12:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
46,-8.562081,440,32.954545,0.730425,-4.745825,-7.784901,9.764624,-194.592742,1599.955253,-1076.658706,3689.756952,-1199.567932,0.876847,1.486038,-194.592742,-2.809441,3.728814,2020-08-20 19:45:00,2020-12-16 22:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
47,-5.613254,270,32.962963,0.708883,-3.587757,-4.799812,6.026732,-207.898291,1535.788439,-1065.291214,3761.084495,-1189.246609,0.931393,1.441661,-207.898291,-2.448853,2.307692,2021-11-17 14:00:00,2022-03-14 20:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
48,-5.114802,256,34.375000,0.709345,-3.518003,-5.511671,5.251777,-199.796960,1418.488490,-1047.470291,3495.872596,-1199.584038,0.973918,1.354204,-199.796960,-2.402582,2.151261,2023-10-20 04:00:00,2024-02-16 05:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
49,-1.487172,178,37.640449,0.876671,-1.328830,-2.160579,3.445266,-83.549015,1577.814789,-1086.354195,3560.359461,-1195.828763,0.431657,1.452394,-83.549015,-0.754729,1.547826,2024-04-15 15:30:00,2024-08-08 23:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
50,0.405205,198,39.898990,1.031948,0.457760,0.864128,2.164373,20.464923,1656.753283,-1065.810543,3666.410913,-1197.286904,0.187216,1.554454,20.464923,0.185920,1.692308,2024-05-31 07:15:00,2024-09-25 15:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
51,-2.382468,282,36.170213,0.875839,-1.665083,-2.518342,4.241913,-84.484680,1647.647889,-1066.026470,3819.496118,-1192.007868,0.561649,1.545598,-84.484680,-0.946777,2.410256,2018-04-25 00:15:00,2018-08-20 08:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
52,-5.354045,268,32.462687,0.724372,-3.410661,-4.813269,6.719074,-199.777784,1617.343029,-1073.200496,3761.113818,-1198.129721,0.796843,1.507028,-199.777784,-2.283932,2.290598,2021-12-15 02:15:00,2022-04-11 11:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
53,-2.301968,329,39.209726,0.894100,-1.345904,-2.202222,5.025069,-69.968619,1506.613447,-1086.864051,3655.967375,-1199.617880,0.458097,1.386202,-69.968619,-0.885540,2.811966,2019-08-29 12:00:00,2019-12-24 20:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
54,-6.759093,246,30.487805,0.628941,-4.045244,-5.567349,8.218266,-274.759871,1527.546155,-1065.244970,3863.283547,-1197.471964,0.822448,1.433986,-274.759871,-3.154347,2.084746,2021-04-28 07:00:00,2021-08-24 10:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
55,-3.005346,227,36.123348,0.803711,-2.098585,-3.462559,4.240347,-132.394103,1500.670158,-1055.920099,3801.392344,-1196.548078,0.708750,1.421197,-132.394103,-1.407614,1.940171,2021-07-20 21:45:00,2021-11-15 05:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
56,-1.703271,184,36.413043,0.864519,-1.402962,-2.382556,3.010851,-92.569053,1622.204313,-1074.533289,3508.424406,-1199.088148,0.565711,1.509683,-92.569053,-0.854467,1.572650,2024-03-14 09:45:00,2024-07-09 19:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
57,0.617649,285,38.245614,1.032431,0.382819,0.693026,4.435679,21.671883,1803.938729,-1082.118379,4105.393317,-1198.957417,0.139246,1.667044,21.671883,0.231249,2.435897,2018-07-17 15:30:00,2018-11-11 23:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
58,-3.325818,325,37.846154,0.848732,-1.837198,-3.042158,5.292639,-102.332857,1517.107027,-1088.427440,3656.037034,-1198.224359,0.628386,1.393852,-102.332857,-1.295083,2.754237,2019-09-11 03:45:00,2020-01-08 02:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
59,-11.090391,350,29.714286,0.584231,-6.893608,-8.266394,11.090391,-316.868307,1498.465936,-1084.326686,3649.664225,-1199.813940,1.000000,1.381932,-316.868307,-4.429643,2.966102,2018-12-18 04:45:00,2019-04-16 04:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
60,-7.379968,329,32.522796,0.687164,-4.273055,-6.275475,7.850487,-224.315149,1515.003152,-1062.635231,8590.873441,-1198.912868,0.940065,1.425704,-224.315149,-2.875738,2.788136,2024-11-10 21:15:00,2025-03-09 19:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
61,-7.792006,491,37.881874,0.765433,-3.930531,-5.511417,8.828647,-158.696663,1367.022486,-1089.135225,3792.173727,-1670.902260,0.882582,1.255145,-158.696663,-2.620496,4.269565,2020-02-03 22:45:00,2020-05-29 07:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
62,-2.016444,555,43.783784,0.940795,-0.653539,-1.302479,3.940558,-36.332331,1318.602520,-1091.618128,6940.849407,-1199.880215,0.511715,1.207934,-36.332331,-0.624917,4.743590,2022-07-29 02:45:00,2022-11-23 10:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
63,-4.629060,275,34.545455,0.761429,-3.817450,-5.356622,5.028500,-168.329444,1555.183445,-1077.961247,3649.637219,-1197.969348,0.920565,1.442708,-168.329444,-1.958158,2.350427,2019-02-05 04:45:00,2019-06-03 01:30:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
64,-3.586351,248,35.483871,0.789701,-2.750527,-4.299871,5.138415,-144.610907,1530.370548,-1065.850708,3641.277606,-1197.572905,0.697949,1.435821,-144.610907,-1.614470,2.156522,2019-03-11 02:00:00,2019-07-04 23:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
65,-2.191121,208,38.461538,0.839205,-1.557158,-2.605256,3.614786,-105.342354,1429.458492,-1064.592883,3610.340531,-1195.378553,0.606155,1.342728,-105.342354,-1.111254,1.777778,2019-03-28 03:00:00,2019-07-24 00:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
