iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss
1,2018-01-05 00:15:00,2018-03-20 02:00:00,1.226942737902792,83761.1817216123,83.76118172161301,68.38709677419355,310,-4.3919951244359,1.909056577241397,829.7262326184095,-940.212036668271
2,2024-10-09 11:15:00,2024-12-23 05:00:00,0.8950046553126895,50339.09702450291,50.339097024503346,68.56187290969899,299,-4.086421719861036,1.5615465293633934,682.842811636326,-953.6561634142969
3,2020-05-22 07:15:00,2020-08-04 09:00:00,1.2835660410772678,93292.77565599784,93.29277565599806,64.97326203208557,374,-5.9902671341294305,1.74208722588996,901.2736649891481,-959.669656002787
4,2020-05-27 22:30:00,2020-08-10 00:15:00,1.1626218666352135,85124.94672337307,85.12494672337343,64.53333333333333,375,-4.770505800472762,1.66586288418982,880.0268678155511,-961.2147014134605
5,2018-01-05 07:00:00,2018-03-20 08:45:00,1.2685340221122128,85594.23262161226,85.59423262161299,68.6084142394822,309,-4.313113403983841,1.9391430817618955,833.6557179957679,-939.5956659122738
6,2021-06-18 12:30:00,2021-08-31 14:15:00,1.0752899223737737,56503.54583264035,56.50354583264101,69.43396226415094,265,-3.6225443971682467,1.747592518789449,717.8490163599753,-933.0947305875932
7,2018-03-04 23:15:00,2018-05-16 01:00:00,1.263676193891213,67598.96312273399,67.59896312273442,72.72727272727273,286,-9.319652820501183,1.906407326403073,683.5479586470324,-956.1411830237018
8,2021-08-16 19:30:00,2021-10-27 21:15:00,1.3747158397578247,73810.7385378711,73.81073853787193,73.12925170068027,294,-4.023513582152939,2.008142882741736,683.8386022833208,-926.7665943423145
9,2023-03-30 21:30:00,2023-07-13 08:15:00,1.5878892737380688,122521.21626591541,122.52121626591628,72.20708446866485,367,-3.471845538334617,2.2931271766992283,819.8838423429419,-928.901979950629
10,2018-07-24 19:30:00,2018-10-04 21:15:00,1.1160873257200559,60392.58011049557,60.39258011049623,71.57534246575342,292,-3.5483417653639924,1.8102723959046234,645.580172083039,-897.9960946368612
11,2018-08-13 08:00:00,2018-10-24 09:45:00,1.0923389654066642,54984.96695707003,54.984966957070725,71.2280701754386,285,-3.0294795129769287,1.7383456763377836,637.7116283117102,-908.1767511000862
12,2019-02-26 15:00:00,2019-05-09 17:45:00,1.1131360440962201,55748.83936196604,55.748839361966354,72.04724409448819,254,-3.5984502806589527,1.8979038027066641,643.915865151787,-874.475548743817
13,2023-01-09 03:00:00,2023-04-04 09:45:00,1.3568242237013903,107747.52683520575,107.74752683520603,69.01408450704226,355,-7.2495155962260025,2.0171710721043326,872.1475335415034,-962.9874443860238
14,2018-09-26 16:45:00,2018-12-09 18:30:00,0.9629637417762394,54516.407449389095,54.51640744938969,68.94409937888199,322,-3.4894637359320657,1.603230434628755,652.6599421754158,-903.7409971355318
15,2022-10-03 07:15:00,2022-12-14 10:00:00,1.3116733075755511,103613.26400164566,103.61326400164606,66.82808716707022,413,-3.9781121718560497,1.78866480956247,851.417892641454,-958.9640464773402
16,2021-03-18 07:15:00,2021-06-01 07:15:00,1.4940661652656237,91423.25369756306,91.42325369756364,71.89349112426035,338,-3.846753829735655,2.024166151692832,743.5773284010527,-939.6424958304486
17,2021-06-09 06:45:00,2021-08-20 08:30:00,1.1720174307722615,64045.60595471084,64.04560595471128,70.4119850187266,267,-3.363542314116071,1.8704134277234694,732.0546762356698,-931.4009262986715
18,2022-05-15 20:45:00,2022-07-27 00:30:00,1.5916556962834145,107201.9731337657,107.20197313376676,70.80103359173127,387,-2.5731468432108415,1.9831505512375707,789.2014492138185,-964.948884520535
19,2020-11-20 02:30:00,2021-02-04 13:30:00,1.5488681391125694,95688.279240766,95.68827924076653,70.69486404833837,331,-6.194305946607914,2.0468759763600963,799.538134264359,-942.3056100731338
20,2019-08-23 01:15:00,2019-11-05 03:00:00,0.9673929992507243,43758.82850785416,43.75882850785431,70.79646017699115,226,-3.22570142784542,1.7599174745266868,633.390545168702,-872.4796775626996
