trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2013-12-13 06:00:00,0.891680,short,1.000000,46.515408,False,Standard (NTI+MB+IC),0.892680,10.000000,0.890343,0.889005,0.887222,2013-12-13 07:00:00,0.891668,trailing_stop,0,1.000000,325.872961,TP0,0.500000,320.050483,320.050483,0.116450,325.872961,,,,,,
2,2013-12-13 08:15:00,0.894584,short,1.000000,22.586014,False,Standard (NTI+MB+IC),0.893740,8.431370,0.893242,0.891900,0.890111,2013-12-13 08:30:00,0.893766,stop_loss,0,0.250000,817.962053,,,,,8.179621,817.962053,,,,,,
3,2013-12-13 08:45:00,0.894491,short,1.000000,50.338549,False,Standard (NTI+MB+IC),0.893747,7.440791,0.893150,0.891808,0.890019,2013-12-13 09:00:00,0.893906,stop_loss,0,0.250000,585.814585,,,,,5.858146,585.814585,,,,,,
4,2013-12-13 09:15:00,0.893800,long,1.000000,51.928400,False,Standard (NTI+MB+IC),0.892853,9.472937,0.895141,0.896482,0.898269,2013-12-15 20:00:00,0.893871,trailing_stop,0,58.750000,1075.219360,TP0,0.500000,404.869512,774.299505,0.707405,1075.219360,TP0,0.165000,221.215565,TP0,0.110550,148.214428
5,2013-12-15 20:15:00,0.893982,short,1.000000,47.194473,False,Standard (NTI+MB+IC),0.894982,10.000000,0.892641,0.891300,0.889512,2013-12-15 21:00:00,0.893959,trailing_stop,0,0.750000,500.019863,TP0,0.500000,271.127977,492.388586,0.227799,500.019863,TP0,0.165000,221.260608,,,
6,2013-12-15 21:30:00,0.894740,short,1.000000,42.540743,False,Standard (NTI+MB+IC),0.895213,4.727280,0.893398,0.892056,0.890266,2013-12-15 22:30:00,0.894674,trailing_stop,0,1.000000,272.719223,TP0,0.500000,239.953268,239.953268,0.655319,272.719223,,,,,,
7,2013-12-15 22:45:00,0.895888,short,1.000000,17.094607,False,Standard (NTI+MB+IC),0.895137,7.505504,0.894544,0.893200,0.891408,2013-12-15 23:00:00,0.895268,stop_loss,0,0.250000,619.214882,,,,,6.192149,619.214882,,,,,,
8,2013-12-16 19:00:00,0.893636,short,1.000000,36.069805,False,Standard (NTI+MB+IC),0.894636,10.000000,0.892296,0.890955,0.889168,2013-12-16 19:30:00,0.893597,trailing_stop,0,0.500000,39.656458,,,,,0.396565,39.656458,,,,,,
9,2013-12-16 19:45:00,0.894820,short,1.000000,19.818274,False,Standard (NTI+MB+IC),0.895061,2.415652,0.893477,0.892135,0.890346,2013-12-16 20:45:00,0.894755,trailing_stop,0,1.000000,704.191927,TP0,0.500000,319.825951,689.677284,0.646676,704.191927,TP0,0.165000,221.467864,TP0,0.110550,148.383469
10,2013-12-17 08:15:00,0.891642,short,1.000000,47.566803,False,Standard (NTI+MB+IC),0.892642,10.000000,0.890305,0.888967,0.887184,2013-12-17 17:45:00,0.891046,trailing_stop,0,9.500000,1209.792431,TP0,0.500000,541.061513,909.599494,5.964499,1209.792431,TP0,0.165000,220.681425,TP0,0.110550,147.856555
11,2013-12-17 19:00:00,0.892376,long,1.000000,44.214479,False,Standard (NTI+MB+IC),0.891376,10.000000,0.893715,0.895054,0.896838,2013-12-17 20:30:00,0.891259,stop_loss,0,1.500000,-1117.261115,,,,,-11.172611,-1117.261115,,,,,,
12,2013-12-17 21:00:00,0.891745,long,1.000000,27.405556,False,Standard (NTI+MB+IC),0.890745,10.000000,0.893083,0.894421,0.896204,2013-12-17 22:45:00,0.890585,stop_loss,0,1.750000,-1160.630251,,,,,-11.606303,-1160.630251,,,,,,
13,2013-12-18 08:15:00,0.890294,short,1.000000,43.778011,False,Standard (NTI+MB+IC),0.891200,9.059616,0.888958,0.887623,0.885842,2013-12-18 14:30:00,0.890219,trailing_stop,0,6.250000,898.022387,TP0,0.500000,231.853740,599.834386,0.744927,898.022387,TP0,0.165000,220.347693,TP0,0.110550,147.632954
14,2013-12-18 14:45:00,0.888343,short,1.000000,36.211580,False,Standard (NTI+MB+IC),0.889343,10.000000,0.887010,0.885678,0.883901,2013-12-19 20:15:00,0.884742,trailing_stop,0,29.500000,1722.742770,TP0,0.500000,1056.485542,1423.659901,36.007531,1722.742770,TP0,0.165000,219.864885,TP0,0.110550,147.309473
15,2013-12-20 10:30:00,0.892369,long,1.000000,49.484087,False,Standard (NTI+MB+IC),0.891369,10.000000,0.893708,0.895046,0.896831,2013-12-20 10:45:00,0.891335,stop_loss,0,0.250000,-1034.215714,,,,,-10.342157,-1034.215714,,,,,,
16,2013-12-20 11:00:00,0.892689,long,1.000000,57.391514,False,Standard (NTI+MB+IC),0.891689,10.000000,0.894028,0.895367,0.897153,2013-12-20 11:45:00,0.891591,stop_loss,0,0.750000,-1098.387092,,,,,-10.983871,-1098.387092,,,,,,
17,2013-12-20 12:00:00,0.891629,long,1.000000,55.284181,False,Standard (NTI+MB+IC),0.890629,10.000000,0.892966,0.894304,0.896087,2013-12-23 19:30:00,0.892477,trailing_stop,0,79.500000,974.211441,TP0,0.500000,305.489676,674.022241,8.479303,974.211441,TP0,0.165000,220.678183,TP0,0.110550,147.854382
