trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
29,2016-07-29 08:30:00,0.754455,long,1.000000,33.749904,False,Standard (NTI+MB+IC),0.753955,5.000000,0.755134,0.755813,0.756718,2016-07-29 08:45:00,0.755134,take_profit_1,1,0.250000,1376.369086,PPT,0.700000,1172.666300,TP1,0.300000,203.702786,1376.369086,6.790093,1376.369086,,,
30,2016-07-29 09:00:00,0.757811,long,1.000000,45.050385,False,Standard (NTI+MB+IC),0.757311,5.000000,0.758493,0.759175,0.760084,2016-07-29 09:30:00,0.757265,stop_loss,0,0.500000,-545.546425,,,,,,,,-5.455464,-545.546425,,,
31,2016-07-29 09:45:00,0.756748,long,1.000000,50.973325,False,Standard (NTI+MB+IC),0.756248,5.000000,0.757429,0.758110,0.759018,2016-07-29 10:00:00,0.757429,take_profit_1,1,0.250000,682.034373,PPT,0.700000,477.712533,TP1,0.300000,204.321839,682.034373,6.810728,682.034373,,,
32,2016-07-29 10:15:00,0.757685,long,1.000000,53.772600,False,Standard (NTI+MB+IC),0.757185,5.000000,0.758367,0.759049,0.759958,2016-07-29 10:30:00,0.758367,take_profit_1,1,0.250000,768.096231,PPT,0.700000,563.521289,TP1,0.300000,204.574942,768.096231,6.819165,768.096231,,,
33,2016-07-29 10:45:00,0.759746,long,1.000000,58.111883,False,Standard (NTI+MB+IC),0.759246,5.000000,0.760430,0.761114,0.762026,2016-07-29 11:00:00,0.760430,take_profit_1,1,0.250000,648.595518,PPT,0.700000,443.463968,TP1,0.300000,205.131550,648.595518,6.837718,648.595518,,,
34,2016-07-29 11:15:00,0.759403,long,1.000000,60.842863,False,Standard (NTI+MB+IC),0.758903,5.000000,0.760086,0.760770,0.761681,2016-07-29 11:30:00,0.760086,take_profit_1,1,0.250000,364.080763,PPT,0.700000,159.042008,TP1,0.300000,205.038755,364.080763,6.834625,364.080763,,,
35,2016-07-29 11:45:00,0.759818,long,1.000000,61.004718,False,Standard (NTI+MB+IC),0.759318,5.000000,0.760502,0.761186,0.762097,2016-07-29 12:30:00,0.759220,stop_loss,0,0.750000,136.878780,PPT,0.700000,316.398488,,,,316.398488,-5.983990,136.878780,,,
36,2016-07-29 12:45:00,0.758690,long,1.000000,50.103573,False,Standard (NTI+MB+IC),0.758190,5.000000,0.759373,0.760056,0.760966,2016-07-29 13:00:00,0.759373,take_profit_1,1,0.250000,638.824140,PPT,0.700000,433.977831,TP1,0.300000,204.846309,638.824140,6.828210,638.824140,,,
37,2016-07-29 13:15:00,0.759603,long,1.000000,42.710510,False,Standard (NTI+MB+IC),0.759103,5.000000,0.760287,0.760970,0.761882,2016-07-29 14:30:00,0.760287,take_profit_1,1,1.250000,328.876926,PPT,0.700000,123.784071,TP1,0.300000,205.092855,328.876926,6.836428,328.876926,,,
38,2016-07-29 14:45:00,0.760143,long,1.000000,41.520493,False,Standard (NTI+MB+IC),0.759643,5.000000,0.760827,0.761512,0.762424,2016-07-29 16:00:00,0.759520,stop_loss,0,1.250000,132.717313,PPT,0.700000,319.722525,,,,319.722525,-6.233507,132.717313,,,
