iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,start_year,end_year,primary_year
1,2018-10-29 06:45:00,2019-01-10 22:30:00,0.8817356700291512,58010.25658564552,58.01025658564575,66.87306501547987,323,-4.0667481781652635,1.596756435495282,718.6089125769255,-908.497836738041,2018,2019,2018
2,2011-10-07 07:00:00,2011-12-20 08:45:00,1.9361878998213227,220824.4034925491,220.8244034925497,61.59695817490495,526,-8.807870769713752,2.135142214846861,1281.9721426888705,-963.0424293992354,2011,2011,2011
3,2023-09-12 17:30:00,2023-11-23 20:00:00,1.4489916517691068,78581.46953617377,78.581469536174,72.96296296296296,270,-4.248198597356808,2.2149752795019273,727.2024978827454,-885.9920896811918,2023,2023,2023
4,2024-10-21 01:15:00,2025-01-03 11:00:00,0.8599217795092593,47719.03648610578,47.71903648610628,67.54966887417218,302,-4.2055659652422355,1.5189465961728483,684.6700583655856,-938.302606331364,2024,2025,2024
5,2024-10-28 17:00:00,2025-01-12 19:45:00,0.8243790326688679,45326.05663074406,45.3260566307444,66.5551839464883,299,-4.3445931425348485,1.4817300481981353,700.5839960655006,-940.9015858629059,2024,2025,2024
6,2017-10-02 03:15:00,2017-12-13 05:00:00,0.9007577629544485,42650.59550291283,42.65059550291323,69.76744186046511,258,-2.894406345164768,1.6222209106103402,617.7574439397245,-878.7915949517643,2017,2017,2017
7,2010-05-17 03:30:00,2010-07-28 05:15:00,2.062938799798485,244511.71609085088,244.51171609085054,64.34108527131784,516,-4.289459551791654,2.3877956750803255,1267.1651536471284,-957.5386680434572,2010,2010,2010
8,2023-05-23 23:45:00,2023-08-23 21:30:00,1.8756625503405642,135170.38694147413,135.17038694147493,73.43358395989975,399,-2.1989741146876867,2.4007357248952337,790.6824269327504,-910.3732466964306,2023,2023,2023
9,2022-11-10 09:15:00,2023-01-23 13:15:00,1.3468358839011816,96799.46860194083,96.7994686019414,68.90080428954424,373,-4.355333696792759,1.8692136220273359,809.9762100738014,-960.0380809226389,2022,2023,2022
10,2024-06-11 16:45:00,2024-08-22 18:30:00,0.8720379837651794,48691.03407051989,48.69103407052025,68.9795918367347,245,-4.057439049056091,1.6960224161938469,702.0542205115355,-920.4753841569689,2024,2024,2024
