sim,start_date,end_date,sharpe,return,pnl,trades,win_rate,max_dd,profit_factor,annual_return,annual_pnl
1,2014-12-03 08:30:00,2015-04-10 11:00:00,2.524862350264204,4.6352622434462765,46352.62243446662,1860,63.33333333333333,1.9365201289009852,1.1198735791322418,18.798563542865455,187985.63542867015
2,2015-01-11 23:45:00,2015-05-17 23:30:00,0.1458862322866125,0.21532652520674747,2153.265252067338,1860,59.62365591397849,3.8225794161117093,1.0049172419728722,0.873268685560698,8732.686855606427
3,2016-11-17 06:15:00,2017-03-24 07:00:00,-1.3799998338089565,-1.4280387734453077,-14280.387734450993,1261,61.30055511498811,3.561734313710053,0.9414773011826382,-5.791490581194859,-57914.90581194014
4,2011-02-07 10:15:00,2011-06-13 10:00:00,-0.45411066859679916,-1.1967682068923255,-11967.682068926162,2073,57.54944524843222,5.050588928362921,0.9777040878828054,-4.853559950174431,-48535.5995017561
5,2018-12-04 01:00:00,2019-04-10 15:45:00,1.4104370770220813,1.8675719805443427,18675.71980544596,1052,68.06083650190115,1.3869956480579402,1.1105921096353022,7.574041921096501,75740.41921097528
6,2019-04-04 15:15:00,2019-08-09 03:00:00,1.3184117690655326,0.9504585922706291,9504.585922706243,690,65.07246376811594,0.8438662868397416,1.0943313227756746,3.8546376242086624,38546.37624208643
7,2015-08-09 21:45:00,2015-12-13 21:45:00,3.6624120148099246,5.239048571219924,52390.48571220147,1602,64.60674157303372,1.6315971930800224,1.1654465974928248,21.247252538836356,212472.52538837263
8,2023-11-30 09:15:00,2024-04-08 02:00:00,0.7808115362340274,0.6933194080065004,6933.194080066448,1120,64.82142857142857,1.9193500182391026,1.0409027644032962,2.8117953769152515,28117.953769158372
9,2022-02-23 06:30:00,2022-06-29 07:15:00,2.6315143413364197,4.161666571881238,41616.66571881273,1637,63.40867440439829,1.9751763838088934,1.1271604048648394,16.877869985962796,168778.69985962939
10,2024-12-11 22:45:00,2025-04-18 15:30:00,3.3204582205111737,4.319526481165516,43195.2648116549,1259,65.845909451946,1.0366656012500235,1.1904432466307382,17.51807961806015,175180.79618060042
11,2015-12-28 23:00:00,2016-05-03 22:45:00,0.16618680679438977,0.24423662689233896,2442.3662689242037,1697,61.10783736004714,3.401177491513286,1.006399011427041,0.9905152090633746,9905.152090637048
12,2015-06-03 22:30:00,2015-10-07 22:30:00,2.4349725749136772,3.8349758156449183,38349.75815644949,1830,63.98907103825137,2.3718071979838515,1.1063857079910764,15.552957474559946,155529.5747456007
13,2016-04-11 05:30:00,2016-08-15 05:15:00,1.3630688249540468,1.9177428892306634,19177.428892302174,1591,63.54494028912634,1.975292377142323,1.0607499598499235,7.777512828546579,77775.1282854477
14,2022-10-25 02:15:00,2023-03-02 19:15:00,2.7787358338798227,3.8229632784106538,38229.63278410625,1728,63.36805555555556,1.2362511110320713,1.1110731120217052,15.504239962443206,155042.3996244309
15,2011-03-21 12:45:00,2011-07-25 12:30:00,-1.0690148710954852,-2.3450072040622705,-23450.072040624094,2102,56.32730732635585,5.222267123126169,0.9571323297917302,-9.510306994252542,-95103.06994253104
16,2012-07-13 07:45:00,2012-11-16 07:30:00,2.3913920561797806,3.481171126371168,34811.711263711935,1461,64.27104722792608,2.552905050944348,1.1243558157765332,14.11808290139418,141180.82901394283
17,2019-09-06 16:00:00,2020-01-14 09:30:00,2.070198889127286,1.533176082143723,15331.760821435531,744,66.66666666666666,0.8009664892263407,1.1599944195494318,6.217880777582876,62178.80777582187
18,2020-05-29 08:00:00,2020-10-02 07:45:00,-3.1225816574484426,-4.337725348614948,-43377.25348614959,1440,58.68055555555556,6.264074046709108,0.8685940768218307,-17.59188613604951,-175918.86136049553
19,2022-01-17 14:00:00,2022-05-23 14:45:00,3.5880635020329095,4.84466197430545,48446.61974305378,1522,64.5203679369251,1.6269492349723136,1.165032518084105,19.64779578468321,196477.9578468292
20,2010-06-30 23:15:00,2010-11-03 22:30:00,-2.0218956685052456,-4.236699357195839,-42366.99357196001,2107,54.48504983388705,7.5802385885558365,0.9256833305870461,-17.182169615294235,-171821.69615294892
21,2022-03-28 23:45:00,2022-08-02 01:30:00,3.863282253777523,5.63181610107182,56318.16101072144,1705,64.34017595307918,1.5268883958188337,1.1720235662935994,22.840143076569046,228401.43076570358
22,2012-12-13 19:15:00,2013-04-23 09:15:00,0.461450024224021,0.5375101690271753,5375.10169027023,1331,62.65965439519159,1.5833291365679192,1.0220856122895121,2.1799023521657666,21799.02352165149
23,2020-07-03 02:45:00,2020-11-06 02:30:00,1.3714714248434903,1.6223120694771644,16223.120694771958,1317,63.70539104024297,1.5624192789501965,1.0676102367021243,6.579376726212945,65793.76726213071
24,2011-10-23 21:00:00,2012-02-27 15:00:00,0.4173278764196817,0.9073367263210006,9073.367263208664,2275,56.219780219780226,5.136974589678471,1.01473574473606,3.6797545011907244,36797.5450119018
25,2019-08-23 10:15:00,2019-12-30 03:45:00,1.3123969556961688,0.9777665600552573,9777.6656005535,752,66.75531914893617,0.8795564623999166,1.0961006449595525,3.9653866046685433,39653.866046689196
26,2015-12-01 15:00:00,2016-04-07 17:45:00,0.11261219005337779,0.053550904112227724,535.5090411188512,1618,61.12484548825711,3.516755485569962,1.00145306318084,0.217178666677368,2171.7866667597855
27,2020-03-30 01:30:00,2020-08-03 01:15:00,-1.3130332780381584,-2.035918153229088,-20359.181532292754,1596,58.1453634085213,4.30793822888702,0.9455424390655743,-8.256779176984635,-82567.79176985394
