trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2012-03-05 21:00:00,1.065210,short,1.000000,40.658316,False,Standard (NTI+MB+IC),1.066210,10.000000,1.063612,1.062014,1.059884,2012-03-08 04:30:00,1.054026,trailing_stop,0,55.500000,1063.720896,PPT,0.500000,264.813675,PPT,0.165000,263.639383,PPT,0.110550,176.638386,705.091444,111.835981,1063.720896
2,2012-03-08 04:45:00,1.064473,long,1.000000,64.912366,False,Standard (NTI+MB+IC),1.063473,10.000000,1.066069,1.067666,1.069795,2012-03-08 07:45:00,1.064551,trailing_stop,0,3.000000,999.475398,PPT,0.500000,303.619464,PPT,0.165000,263.457008,PPT,0.110550,176.516196,743.592668,0.783515,999.475398
3,2012-03-08 08:00:00,1.064284,long,1.000000,53.459871,False,Standard (NTI+MB+IC),1.063284,10.000000,1.065881,1.067477,1.069606,2012-03-08 08:45:00,1.063238,stop_loss,0,0.750000,-1046.572431,,,,,,,,,,,-10.465724,-1046.572431
4,2012-03-08 09:00:00,1.061471,long,1.000000,19.553088,False,Standard (NTI+MB+IC),1.061284,1.869687,1.063063,1.064655,1.066778,2012-03-08 09:30:00,1.061258,stop_loss,0,0.500000,-213.030722,,,,,,,,,,,-2.130307,-213.030722
5,2012-03-08 09:45:00,1.060618,long,1.000000,20.109186,False,Standard (NTI+MB+IC),1.061405,7.867963,1.062209,1.063800,1.065921,2012-03-08 10:00:00,1.061345,stop_loss,0,0.250000,727.492555,,,,,,,,,,,7.274926,727.492555
6,2012-03-08 10:15:00,1.059587,long,1.000000,44.613587,False,Standard (NTI+MB+IC),1.061388,18.013650,1.061176,1.062766,1.064885,2012-03-09 09:00:00,1.064309,trailing_stop,0,22.750000,1671.008056,PPT,0.330000,524.495543,PPT,0.335000,614.070068,PPT,0.110550,175.706007,1314.271618,47.218112,1671.008056
7,2012-03-09 09:45:00,1.057981,short,1.000000,45.354299,False,Standard (NTI+MB+IC),1.058981,10.000000,1.056394,1.054807,1.052691,2012-03-09 10:15:00,1.059057,stop_loss,0,0.500000,-1075.943771,,,,,,,,,,,-10.759438,-1075.943771
8,2012-03-09 13:45:00,1.057926,short,1.000000,32.455590,False,Standard (NTI+MB+IC),1.058926,10.000000,1.056339,1.054752,1.052636,2012-03-16 09:00:00,1.044723,trailing_stop,0,163.250000,1156.504757,PPT,0.500000,363.060167,PPT,0.165000,261.836715,PPT,0.110550,175.430599,800.327481,132.028242,1156.504757
9,2012-03-16 09:15:00,1.057575,long,1.000000,46.036009,False,Standard (NTI+MB+IC),1.056575,10.000000,1.059161,1.060747,1.062863,2012-03-19 04:15:00,1.059160,trailing_stop,0,67.000000,1320.812926,PPT,0.500000,527.631874,PPT,0.165000,261.749747,PPT,0.110550,175.372331,964.753952,15.848198,1320.812926
10,2012-03-19 04:30:00,1.058276,long,1.000000,17.458983,False,Standard (NTI+MB+IC),1.059031,7.549408,1.059864,1.061451,1.063568,2012-03-19 04:45:00,1.058936,stop_loss,0,0.250000,659.346677,,,,,,,,,,,6.593467,659.346677
11,2012-03-19 05:15:00,1.058754,short,1.000000,35.901621,False,Standard (NTI+MB+IC),1.059754,10.000000,1.057166,1.055578,1.053461,2012-03-19 06:30:00,1.058754,trailing_stop,0,1.250000,287.537312,PPT,0.500000,287.231051,,,,,,,287.231051,0.006125,287.537312
12,2012-03-19 12:15:00,1.060565,long,1.000000,47.332902,False,Standard (NTI+MB+IC),1.059565,10.000000,1.062156,1.063747,1.065868,2012-03-19 15:30:00,1.061138,trailing_stop,0,3.250000,2180.388695,PPT,0.500000,1487.478684,PPT,0.165000,262.489848,PPT,0.110550,175.868198,1925.836730,5.733978,2180.388695
13,2012-03-19 15:45:00,1.060763,long,1.000000,16.249220,False,Standard (NTI+MB+IC),1.059763,10.000000,1.062354,1.063945,1.066067,2012-03-19 16:45:00,1.060781,trailing_stop,0,1.000000,18.163427,,,,,,,,,,,0.181634,18.163427
14,2012-03-19 22:00:00,1.057583,long,1.000000,36.166325,False,Standard (NTI+MB+IC),1.059936,23.529658,1.059169,1.060756,1.062871,2012-03-19 22:15:00,1.059903,stop_loss,0,0.250000,2320.423815,,,,,,,,,,,23.204238,2320.423815
15,2012-03-19 22:30:00,1.057149,short,1.000000,41.908655,False,Standard (NTI+MB+IC),1.058149,10.000000,1.055563,1.053977,1.051863,2012-03-19 23:15:00,1.057081,trailing_stop,0,0.750000,968.812477,PPT,0.500000,684.421303,PPT,0.165000,261.644339,,,,946.065641,0.679010,968.812477
16,2012-03-19 23:30:00,1.057386,short,1.000000,50.248296,False,Standard (NTI+MB+IC),1.058386,10.000000,1.055800,1.054214,1.052099,2012-03-20 02:00:00,1.057364,trailing_stop,0,2.500000,283.900445,PPT,0.500000,273.045740,,,,,,,273.045740,0.217094,283.900445
17,2012-03-20 03:00:00,1.056356,short,1.000000,30.099754,False,Standard (NTI+MB+IC),1.057356,10.000000,1.054772,1.053187,1.051074,2012-05-15 17:15:00,0.993680,end_of_data,0,1358.250000,2160.400449,PPT,0.500000,1368.133249,PPT,0.165000,261.448176,PPT,0.110550,175.170278,1804.751703,626.762665,2160.400449
