iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
21,-4.640194,347,39.769452,0.793766,-3.361598,-4.138099,6.172879,-133.723165,1294.163270,-1076.538131,3098.984795,-2538.620309,0.751707,1.202153,-133.723165,-1.926420,2.965812,2020-01-31 00:30:00,2020-05-27 09:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
22,-6.561950,274,34.671533,0.657974,-5.456467,-7.665258,6.815485,-239.487229,1328.800554,-1071.818734,3666.546821,-2168.662216,0.962800,1.239762,-239.487229,-3.099801,2.014706,2022-12-08 14:00:00,2023-04-24 13:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
23,-1.843602,302,41.721854,0.902260,-1.257158,-2.111240,3.886951,-61.046440,1350.689629,-1071.721126,3045.963290,-1194.992620,0.474306,1.260300,-61.046440,-0.796820,2.626087,2022-03-27 21:00:00,2022-07-21 04:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
24,0.165281,101,39.603960,1.026039,0.237303,0.326886,1.615825,16.364494,1628.201320,-1040.577687,3069.600887,-1195.273474,0.102289,1.564709,16.364494,0.113225,0.855932,2019-10-23 14:45:00,2020-02-19 13:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
25,-2.188509,165,38.181818,0.794210,-2.308981,-3.309800,3.738967,-132.636895,1340.664271,-1042.617026,3163.504511,-1199.959368,0.585324,1.285865,-132.636895,-1.297759,1.410256,2024-04-12 05:15:00,2024-08-07 13:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
26,-0.494153,151,39.735099,0.949635,-0.376490,-0.489127,1.710717,-32.725366,1552.877673,-1078.177920,3168.554098,-1199.574629,0.288857,1.440280,-32.725366,-0.280643,1.290598,2024-06-04 12:30:00,2024-09-29 20:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
27,-2.067229,275,40.727273,0.882518,-1.564741,-2.089812,2.425329,-75.171966,1386.509583,-1079.517570,3269.933137,-1193.880560,0.852350,1.284379,-75.171966,-0.924157,2.391304,2020-05-03 22:15:00,2020-08-27 06:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
28,-4.841415,262,32.442748,0.743564,-3.296866,-4.473920,5.198635,-184.786841,1651.552657,-1066.644792,3240.533385,-1193.936839,0.931286,1.548362,-184.786841,-2.134880,2.239316,2018-05-15 19:00:00,2018-09-10 02:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
29,-5.620863,210,33.333333,0.619504,-4.856884,-6.525381,5.872190,-267.660145,1307.368941,-1055.174688,3140.672496,-1199.027004,0.957200,1.239007,-267.660145,-3.062495,1.779661,2018-12-14 04:00:00,2019-04-12 02:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
30,-1.670602,205,39.024390,0.872653,-1.474928,-2.243659,2.304410,-81.492792,1430.986112,-1049.479290,3353.839801,-1193.414581,0.724959,1.363520,-81.492792,-0.844223,1.737288,2020-12-21 20:15:00,2021-04-19 19:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
31,-3.844361,263,37.262357,0.786792,-2.583527,-4.105697,5.907058,-146.173430,1447.623345,-1092.792121,3660.371694,-2157.114798,0.650808,1.324701,-146.173430,-1.723337,1.801370,2023-01-04 10:30:00,2023-05-31 03:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
32,-1.576631,122,36.065574,0.809254,-1.671155,-2.194694,2.616476,-129.232010,1520.219774,-1059.691991,3069.557221,-1192.418546,0.602578,1.434586,-129.232010,-1.035013,1.033898,2019-09-13 01:45:00,2020-01-10 00:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
33,1.481861,154,44.155844,1.167736,1.356401,2.682891,1.886753,96.224732,1517.111541,-1027.267163,3358.607979,-1196.123270,0.785403,1.476842,96.224732,0.835505,1.305085,2021-04-29 05:45:00,2021-08-25 09:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
34,-3.838005,353,42.209632,0.826199,-2.802231,-4.295679,5.312718,-108.725365,1224.483789,-1082.490875,3244.611056,-1197.541100,0.722418,1.131172,-108.725365,-1.606696,3.069565,2022-05-17 03:00:00,2022-09-09 10:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
35,1.026744,180,42.777778,1.094382,0.958715,1.771896,1.281323,57.041318,1546.146517,-1056.173249,3358.538345,-1199.835535,0.801315,1.463914,57.041318,0.523974,1.525424,2021-02-18 18:00:00,2021-06-16 23:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
36,-1.283128,130,37.692308,0.847593,-1.284872,-2.199370,1.669501,-98.702147,1456.322196,-1039.395885,3250.665355,-1194.178056,0.768570,1.401124,-98.702147,-0.841288,1.111111,2021-06-29 20:15:00,2021-10-25 04:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
37,0.640551,183,42.076503,1.056931,0.935534,1.896395,1.321927,35.002773,1544.404954,-1061.449755,3358.569853,-1195.382224,0.484558,1.454996,35.002773,0.325441,1.577586,2021-02-22 00:15:00,2021-06-18 05:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
38,-4.682177,343,41.399417,0.782945,-3.203596,-4.596760,5.833060,-136.506608,1189.383594,-1073.205159,3404.980130,-1198.542238,0.802696,1.108254,-136.506608,-2.043202,2.931624,2022-05-24 10:15:00,2022-09-18 18:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
39,-0.380558,139,39.568345,0.957462,-0.322588,-0.652259,1.656855,-27.378261,1557.413892,-1065.039791,3121.344172,-2153.543361,0.229687,1.462306,-27.378261,-0.227259,1.188034,2019-03-13 22:30:00,2019-07-09 20:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
40,-2.255109,211,35.545024,0.837258,-1.636831,-3.176819,4.041724,-106.877224,1546.916925,-1018.896056,3170.498913,-1198.979007,0.557957,1.518228,-106.877224,-1.127887,1.803419,2021-10-13 14:00:00,2022-02-07 21:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
41,-1.658538,271,41.328413,0.902817,-1.160918,-1.801626,2.596830,-61.200670,1375.671722,-1073.337199,3282.076291,-1198.860756,0.638678,1.281677,-61.200670,-0.746956,2.356522,2020-06-07 18:00:00,2020-10-01 01:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
42,-1.243298,137,36.496350,0.863096,-1.255973,-2.154738,2.712547,-90.751691,1567.643673,-1043.852474,3250.685694,-1194.896125,0.458351,1.501787,-90.751691,-0.769974,1.191304,2021-07-18 18:45:00,2021-11-11 02:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
43,-0.503306,174,40.229885,0.955255,-0.425778,-0.526578,2.465407,-28.925647,1535.019901,-1081.581304,3066.464211,-1199.467242,0.204147,1.419237,-28.925647,-0.267353,1.513043,2024-07-22 05:00:00,2024-11-14 13:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
44,-3.148954,325,41.230769,0.847176,-2.001282,-3.111756,4.669527,-96.890882,1302.701166,-1078.803628,2977.169126,-1198.807961,0.674362,1.207542,-96.890882,-1.339460,2.777778,2022-04-06 03:15:00,2022-08-01 11:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
45,-3.056346,168,34.523810,0.739728,-2.848908,-4.011150,3.904675,-181.925333,1497.677310,-1067.534000,3135.001534,-2174.159605,0.782740,1.402932,-181.925333,-1.738217,1.435897,2019-01-15 10:00:00,2019-05-12 18:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
46,0.730266,138,40.579710,1.085340,0.624270,1.188674,1.617853,52.917857,1658.473375,-1043.559082,3121.729848,-2183.061543,0.451380,1.589247,52.917857,0.423914,1.179487,2019-04-05 04:45:00,2019-08-01 00:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
47,-4.330733,216,36.111111,0.705809,-3.719471,-4.691715,5.275897,-200.496882,1332.062604,-1066.726156,3066.507247,-1197.313434,0.820852,1.248739,-200.496882,-2.323102,1.846154,2024-08-21 17:30:00,2024-12-17 02:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
48,-1.748687,146,36.986301,0.821383,-1.486622,-1.888206,2.606019,-119.773068,1489.164066,-1064.149212,3060.096497,-1190.130087,0.671018,1.399394,-119.773068,-1.072126,1.247863,2019-08-07 07:30:00,2019-12-02 15:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
49,0.535209,152,40.131579,1.057068,0.472130,0.777078,1.591962,35.211133,1625.197645,-1030.604002,3121.391812,-1190.183233,0.336195,1.576937,35.211133,0.303132,1.299145,2019-06-05 04:30:00,2019-09-30 12:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
50,-3.151009,164,32.926829,0.729175,-2.812365,-3.868394,4.136229,-192.134717,1571.080154,-1057.712926,3135.025125,-2169.783799,0.761807,1.485356,-192.134717,-1.802675,1.426087,2019-01-21 19:30:00,2019-05-17 04:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
51,-0.400274,139,38.848921,0.955225,-0.344086,-0.678976,2.323459,-28.796712,1581.365907,-1051.723552,3245.936471,-1199.961451,0.172275,1.503595,-28.796712,-0.238702,1.188034,2021-07-29 15:00:00,2021-11-23 22:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
52,-6.093961,276,35.869565,0.678885,-4.610285,-6.407239,6.272721,-220.795691,1301.366247,-1072.174403,3672.061701,-1948.900060,0.971502,1.213764,-220.795691,-2.882219,2.059701,2022-12-06 19:30:00,2023-04-20 01:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
53,-3.605636,350,41.714286,0.835062,-2.452310,-3.602353,5.672094,-103.018160,1250.339629,-1071.597755,3407.488576,-1199.075512,0.635680,1.166799,-103.018160,-1.509236,2.991453,2022-05-11 05:45:00,2022-09-05 13:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
54,-3.006263,282,39.361702,0.837650,-2.244960,-3.048750,3.049551,-106.605088,1397.376446,-1082.873802,3270.012516,-1198.186482,0.985805,1.290433,-106.605088,-1.325828,2.452174,2020-05-04 12:45:00,2020-08-27 20:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
55,-4.334823,273,36.263736,0.765711,-3.184624,-4.445466,5.000977,-158.784737,1431.034440,-1063.337027,3137.912568,-1199.965425,0.866795,1.345796,-158.784737,-1.963445,2.333333,2021-12-24 15:15:00,2022-04-21 00:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
56,0.707229,140,40.714286,1.079926,0.533199,1.071023,1.693410,50.516327,1676.459743,-1066.095417,3121.327416,-2162.711813,0.417636,1.572523,50.516327,0.399105,1.196581,2019-04-11 11:45:00,2019-08-07 07:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
