num,direction,entry_price,exit_price,position_size,pnl,pnl_pct,tp_hits,partial_exits,exit_reason,pattern,sl_outcome
1,short,0.611976531875961,0.6130928347051305,1000000.0,-1116.3028291695243,-0.18240941784934053,0,0,stop_loss,Pure SL (Loss),Loss
2,short,0.6136717873802192,0.6137686320444293,1000000.0,-96.84466421011618,-0.015781182417322553,0,0,stop_loss,Pure SL (Loss),Loss
3,short,0.6137494347349591,0.6137972841427365,1000000.0,-47.849407777356134,-0.007796244700089926,0,0,stop_loss,Pure SL (Breakeven),Breakeven
4,short,0.6135971185886485,0.6136555046032122,3000000.0,28.291513489044917,0.0015369212485938115,0,1,stop_loss,Partial Exit → SL (Breakeven),Breakeven
5,long,0.6145914488480575,0.6158820908906384,3000000.0,4732.6725068883725,0.25668393292047514,0,4,take_profit_1,,
6,long,0.6160319597302791,0.6149002871094668,1000000.0,-1131.672620812374,-0.1837035567615454,0,0,stop_loss,Pure SL (Loss),Loss
7,long,0.6174594155400475,0.6187560803126816,1000000.0,1818.4909966921105,0.29451182554267263,0,4,take_profit_1,,
8,long,0.6187108259304439,0.6176875247821637,1000000.0,-1023.3011482801979,-0.1653924750292374,0,0,stop_loss,Pure SL (Loss),Loss
9,long,0.6179752815741462,0.6192730296654518,1000000.0,1520.6276909243697,0.2460661026847109,0,4,take_profit_1,,
10,long,0.6221162068889131,0.621061999475884,1000000.0,-441.06724007080487,-0.07089788614839336,0,1,stop_loss,Partial Exit → SL (Loss),Loss
11,long,0.6179862618861751,0.6190607845509561,1000000.0,1074.5226647810302,0.17387484658662897,0,0,stop_loss,Pure SL (Profit),Profit
12,long,0.6185367208489888,0.618950153880575,3000000.0,1240.2990947584235,0.06684049914104902,0,0,stop_loss,Pure SL (Profit),Profit
13,short,0.6188228383407096,0.6198242531193177,3000000.0,-3004.2443358241353,-0.16182576281334485,0,0,stop_loss,Pure SL (Loss),Loss
14,long,0.6233261771556335,0.6246351621276603,1000000.0,1666.7566609474513,0.2673971865826664,0,4,take_profit_1,,
15,long,0.6256495523561305,0.6245012786354118,3000000.0,-3444.821162156053,-0.18353305239241458,0,0,stop_loss,Pure SL (Loss),Loss
16,long,0.6249421883852635,0.6262545669808726,3000000.0,4707.397927548043,0.25108444775833855,0,4,take_profit_1,,
17,long,0.6273955816270294,0.6287131123484461,1000000.0,1566.5134772828703,0.2496851305870564,0,4,take_profit_1,,
18,long,0.62903531633352,0.6278981759075967,1000000.0,-1137.1404259232777,-0.18077529137018372,0,0,stop_loss,Pure SL (Loss),Loss
19,short,0.6268506149396248,0.6255342286482516,1000000.0,1663.1253585356617,0.26531446550400944,0,4,take_profit_1,,
