trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
1,2025-03-19 21:00:00,0.634041,short,1.000000,49.343531,False,0.635041,10.000000,0.633090,0.632139,0.630871,2025-03-20 03:30:00,0.630871,take_profit_3,3,6.500000,1182.504481
2,2025-03-20 03:45:00,0.631022,short,1.000000,56.470209,False,0.632022,10.000000,0.630076,0.629129,0.627867,2025-03-20 08:15:00,0.627867,take_profit_3,3,4.500000,1418.719869
3,2025-03-20 08:30:00,0.627499,short,1.000000,59.492559,False,0.628499,10.000000,0.626557,0.625616,0.624361,2025-03-20 09:00:00,0.628598,stop_loss,0,0.500000,-1099.701067
4,2025-03-20 10:45:00,0.629892,short,1.000000,16.601532,False,0.630892,10.000000,0.628947,0.628002,0.626742,2025-03-21 10:30:00,0.626742,take_profit_3,3,23.750000,1131.981500
5,2025-03-21 10:45:00,0.626275,short,1.000000,42.822397,False,0.627275,10.000000,0.625336,0.624397,0.623144,2025-03-21 11:45:00,0.627418,stop_loss,0,1.000000,-1142.386185
6,2025-03-21 12:00:00,0.627091,short,1.000000,32.592213,False,0.628091,10.000000,0.626150,0.625210,0.623956,2025-03-23 17:00:00,0.628171,stop_loss,0,53.000000,-1080.189690
7,2025-03-23 17:15:00,0.628375,short,1.000000,14.819787,False,0.629375,10.000000,0.627432,0.626489,0.625233,2025-03-24 03:00:00,0.629507,stop_loss,1,9.750000,249.835366
8,2025-03-24 03:15:00,0.629780,long,1.000000,47.571782,False,0.628780,10.000000,0.630725,0.631670,0.632929,2025-03-24 07:00:00,0.628635,stop_loss,0,3.750000,-1144.816457
9,2025-03-24 07:15:00,0.628714,long,1.000000,22.240367,False,0.628569,1.447969,0.629657,0.630600,0.631857,2025-03-24 07:30:00,0.628377,stop_loss,0,0.250000,-336.109096
10,2025-03-24 07:45:00,0.628490,long,1.000000,24.178982,False,0.628596,1.054774,0.629433,0.630376,0.631633,2025-03-24 08:00:00,0.628463,stop_loss,0,0.250000,31.164770
11,2025-03-24 08:15:00,0.628902,long,1.000000,21.850081,False,0.628604,2.979264,0.629845,0.630788,0.632046,2025-03-24 08:45:00,0.628577,stop_loss,0,0.500000,-324.618019
12,2025-03-24 12:30:00,0.627086,short,1.000000,43.798165,False,0.628086,10.000000,0.626146,0.625205,0.623951,2025-03-24 13:30:00,0.628172,stop_loss,0,1.000000,-1085.904087
13,2025-03-24 14:00:00,0.628374,short,1.000000,23.193971,False,0.629374,10.000000,0.627431,0.626488,0.625232,2025-03-25 04:30:00,0.629558,stop_loss,0,14.500000,-1184.091742
14,2025-03-25 05:45:00,0.631635,long,1.000000,51.358261,False,0.630635,10.000000,0.632583,0.633530,0.634793,2025-03-25 09:00:00,0.630593,stop_loss,0,3.250000,-243.807482
15,2025-03-25 09:15:00,0.631071,long,1.000000,28.983651,False,0.630071,10.000000,0.632017,0.632964,0.634226,2025-03-25 13:30:00,0.629914,stop_loss,0,4.250000,-1156.862321
16,2025-03-26 04:30:00,0.632849,long,1.000000,42.425917,False,0.631849,10.000000,0.633799,0.634748,0.636013,2025-03-26 07:00:00,0.631739,stop_loss,0,2.500000,-1110.098800
17,2025-03-26 07:15:00,0.631803,long,1.000000,18.871884,False,0.631140,6.636415,0.632751,0.633699,0.634962,2025-03-26 08:15:00,0.630974,stop_loss,0,1.000000,-829.622265
18,2025-03-26 12:15:00,0.629169,short,1.000000,39.365393,False,0.630169,10.000000,0.628226,0.627282,0.626024,2025-03-26 21:15:00,0.630345,stop_loss,1,9.000000,201.913352
19,2025-03-26 21:30:00,0.630943,short,1.000000,29.908823,False,0.631943,10.000000,0.629996,0.629050,0.627788,2025-03-28 07:45:00,0.629996,tp1_pullback,2,34.250000,947.936782
20,2025-03-28 08:45:00,0.630816,long,1.000000,46.156774,False,0.629816,10.000000,0.631762,0.632708,0.633970,2025-03-28 09:30:00,0.629657,stop_loss,0,0.750000,-1158.639686
21,2025-03-30 17:45:00,0.627992,short,1.000000,35.564097,False,0.628992,10.000000,0.627050,0.626109,0.624853,2025-03-30 21:00:00,0.629183,stop_loss,0,3.250000,-1190.667911
22,2025-03-30 21:15:00,0.629552,short,1.000000,19.981542,False,0.630552,10.000000,0.628607,0.627663,0.626404,2025-03-31 02:30:00,0.628607,tp1_pullback,2,5.250000,915.994871
23,2025-03-31 04:15:00,0.625806,short,1.000000,37.581965,False,0.626806,10.000000,0.624867,0.623928,0.622676,2025-03-31 09:30:00,0.622676,take_profit_3,3,5.250000,1123.233719
24,2025-03-31 09:45:00,0.622916,short,1.000000,67.232307,False,0.623916,10.000000,0.621982,0.621048,0.619802,2025-03-31 12:15:00,0.624012,stop_loss,1,2.500000,412.897572
25,2025-03-31 12:30:00,0.624338,short,1.000000,16.102666,False,0.625338,10.000000,0.623402,0.622465,0.621217,2025-03-31 23:30:00,0.625464,stop_loss,1,11.000000,406.814585
26,2025-03-31 23:45:00,0.624816,long,1.000000,47.244862,False,0.624293,5.228028,0.625753,0.626691,0.627940,2025-04-01 01:30:00,0.625753,tp1_pullback,2,1.750000,852.661057
27,2025-04-01 11:00:00,0.627958,long,1.000000,42.892485,False,0.626958,10.000000,0.628900,0.629842,0.631098,2025-04-01 12:30:00,0.626795,stop_loss,0,1.500000,-1163.140299
28,2025-04-01 12:45:00,0.627130,long,1.000000,19.948131,False,0.626130,10.000000,0.628071,0.629011,0.630266,2025-04-01 20:00:00,0.628071,tp1_pullback,2,7.250000,892.900924
29,2025-04-01 20:45:00,0.627631,long,1.000000,18.165105,False,0.626807,8.236797,0.628572,0.629514,0.630769,2025-04-02 05:00:00,0.630769,take_profit_3,3,8.250000,1317.669670
30,2025-04-02 05:15:00,0.630745,long,1.000000,36.544755,False,0.629745,10.000000,0.631691,0.632637,0.633899,2025-04-02 10:00:00,0.629670,stop_loss,0,4.750000,-270.129340
31,2025-04-03 04:15:00,0.631950,long,1.000000,36.458694,False,0.630950,10.000000,0.632898,0.633846,0.635110,2025-04-03 06:00:00,0.635110,take_profit_3,3,1.750000,1618.827882
32,2025-04-03 06:15:00,0.634689,long,1.000000,63.672574,False,0.633689,10.000000,0.635641,0.636593,0.637862,2025-04-03 06:45:00,0.633599,stop_loss,0,0.500000,-1089.559359
33,2025-04-03 07:00:00,0.634219,long,1.000000,54.668173,False,0.633219,10.000000,0.635170,0.636121,0.637390,2025-04-03 07:45:00,0.635170,tp1_pullback,2,0.750000,1095.244954
34,2025-04-03 08:00:00,0.635716,long,1.000000,54.585745,False,0.634716,10.000000,0.636670,0.637623,0.638895,2025-04-03 09:00:00,0.636670,tp1_pullback,2,1.000000,1623.011770
35,2025-04-03 09:15:00,0.637346,long,1.000000,52.136299,False,0.636346,10.000000,0.638302,0.639258,0.640532,2025-04-03 11:15:00,0.636265,stop_loss,1,2.000000,416.123994
36,2025-04-03 11:30:00,0.634934,long,1.000000,16.253532,False,0.633934,10.000000,0.635887,0.636839,0.638109,2025-04-03 14:00:00,0.633748,stop_loss,0,2.500000,-260.495385
37,2025-04-03 15:45:00,0.631737,short,1.000000,56.235976,False,0.632737,10.000000,0.630789,0.629842,0.628578,2025-04-03 17:00:00,0.632831,stop_loss,0,1.250000,-1094.350761
38,2025-04-03 17:15:00,0.632543,short,1.000000,49.968818,False,0.633543,10.000000,0.631594,0.630646,0.629381,2025-04-03 22:15:00,0.629381,take_profit_3,3,5.000000,1121.389717
39,2025-04-03 22:30:00,0.628253,short,1.000000,42.155568,False,0.629253,10.000000,0.627311,0.626369,0.625112,2025-04-03 23:30:00,0.625112,take_profit_3,3,1.000000,1415.580937
40,2025-04-03 23:45:00,0.625362,short,1.000000,64.325269,False,0.626362,10.000000,0.624424,0.623486,0.622235,2025-04-04 01:15:00,0.624424,tp1_pullback,2,1.500000,1272.257172
41,2025-04-04 01:30:00,0.624213,short,1.000000,70.915978,False,0.625213,10.000000,0.623277,0.622341,0.621092,2025-04-04 03:45:00,0.621092,take_profit_3,3,2.250000,1109.923015
42,2025-04-04 04:00:00,0.621575,short,1.000000,61.860985,False,0.622575,10.000000,0.620643,0.619711,0.618468,2025-04-04 05:30:00,0.620643,tp1_pullback,2,1.500000,865.421137
