trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
39,2018-03-09 12:45:00,0.784202,long,1.000000,58.420029,False,Standard (NTI+MB+IC),0.783702,5.000000,0.784908,0.785614,0.786555,2018-03-09 15:00:00,0.784908,take_profit_1,1,2.250000,532.279558,PPT,0.700000,320.544997,TP1,0.300000,211.734561,532.279558,7.057819,532.279558
40,2018-03-09 15:15:00,0.784624,long,1.000000,40.487688,False,Standard (NTI+MB+IC),0.784124,5.000000,0.785330,0.786036,0.786978,2018-03-11 18:15:00,0.785330,take_profit_1,1,51.000000,355.941501,PPT,0.700000,144.092980,TP1,0.300000,211.848521,355.941501,7.061617,355.941501
41,2018-03-11 19:00:00,0.786023,long,1.000000,23.305459,False,Standard (NTI+MB+IC),0.785523,5.000000,0.786731,0.787438,0.788381,2018-03-11 22:00:00,0.786731,take_profit_1,1,3.000000,511.059012,PPT,0.700000,298.832776,TP1,0.300000,212.226236,511.059012,7.074208,511.059012
42,2018-03-11 22:15:00,0.786727,long,1.000000,37.118143,False,Standard (NTI+MB+IC),0.786227,5.000000,0.787435,0.788143,0.789087,2018-03-12 02:45:00,0.787435,take_profit_1,1,4.500000,522.330262,PPT,0.700000,309.913900,TP1,0.300000,212.416362,522.330262,7.080545,522.330262
43,2018-03-12 03:00:00,0.787145,long,1.000000,41.097330,False,Standard (NTI+MB+IC),0.786645,5.000000,0.787853,0.788562,0.789506,2018-03-12 03:30:00,0.787853,take_profit_1,1,0.500000,433.236408,PPT,0.700000,220.707338,TP1,0.300000,212.529070,433.236408,7.084302,433.236408
44,2018-03-12 03:45:00,0.787307,long,1.000000,35.709621,False,Standard (NTI+MB+IC),0.786807,5.000000,0.788015,0.788724,0.789668,2018-03-12 04:15:00,0.786802,stop_loss,0,0.500000,53.951003,PPT,0.700000,205.425310,,,,205.425310,-5.049144,53.951003
45,2018-03-12 05:00:00,0.786266,long,1.000000,18.029521,False,Standard (NTI+MB+IC),0.785766,5.000000,0.786974,0.787682,0.788625,2018-03-12 05:45:00,0.785567,stop_loss,0,0.750000,-699.558796,,,,,,,,-6.995588,-699.558796
46,2018-03-12 06:00:00,0.785917,long,1.000000,24.037534,False,Standard (NTI+MB+IC),0.785801,1.152953,0.786624,0.787331,0.788274,2018-03-12 08:15:00,0.786624,take_profit_1,1,2.250000,480.610502,PPT,0.700000,268.413032,TP1,0.300000,212.197469,480.610502,7.073249,480.610502
47,2018-03-12 16:00:00,0.788005,long,1.000000,48.759580,False,Standard (NTI+MB+IC),0.787505,5.000000,0.788715,0.789424,0.790369,2018-03-12 16:15:00,0.787307,stop_loss,0,0.250000,-698.353071,,,,,,,,-6.983531,-698.353071
48,2018-03-12 21:00:00,0.788297,long,1.000000,41.720470,False,Standard (NTI+MB+IC),0.787797,5.000000,0.789007,0.789716,0.790662,2018-03-12 22:30:00,0.787760,stop_loss,0,1.500000,-537.944147,,,,,,,,-5.379441,-537.944147
