currency,config,iteration,sharpe_ratio,total_pnl,total_return,win_rate,max_drawdown,profit_factor,total_trades
GBPUSD,Config 1: Ultra-Tight Risk,1,1.5922206841493654,225155.17476677248,22.51551747667554,64.61538461538461,-0.7406374871299521,2.113024077668323,585
GBPUSD,Config 1: Ultra-Tight Risk,2,1.8064023447140514,251592.06718803538,25.15920671880208,65.65495207667732,-0.7328186256489346,2.221965249191082,626
GBPUSD,Config 1: Ultra-Tight Risk,3,1.9780212947114588,295606.04587665724,29.560604587663853,68.8783570300158,-0.4492675505605767,2.553786232632047,633
GBPUSD,Config 1: Ultra-Tight Risk,4,1.4996234952344365,198413.81018543255,19.841381018542382,66.01769911504425,-0.9738888797582201,2.082075158979743,565
GBPUSD,Config 1: Ultra-Tight Risk,5,1.8887219561575102,199286.56532246526,19.92865653224585,73.89277389277389,-0.4997477955334722,2.8529826930083475,429
GBPUSD,Config 1: Ultra-Tight Risk,6,1.7977361891713568,265383.95901964675,26.53839590196288,65.68457538994801,-0.5461845196732451,2.3756191449305892,577
GBPUSD,Config 1: Ultra-Tight Risk,7,1.7608154653300172,254619.01389610503,25.461901389608226,65.26138279932546,-0.5530959573057647,2.2927000211309068,593
GBPUSD,Config 1: Ultra-Tight Risk,8,1.67109139834542,238639.5512580779,23.86395512580606,64.29780033840947,-0.5809771178625648,2.1902785047179707,591
GBPUSD,Config 1: Ultra-Tight Risk,9,1.932152494611158,210303.61927120943,21.030361927120225,73.58916478555305,-0.3387277064648946,2.8724488187710153,443
GBPUSD,Config 1: Ultra-Tight Risk,10,1.7068952838427676,212222.28777847454,21.222228777846226,68.71508379888269,-0.5341930893770477,2.31477707280312,537
GBPUSD,Config 1: Ultra-Tight Risk,11,2.27001096375624,425037.39513300266,42.50373951329768,65.78947368421053,-0.559202553150309,2.699510212246462,760
GBPUSD,Config 1: Ultra-Tight Risk,12,1.6684042513558932,197554.1004104534,19.755410041043792,68.97880539499036,-0.509861811282517,2.281273163970338,519
GBPUSD,Config 1: Ultra-Tight Risk,13,1.85970160758872,286834.3603575624,28.68343603575444,65.42635658914729,-0.6377460879663464,2.341539611018041,645
