crypto,config,iteration,sharpe_ratio,total_pnl,win_rate,max_drawdown,profit_factor,total_trades
ETH,Config 1: Crypto Ultra-Tight,1,0.19787745778549726,4569445912.154643,91.26912691269126,-1.010517287136318,23554.844906969436,1111
ETH,Config 1: Crypto Ultra-Tight,2,0.5394211922036105,6165706963.147078,93.14285714285714,-0.4871461529795583,36701.63668626715,1225
ETH,Config 1: Crypto Ultra-Tight,3,0.2645280148056765,3234711976.243803,88.515625,-0.06738652584152516,11003.421688164266,1280
ETH,Config 1: Crypto Ultra-Tight,4,0.2271441619609444,1264167348.8094056,85.47189819724285,-0.08371641043051382,4648.674076528631,943
ETH,Config 1: Crypto Ultra-Tight,5,0.21177203858462446,3320556755.628214,93.4801016088061,-0.018248638853204473,21563.056855238556,1181
ETH,Config 1: Crypto Ultra-Tight,6,0.6087065538061361,333035323.8665139,80.15625,-4.000000000019092,656.5813461913448,1280
ETH,Config 1: Crypto Ultra-Tight,7,0.22932701798255448,4235119333.300032,87.9254457050243,-0.06826661981234416,14308.835585811416,1234
ETH,Config 1: Crypto Ultra-Tight,8,0.28832796831693086,591765263.069743,83.14491264131551,-1.1146744225087175,1805.16238740414,973
ETH,Config 1: Crypto Ultra-Tight,9,0.45835974558087644,444894829.7012011,83.69195922989807,-0.5790497208419156,1556.5763276191497,883
ETH,Config 1: Crypto Ultra-Tight,10,0.2107031277776271,2325967417.0015883,88.93166506256016,-1.9999999999527063,10113.90181328954,1039
ETH,Config 1: Crypto Ultra-Tight,11,0.9727283510545641,316504012.67895156,75.30201342281879,-1.159466760561796,431.03262592192993,1490
ETH,Config 1: Crypto Ultra-Tight,12,0.27985627886348025,3597796772.227919,85.39755351681957,-0.11036775537169097,9419.316157887391,1308
ETH,Config 1: Crypto Ultra-Tight,13,0.20499068236672174,3910659452.7329063,88.70588235294117,-0.011911408360698025,13579.67865564369,1275
ETH,Config 1: Crypto Ultra-Tight,14,1.023254501112322,18750226.01811835,65.19886363636364,-1.3690073449450644,39.265767383902265,704
ETH,Config 1: Crypto Ultra-Tight,15,0.421741257473937,497089681.0290297,82.62806236080178,-0.3331754387298066,1063.1574380911447,1347
ETH,Config 1: Crypto Ultra-Tight,16,0.3172029618131279,4472489858.332967,88.04347826086956,-0.09286435351146047,14522.0709689569,1288
ETH,Config 1: Crypto Ultra-Tight,17,1.1639142861233673,480295543.62362033,77.08553326293558,-1.1086795773106501,1112.7952398681675,947
ETH,Config 1: Crypto Ultra-Tight,18,1.5576113184149019,31579008.891374454,61.98439241917503,-4.0,47.68513326545676,897
ETH,Config 1: Crypto Ultra-Tight,19,0.2000161309687422,2363591731.7372193,83.61027190332327,-1.1956341379328683,5447.0638981407965,1324
ETH,Config 1: Crypto Ultra-Tight,20,0.2538330169660231,1205733689.8230262,86.0445912469034,-0.11267312844889699,3568.2594374029854,1211
ETH,Config 1: Crypto Ultra-Tight,21,0.4430448245541494,537842827.8610922,84.50932684509327,-0.06428427520319503,1408.9655179557158,1233
ETH,Config 1: Crypto Ultra-Tight,22,0.20834299723338712,1950920984.984072,86.8229587712207,-0.01218235236153374,5985.420199479159,1237
ETH,Config 1: Crypto Ultra-Tight,23,0.69635913070803,417812938.606881,82.9045643153527,-4.000000000019092,1020.055947817288,1205
ETH,Config 1: Crypto Ultra-Tight,24,0.9999189333035626,355833412.6793626,80.0,-3.4319021476238345,695.8222584321946,1285
ETH,Config 1: Crypto Ultra-Tight,25,0.2572185387204552,1211667606.8321402,86.48424543946932,-1.0519641835007285,3717.771800156665,1206
ETH,Config 1: Crypto Ultra-Tight,26,1.3583247987472065,26453308.668288775,62.70996640537514,-3.0598212627909382,40.71968268510823,893
ETH,Config 1: Crypto Ultra-Tight,27,0.2668689341277747,595988956.1487131,84.90415335463258,-0.8252659299506384,1577.6903601825475,1252
ETH,Config 1: Crypto Ultra-Tight,28,0.20108420429850507,3150051808.8388586,83.33333333333334,-0.012892161565630575,1157.7445704946517,1326
ETH,Config 1: Crypto Ultra-Tight,29,0.18423909793946402,3011945826.390194,86.88282977155491,-0.007971671832504034,8461.52198444217,1357
ETH,Config 1: Crypto Ultra-Tight,30,0.2993552405304354,2625658017.5824513,90.06479481641469,-1.9999999999527063,9583.693495053081,1389
ETH,Config 2: Crypto Scalping,1,0.301187693788312,5443031839.3786545,91.8293564714389,-0.6106819318264873,48169.42335469222,1383
ETH,Config 2: Crypto Scalping,2,0.4391599426235798,3283368868.4710813,90.43020193151887,-0.09521720268150112,30123.65017017178,1139
ETH,Config 2: Crypto Scalping,3,0.2356124078894577,869960962.3416966,84.92159227985525,-0.05982605149158761,3480.843849411494,1658
ETH,Config 2: Crypto Scalping,4,0.20263481444225231,5776859108.521184,86.76829268292683,-0.0044661904537143466,26622.47054075696,1640
ETH,Config 2: Crypto Scalping,5,1.15855688790475,18176628.008806195,65.11919698870766,-1.805982401585438,66.49268140961124,797
ETH,Config 2: Crypto Scalping,6,0.2897052351209855,3510327684.2590775,84.16565164433617,-0.20433030006829314,13502.260321334528,1642
ETH,Config 2: Crypto Scalping,7,0.26594566339979003,595247055.5030028,85.06787330316742,-0.02533423579639638,378.5296634808997,1547
ETH,Config 2: Crypto Scalping,8,0.3695155681072486,8047803340.853629,92.46922519913106,-0.004963511531990429,77383.72442397891,1381
ETH,Config 2: Crypto Scalping,9,0.3863428939195194,1765256646.6708038,86.61145617667356,-0.036202098807516875,9142.46880992374,1449
ETH,Config 2: Crypto Scalping,10,1.4991722578143374,91213298.6558738,68.75712656784494,-0.9880315430055014,335.1146470914181,877
ETH,Config 2: Crypto Scalping,11,0.2102960837758063,6416627588.292698,90.97902097902097,-0.5820686242065062,49742.29912567164,1430
ETH,Config 2: Crypto Scalping,12,0.27102266526802615,1522302895.975247,87.1191135734072,-0.019572531898442196,8255.889724854223,1444
ETH,Config 2: Crypto Scalping,13,0.5628071605020192,3060785829.2859435,90.20878329733621,-1.9999999999527063,22506.778157046487,1389
ETH,Config 2: Crypto Scalping,14,0.27792422044594145,2578370739.697615,87.63513513513513,-0.012092200882900582,14090.457594309175,1480
ETH,Config 2: Crypto Scalping,15,0.38271847272850773,346296712.67196774,80.0376647834275,-3.000000000014319,1089.983373177087,1593
ETH,Config 2: Crypto Scalping,16,0.4660218269855314,1343639463.16838,85.40145985401459,-0.6083131385857817,8505.047235443993,1096
ETH,Config 2: Crypto Scalping,17,0.43827581220634687,985965538.2636929,87.16094032549728,-0.9999999999763531,6944.419283630725,1106
ETH,Config 2: Crypto Scalping,18,0.6442972823639314,1185128827.7564418,86.15179760319573,-0.9999999999763531,5698.7347489637705,1502
ETH,Config 2: Crypto Scalping,19,0.21934242441883703,786284643.8509191,85.46470999301188,-0.4932828333684679,3781.214633988032,1431
ETH,Config 2: Crypto Scalping,20,0.5651316527222155,429180557.3188974,82.4624194702935,-0.5286614736379165,1752.7573768113868,1397
ETH,Config 2: Crypto Scalping,21,0.5321853414961107,921214827.2033808,84.93827160493828,-0.585835992938079,3792.007519426938,1620
ETH,Config 2: Crypto Scalping,22,0.19731712297190332,5834078149.121357,86.4212432106216,-0.01649555405327502,25930.236213034565,1657
ETH,Config 2: Crypto Scalping,23,0.5872699172619904,5053806371.968306,91.70212765957447,-0.019032799839593346,43195.92625716081,1410
ETH,Config 2: Crypto Scalping,24,0.37722367861784684,693115359.356615,83.97548161120841,-0.034798797795150216,3809.3261503981494,1142
ETH,Config 2: Crypto Scalping,25,0.3632899508291185,5183057978.723512,89.5016611295681,-0.0773132648770476,33014.1081414524,1505
