iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
21,-8.117963,511,31.506849,0.589968,-8.855931,-11.632083,8.194390,-158.864250,725.491822,-565.668044,2089.533556,-699.323823,0.990673,1.282540,-158.864250,-5.248508,4.330508,2023-08-30 23:30:00,2023-12-27 00:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
22,-10.397098,654,29.204893,0.606387,-7.893455,-9.331952,10.686417,-158.977039,838.608252,-570.507904,2192.754332,-699.898467,0.972927,1.469933,-158.977039,-5.614906,5.542373,2018-12-04 07:45:00,2019-04-02 07:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
23,-5.758052,634,35.488959,0.759762,-3.738028,-5.536348,6.434662,-90.821013,809.336666,-586.017780,9028.577948,-2759.095757,0.894849,1.381079,-90.821013,-2.704255,5.072000,2022-11-15 19:30:00,2023-03-21 18:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
24,-0.140424,780,39.615385,0.994810,-0.011164,-0.026888,6.594026,-1.800308,871.103040,-574.469383,3356.989977,-3367.882223,0.021296,1.516361,-1.800308,-0.061605,6.610169,2019-12-05 15:00:00,2020-04-02 14:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
25,-5.370608,498,33.132530,0.715276,-5.369298,-6.664474,6.492858,-107.843535,817.688868,-566.440671,2192.749984,-697.611753,0.827156,1.443556,-107.843535,-3.224279,4.256410,2019-03-12 12:15:00,2019-07-08 10:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
26,-6.051671,788,36.167513,0.790928,-4.288169,-6.347428,8.204502,-76.797852,803.289786,-575.455858,2232.128979,-699.061509,0.737604,1.395919,-76.797852,-2.908663,6.677966,2020-09-02 08:30:00,2020-12-30 02:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
27,-6.974516,720,34.027778,0.740574,-5.281434,-7.265499,7.233008,-96.868280,812.650856,-565.988676,2259.479087,-848.724095,0.964262,1.435808,-96.868280,-3.540441,5.950413,2020-09-25 04:00:00,2021-01-24 21:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
28,-7.116549,450,30.444444,0.587912,-7.022772,-8.758866,7.406471,-158.145530,741.090521,-551.740862,2116.711566,-855.599891,0.960856,1.343186,-158.145530,-4.892127,3.846154,2024-01-10 11:00:00,2024-05-06 20:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
29,-7.355812,572,31.293706,0.667254,-5.929993,-7.446468,7.744442,-128.598120,824.055184,-562.503824,2192.774516,-698.836804,0.949818,1.464977,-128.598120,-4.202876,4.888889,2019-01-30 04:45:00,2019-05-28 01:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
30,-4.820323,590,36.779661,0.774831,-3.958277,-6.114675,5.248905,-81.700392,764.388435,-573.929012,2135.369201,-1416.515968,0.918348,1.331852,-81.700392,-2.745898,5.042735,2019-08-08 23:00:00,2019-12-04 06:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
31,-1.194585,786,38.804071,0.956837,-0.497298,-1.005458,4.614364,-15.198277,868.249345,-575.388557,3357.181367,-698.786478,0.258884,1.508979,-15.198277,-0.532175,6.717949,2020-01-10 06:30:00,2020-05-06 15:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
32,-8.640836,619,33.602585,0.636288,-7.341403,-10.269833,8.668816,-139.593466,726.755051,-578.037484,4859.887913,-4768.087504,0.996772,1.257280,-139.593466,-4.795131,5.201681,2024-10-24 22:30:00,2025-02-21 02:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
33,-4.952387,503,33.797217,0.736616,-4.763793,-6.442016,5.927863,-98.456992,814.734819,-564.651010,2192.736374,-697.783728,0.835442,1.442900,-98.456992,-2.942587,4.299145,2019-03-07 16:45:00,2019-07-03 13:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
34,-7.493335,597,30.988275,0.672978,-7.919650,-10.811015,8.349928,-125.516507,833.540032,-556.160826,2325.580969,-698.986604,0.897413,1.498739,-125.516507,-4.220609,5.102564,2018-04-18 20:00:00,2018-08-14 03:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
35,-8.894251,563,30.728242,0.593162,-7.232297,-10.659504,8.894251,-157.979589,749.576223,-560.562038,2338.258234,-699.947260,1.000000,1.337187,-157.979589,-5.444395,4.771186,2021-02-22 22:45:00,2021-06-21 03:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
36,-10.374483,504,25.992063,0.503322,-9.483704,-11.928073,10.469960,-205.842914,802.538878,-559.993088,2338.277956,-698.801896,0.990881,1.433123,-205.842914,-6.750550,4.344828,2021-05-16 21:45:00,2021-09-10 01:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
37,0.194762,785,39.745223,1.007081,0.118311,0.247602,5.622975,2.481049,887.803642,-581.494954,3354.322690,-699.868303,0.034637,1.526761,2.481049,0.085149,6.709402,2020-02-12 07:15:00,2020-06-08 16:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
38,-3.392326,499,36.873747,0.811719,-3.460983,-5.343791,3.585628,-67.982481,794.839455,-571.980057,2096.924949,-1405.718237,0.946090,1.389628,-67.982481,-2.025105,4.264957,2019-05-29 01:15:00,2019-09-23 09:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
39,-5.542527,606,34.983498,0.756037,-4.195751,-6.332010,6.309326,-91.460842,810.198803,-576.617808,2238.335057,-699.928388,0.878466,1.405088,-91.460842,-3.096761,5.179487,2022-02-18 12:00:00,2022-06-15 20:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
40,-11.211608,693,31.746032,0.589139,-9.540287,-11.607867,11.688031,-161.783664,730.748285,-576.914802,2509.511602,-699.001218,0.959238,1.266649,-161.783664,-6.168868,5.923077,2020-04-28 21:15:00,2020-08-24 05:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
41,-6.887407,568,33.450704,0.669742,-5.612653,-7.309704,7.089528,-121.257161,735.115809,-551.709183,2229.044646,-1353.404676,0.971490,1.332434,-121.257161,-4.192010,4.939130,2025-02-03 05:15:00,2025-05-29 14:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
42,-8.202263,640,32.500000,0.679809,-5.011114,-6.675649,8.210172,-128.160362,837.237549,-592.981578,9039.884472,-2731.219738,0.999037,1.411912,-128.160362,-3.800179,4.507042,2022-12-26 04:15:00,2023-05-17 16:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
43,-8.530895,598,32.775920,0.618728,-7.540194,-9.776119,8.618806,-142.657106,706.323233,-556.587818,4858.022870,-699.760915,0.989800,1.269024,-142.657106,-5.165575,5.067797,2024-11-29 06:00:00,2025-03-28 03:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
44,-7.993626,480,27.083333,0.588514,-7.858638,-10.796399,8.594883,-166.533873,879.433634,-555.036091,2188.204718,-1674.829699,0.930045,1.584462,-166.533873,-5.048348,4.102564,2024-06-11 09:15:00,2024-10-06 17:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
