trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2024-12-10 00:15:00,0.638850,short,1.000000,64.743148,False,Standard (NTI+MB+IC),0.639350,5.000000,0.638275,0.637700,0.636933,2024-12-10 00:30:00,0.639447,stop_loss,0,0.250000,-597.417882,-5.974179,-597.417882,,,,,,,,,,
2,2024-12-10 00:45:00,0.639531,short,1.000000,55.352107,False,Standard (NTI+MB+IC),0.640031,5.000000,0.638955,0.638380,0.637612,2024-12-10 01:15:00,0.640176,stop_loss,0,0.500000,-644.656157,-6.446562,-644.656157,,,,,,,,,,
3,2024-12-10 01:30:00,0.639383,short,1.000000,43.779627,False,Standard (NTI+MB+IC),0.639883,5.000000,0.638808,0.638232,0.637465,2024-12-10 01:45:00,0.640023,stop_loss,0,0.250000,-639.357098,-6.393571,-639.357098,,,,,,,,,,
4,2024-12-10 02:00:00,0.639658,short,1.000000,38.840911,False,Standard (NTI+MB+IC),0.640158,5.000000,0.639083,0.638507,0.637739,2024-12-10 02:45:00,0.639083,take_profit_1,1,0.750000,423.553131,5.756925,423.553131,PPT,0.700000,250.845376,TP1,0.300000,172.707755,423.553131,,,
5,2024-12-10 03:00:00,0.638318,short,1.000000,41.420626,False,Standard (NTI+MB+IC),0.638818,5.000000,0.637743,0.637169,0.636403,2024-12-10 03:15:00,0.638867,stop_loss,0,0.250000,-549.028377,-5.490284,-549.028377,,,,,,,,,,
6,2024-12-10 03:30:00,0.639283,short,1.000000,33.378574,False,Standard (NTI+MB+IC),0.639783,5.000000,0.638708,0.638132,0.637365,2024-12-10 05:15:00,0.639801,stop_loss,0,1.750000,-518.010497,-5.180105,-518.010497,,,,,,,,,,
7,2024-12-10 05:30:00,0.639596,short,1.000000,12.557199,False,Standard (NTI+MB+IC),0.640096,5.000000,0.639021,0.638445,0.637677,2024-12-10 07:15:00,0.639021,take_profit_1,1,1.750000,282.019334,5.756366,282.019334,PPT,0.700000,109.328365,TP1,0.300000,172.690970,282.019334,,,
8,2024-12-10 11:00:00,0.636964,short,1.000000,43.165643,False,Standard (NTI+MB+IC),0.637464,5.000000,0.636391,0.635817,0.635053,2024-12-10 11:45:00,0.637552,stop_loss,0,0.750000,-588.471932,-5.884719,-588.471932,,,,,,,,,,
9,2024-12-10 12:00:00,0.637464,short,1.000000,44.661278,False,Standard (NTI+MB+IC),0.637964,5.000000,0.636890,0.636317,0.635552,2024-12-10 13:45:00,0.637968,stop_loss,0,1.750000,75.714962,-5.038660,75.714962,PPT,0.700000,226.874768,,,,226.874768,,,
10,2024-12-11 02:00:00,0.635532,short,1.000000,29.960026,False,Standard (NTI+MB+IC),0.636032,5.000000,0.634960,0.634388,0.633625,2024-12-11 02:30:00,0.634960,take_profit_1,1,0.500000,809.920726,5.719787,809.920726,PPT,0.700000,638.327114,TP1,0.300000,171.593612,809.920726,,,
