trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2016-06-23 19:30:00,0.753173,long,1.000000,22.350383,False,Standard (NTI+MB+IC),0.758064,48.907775,0.754303,0.755432,0.756939,2016-06-23 21:00:00,0.753233,trailing_stop,0,1.500000,914.143919,TP0,0.330000,372.820523,TP0,0.221100,249.789750,TP0,0.148137,167.359133,789.969406,0.597679,914.143919
2,2016-06-23 21:15:00,0.751899,short,1.000000,42.338972,False,Standard (NTI+MB+IC),0.752899,10.000000,0.750771,0.749644,0.748140,2016-07-04 02:30:00,0.734843,trailing_stop,0,245.250000,1925.635893,TP0,0.330000,372.190155,TP0,0.335000,1175.616339,TP0,0.110550,124.683702,1672.490196,170.558601,1925.635893
3,2016-07-04 02:45:00,0.751099,long,1.000000,51.151533,False,Standard (NTI+MB+IC),0.750099,10.000000,0.752226,0.753353,0.754855,2016-07-04 03:15:00,0.751144,trailing_stop,0,0.500000,287.764519,TP0,0.500000,265.364148,,,,,,,265.364148,0.448007,287.764519
4,2016-07-04 03:30:00,0.750902,long,1.000000,55.492500,False,Standard (NTI+MB+IC),0.749902,10.000000,0.752028,0.753154,0.754656,2016-07-04 04:30:00,0.750989,trailing_stop,0,1.000000,604.334275,TP0,0.500000,389.138629,TP0,0.165000,185.848176,,,,574.986806,0.876044,604.334275
5,2016-07-04 04:45:00,0.750552,long,1.000000,49.458365,False,Standard (NTI+MB+IC),0.749552,10.000000,0.751678,0.752804,0.754305,2016-07-04 21:45:00,0.751850,trailing_stop,0,17.000000,1026.984549,TP0,0.500000,464.070655,TP0,0.165000,185.761585,TP0,0.110550,124.460262,774.292502,12.980690,1026.984549
6,2016-07-04 22:00:00,0.750317,short,1.000000,50.450912,False,Standard (NTI+MB+IC),0.751317,10.000000,0.749192,0.748066,0.746566,2016-07-04 22:30:00,0.751513,stop_loss,0,0.500000,-1195.164908,,,,,,,,,,,-11.951649,-1195.164908
7,2016-07-04 22:45:00,0.751517,short,1.000000,43.791614,False,Standard (NTI+MB+IC),0.752517,10.000000,0.750390,0.749262,0.747759,2016-07-04 23:30:00,0.751454,trailing_stop,0,0.750000,314.585730,TP0,0.500000,283.395466,,,,,,,283.395466,0.623805,314.585730
8,2016-07-05 11:00:00,0.745851,short,1.000000,43.372718,False,Standard (NTI+MB+IC),0.746851,10.000000,0.744732,0.743614,0.742122,2016-07-05 16:15:00,0.745825,trailing_stop,0,5.250000,26.389882,,,,,,,,,,,0.263899,26.389882
9,2016-07-05 19:30:00,0.743611,short,1.000000,39.813391,False,Standard (NTI+MB+IC),0.744611,10.000000,0.742495,0.741380,0.739893,2016-07-05 20:45:00,0.743548,trailing_stop,0,1.250000,661.673063,TP0,0.500000,340.311474,TP0,0.165000,184.043629,TP0,0.110550,123.309232,647.664335,0.624136,661.673063
10,2016-07-05 21:00:00,0.743489,short,1.000000,43.514516,False,Standard (NTI+MB+IC),0.744489,10.000000,0.742374,0.741258,0.739771,2016-07-06 01:30:00,0.743394,trailing_stop,0,4.500000,1170.136883,TP0,0.500000,614.395015,TP0,0.165000,184.013476,TP0,0.110550,123.289029,921.697519,0.944812,1170.136883
11,2016-07-06 12:30:00,0.750774,long,1.000000,39.957395,False,Standard (NTI+MB+IC),0.749774,10.000000,0.751900,0.753026,0.754527,2016-07-06 21:45:00,0.750786,trailing_stop,0,9.250000,1069.955497,TP0,0.500000,508.245205,TP0,0.165000,185.816444,TP0,0.110550,124.497017,818.558666,0.129480,1069.955497
12,2016-07-06 22:00:00,0.750717,long,1.000000,22.896174,False,Standard (NTI+MB+IC),0.749860,8.566045,0.751843,0.752969,0.754470,2016-07-07 02:15:00,0.750804,trailing_stop,0,4.250000,895.247470,TP0,0.500000,341.681237,TP0,0.165000,185.802368,TP0,0.110550,124.487586,651.971192,0.868990,895.247470
13,2016-07-07 02:45:00,0.749615,long,1.000000,33.555447,False,Standard (NTI+MB+IC),0.750290,6.749973,0.750739,0.751864,0.753363,2016-07-07 11:00:00,0.750946,trailing_stop,0,8.250000,969.771042,TP0,0.500000,407.559461,TP0,0.165000,185.529683,TP0,0.110550,124.304888,717.394032,13.313847,969.771042
14,2016-07-07 13:00:00,0.747395,short,1.000000,45.989210,False,Standard (NTI+MB+IC),0.748395,10.000000,0.746273,0.745152,0.743658,2016-07-07 19:00:00,0.748553,stop_loss,0,6.000000,-1158.601894,,,,,,,,,,,-11.586019,-1158.601894
15,2016-07-07 20:15:00,0.749951,short,1.000000,44.384648,False,Standard (NTI+MB+IC),0.749363,5.878943,0.748826,0.747701,0.746201,2016-07-07 20:30:00,0.749520,stop_loss,0,0.250000,430.592288,,,,,,,,,,,4.305923,430.592288
16,2016-07-07 20:45:00,0.750422,long,1.000000,54.629055,False,Standard (NTI+MB+IC),0.749422,10.000000,0.751547,0.752673,0.754174,2016-07-07 22:15:00,0.750515,trailing_stop,0,1.500000,726.176886,TP0,0.500000,509.124815,TP0,0.165000,185.729383,,,,694.854198,0.935006,726.176886
17,2016-07-08 02:30:00,0.748743,short,1.000000,40.145056,False,Standard (NTI+MB+IC),0.749743,10.000000,0.747620,0.746497,0.745000,2016-07-08 03:00:00,0.749777,stop_loss,0,0.500000,-1033.051102,,,,,,,,,,,-10.330511,-1033.051102
18,2016-07-08 08:30:00,0.752996,long,1.000000,23.957165,False,Standard (NTI+MB+IC),0.751996,10.000000,0.754126,0.755255,0.756761,2016-07-11 05:00:00,0.754863,trailing_stop,0,68.500000,1871.543324,TP0,0.500000,1306.796018,TP0,0.165000,186.366611,TP0,0.110550,124.865629,1618.028259,18.666067,1871.543324
19,2016-07-11 05:15:00,0.754189,short,1.000000,36.291256,False,Standard (NTI+MB+IC),0.755189,10.000000,0.753058,0.751926,0.750418,2016-07-11 06:30:00,0.755360,stop_loss,0,1.250000,-1171.232129,,,,,,,,,,,-11.712321,-1171.232129
20,2016-07-11 12:00:00,0.753120,short,1.000000,38.473123,False,Standard (NTI+MB+IC),0.754120,10.000000,0.751990,0.750860,0.749354,2016-07-11 18:30:00,0.754249,stop_loss,0,6.500000,-1128.944760,,,,,,,,,,,-11.289448,-1128.944760
21,2016-07-11 21:30:00,0.756785,long,1.000000,34.726526,False,Standard (NTI+MB+IC),0.755785,10.000000,0.757920,0.759056,0.760569,2016-07-15 16:45:00,0.764074,trailing_stop,0,91.250000,1544.984868,TP0,0.500000,977.395962,TP0,0.165000,187.304339,TP0,0.110550,125.493907,1290.194208,72.888035,1544.984868
22,2016-07-17 19:15:00,0.759452,short,1.000000,23.966624,False,Standard (NTI+MB+IC),0.760452,10.000000,0.758313,0.757174,0.755655,2016-07-17 22:30:00,0.759410,trailing_stop,0,3.250000,786.537205,TP0,0.500000,290.999494,TP0,0.165000,187.964370,TP0,0.110550,125.936128,604.899991,0.422235,786.537205
23,2016-07-17 23:30:00,0.759199,short,1.000000,28.425361,False,Standard (NTI+MB+IC),0.760165,9.656598,0.758060,0.756921,0.755403,2016-07-18 03:00:00,0.759103,trailing_stop,0,3.500000,497.752805,TP0,0.500000,449.543271,,,,,,,449.543271,0.964191,497.752805
24,2016-07-18 17:30:00,0.757778,short,1.000000,36.105209,False,Standard (NTI+MB+IC),0.758778,10.000000,0.756642,0.755505,0.753990,2016-07-29 09:15:00,0.746055,trailing_stop,0,255.750000,822.554351,TP0,0.500000,254.220521,TP0,0.165000,187.550164,TP0,0.110550,125.658610,567.429295,117.230756,822.554351
25,2016-07-29 09:30:00,0.756572,long,1.000000,50.698078,False,Standard (NTI+MB+IC),0.755572,10.000000,0.757707,0.758842,0.760355,2016-08-01 06:30:00,0.758947,trailing_stop,0,69.000000,996.415932,TP0,0.500000,428.986913,TP0,0.165000,187.251576,TP0,0.110550,125.458556,741.697045,23.752971,996.415932
26,2016-08-01 07:15:00,0.756588,short,1.000000,45.053362,False,Standard (NTI+MB+IC),0.757588,10.000000,0.755453,0.754319,0.752805,2016-08-01 11:45:00,0.756581,trailing_stop,0,4.500000,603.954326,TP0,0.500000,414.137588,TP0,0.165000,187.255598,,,,601.393186,0.076452,603.954326
27,2016-08-01 13:00:00,0.756387,short,1.000000,24.519877,False,Standard (NTI+MB+IC),0.757387,10.000000,0.755253,0.754118,0.752605,2016-08-02 03:45:00,0.753460,trailing_stop,0,14.750000,960.874281,TP0,0.500000,393.583903,TP0,0.165000,187.205824,TP0,0.110550,125.427902,706.217629,29.267452,960.874281
