trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2013-06-26 22:00:00,0.932607,long,1.000000,31.805596,False,Standard (NTI+MB+IC),0.932107,5.000000,0.933446,0.934286,0.935405,2013-06-26 22:45:00,0.932569,trailing_stop,0,0.750000,252.518334,PPT,0.700000,177.081113,PPT,0.099000,83.095286,260.176399,-0.380998,252.518334,,,
2,2013-06-26 23:00:00,0.933420,long,1.000000,48.138650,False,Standard (NTI+MB+IC),0.932920,5.000000,0.934261,0.935101,0.936221,2013-06-26 23:15:00,0.932899,stop_loss,0,0.250000,-521.340164,,,,,,,,-5.213402,-521.340164,,,
3,2013-06-26 23:30:00,0.932401,long,1.000000,49.011093,False,Standard (NTI+MB+IC),0.931901,5.000000,0.933240,0.934079,0.935198,2013-06-26 23:45:00,0.931891,stop_loss,0,0.250000,-510.019167,,,,,,,,-5.100192,-510.019167,,,
4,2013-06-27 20:45:00,0.922636,short,1.000000,46.586819,False,Standard (NTI+MB+IC),0.923136,5.000000,0.921806,0.920976,0.919868,2013-06-27 21:30:00,0.923223,stop_loss,0,0.750000,-118.935872,PPT,0.330000,274.023012,,,,274.023012,-5.865058,-118.935872,,,
5,2013-06-27 21:45:00,0.924534,short,1.000000,53.030413,False,Standard (NTI+MB+IC),0.925034,5.000000,0.923702,0.922870,0.921760,2013-06-27 22:30:00,0.924582,trailing_stop,0,0.750000,518.736582,PPT,0.700000,387.614477,PPT,0.099000,82.375956,525.182323,-0.478632,518.736582,PPT,0.066330,55.191890
6,2013-06-27 23:15:00,0.925500,short,1.000000,30.759721,False,Standard (NTI+MB+IC),0.926000,5.000000,0.924667,0.923834,0.922724,2013-06-28 00:30:00,0.925486,trailing_stop,0,1.250000,190.563781,PPT,0.700000,105.265684,PPT,0.099000,82.462084,187.727768,0.141095,190.563781,,,
7,2013-06-28 09:00:00,0.921040,short,1.000000,32.690772,False,Standard (NTI+MB+IC),0.921540,5.000000,0.920211,0.919382,0.918277,2013-07-01 10:15:00,0.913578,trailing_stop,0,73.250000,1305.722413,PPT,0.700000,1057.041597,PPT,0.099000,82.064669,1194.089595,74.623384,1305.722413,PPT,0.066330,54.983328
8,2013-07-01 11:30:00,0.923474,long,1.000000,47.222203,False,Standard (NTI+MB+IC),0.922974,5.000000,0.924305,0.925136,0.926244,2013-07-01 13:00:00,0.923702,trailing_stop,0,1.500000,922.257523,PPT,0.700000,697.353701,PPT,0.099000,82.281514,834.763829,2.278712,922.257523,PPT,0.066330,55.128614
9,2013-07-01 13:15:00,0.923804,long,1.000000,59.937768,False,Standard (NTI+MB+IC),0.923304,5.000000,0.924635,0.925467,0.926575,2013-07-01 13:45:00,0.923184,stop_loss,0,0.500000,-619.404113,,,,,,,,-6.194041,-619.404113,,,
10,2013-07-01 14:00:00,0.923432,long,1.000000,48.819816,False,Standard (NTI+MB+IC),0.922932,5.000000,0.924264,0.925095,0.926203,2013-07-01 15:30:00,0.922795,stop_loss,0,1.500000,-637.594651,,,,,,,,-6.375947,-637.594651,,,
11,2013-07-01 16:45:00,0.923939,long,1.000000,21.555922,False,Standard (NTI+MB+IC),0.923439,5.000000,0.924771,0.925602,0.926711,2013-07-01 17:45:00,0.923243,stop_loss,0,1.000000,-696.473656,,,,,,,,-6.964737,-696.473656,,,
12,2013-07-02 00:30:00,0.917799,short,1.000000,37.461938,False,Standard (NTI+MB+IC),0.918299,5.000000,0.916973,0.916147,0.915046,2013-07-02 02:45:00,0.917093,trailing_stop,0,2.250000,1057.631129,PPT,0.700000,811.284527,PPT,0.099000,81.775889,947.850262,7.062425,1057.631129,PPT,0.066330,54.789846
13,2013-07-02 03:00:00,0.918567,short,1.000000,42.053691,False,Standard (NTI+MB+IC),0.919067,5.000000,0.917740,0.916913,0.915811,2013-07-02 03:30:00,0.919186,stop_loss,0,0.500000,-619.672629,,,,,,,,-6.196726,-619.672629,,,
14,2013-07-02 04:00:00,0.921066,short,1.000000,16.525902,False,Standard (NTI+MB+IC),0.921454,3.878871,0.920237,0.919408,0.918303,2013-07-10 03:30:00,0.905750,trailing_stop,0,191.500000,729.012241,PPT,0.700000,480.324373,PPT,0.099000,82.066996,617.376257,153.160713,729.012241,PPT,0.066330,54.984888
15,2013-07-10 04:15:00,0.921258,long,1.000000,36.496346,False,Standard (NTI+MB+IC),0.920758,5.000000,0.922087,0.922916,0.924022,2013-07-10 04:45:00,0.921250,trailing_stop,0,0.500000,153.137131,PPT,0.700000,155.571224,,,,155.571224,-0.081136,153.137131,,,
16,2013-07-10 05:00:00,0.921104,long,1.000000,36.599782,False,Standard (NTI+MB+IC),0.920604,5.000000,0.921933,0.922762,0.923867,2013-07-10 05:30:00,0.920556,stop_loss,0,0.500000,-547.892355,,,,,,,,-5.478924,-547.892355,,,
17,2013-07-10 09:30:00,0.916863,long,1.000000,32.575332,False,Standard (NTI+MB+IC),0.918411,15.482784,0.917688,0.918513,0.919614,2013-07-10 09:45:00,0.918213,stop_loss,0,0.250000,1350.428629,,,,,,,,13.504286,1350.428629,,,
18,2013-07-10 10:00:00,0.917256,short,1.000000,38.614820,False,Standard (NTI+MB+IC),0.917756,5.000000,0.916431,0.915605,0.914504,2013-07-10 14:15:00,0.915426,trailing_stop,0,4.250000,631.042179,PPT,0.700000,382.275571,PPT,0.099000,81.727519,518.760528,18.305151,631.042179,PPT,0.066330,54.757438
19,2013-07-10 14:45:00,0.911418,short,1.000000,36.035100,False,Standard (NTI+MB+IC),0.911918,5.000000,0.910598,0.909778,0.908684,2013-07-10 15:15:00,0.911966,stop_loss,0,0.500000,-96.353860,PPT,0.330000,270.691182,,,,270.691182,-5.478284,-96.353860,,,
20,2013-07-10 15:30:00,0.911466,short,1.000000,34.958423,False,Standard (NTI+MB+IC),0.911966,5.000000,0.910645,0.909825,0.908731,2013-07-10 16:00:00,0.911480,trailing_stop,0,0.500000,349.610197,PPT,0.700000,353.874588,,,,353.874588,-0.142146,349.610197,,,
21,2013-07-10 16:15:00,0.912140,short,1.000000,34.342191,False,Standard (NTI+MB+IC),0.912640,5.000000,0.911319,0.910498,0.909403,2013-07-10 16:45:00,0.912824,stop_loss,0,0.500000,-684.279093,,,,,,,,-6.842791,-684.279093,,,
22,2013-07-10 17:00:00,0.918585,short,1.000000,17.728910,False,Standard (NTI+MB+IC),0.917008,15.766489,0.917758,0.916931,0.915829,2013-07-10 17:30:00,0.918540,trailing_stop,0,0.500000,302.885782,PPT,0.330000,272.819705,,,,272.819705,0.448747,302.885782,,,
23,2013-07-10 17:45:00,0.922109,short,1.000000,45.127123,False,Standard (NTI+MB+IC),0.917035,50.739077,0.921279,0.920449,0.919343,2013-07-10 18:15:00,0.922117,trailing_stop,0,0.500000,268.437779,PPT,0.330000,273.866391,,,,273.866391,-0.081024,268.437779,,,
24,2013-07-10 18:30:00,0.926577,long,1.000000,53.433159,False,Standard (NTI+MB+IC),0.926077,5.000000,0.927411,0.928245,0.929357,2013-07-10 19:15:00,0.927656,trailing_stop,0,0.750000,1601.209065,PPT,0.700000,1317.990188,PPT,0.099000,82.558025,1455.862089,10.792825,1601.209065,PPT,0.066330,55.313877
25,2013-07-10 19:30:00,0.924376,long,1.000000,56.987098,False,Standard (NTI+MB+IC),0.923876,5.000000,0.925208,0.926040,0.927149,2013-07-10 19:45:00,0.923690,stop_loss,0,0.250000,-685.769535,,,,,,,,-6.857695,-685.769535,,,
26,2013-07-10 20:00:00,0.921417,long,1.000000,47.354457,False,Standard (NTI+MB+IC),0.920917,5.000000,0.922246,0.923076,0.924181,2013-07-11 05:30:00,0.927661,trailing_stop,0,9.500000,740.808703,PPT,0.700000,492.025488,PPT,0.099000,82.098264,629.129589,62.443570,740.808703,PPT,0.066330,55.005837
27,2013-07-11 05:45:00,0.920480,short,1.000000,47.310624,False,Standard (NTI+MB+IC),0.920980,5.000000,0.919652,0.918823,0.917719,2013-07-11 06:30:00,0.921049,stop_loss,0,0.750000,-568.457984,,,,,,,,-5.684580,-568.457984,,,
28,2013-07-11 08:45:00,0.918756,short,1.000000,38.894169,False,Standard (NTI+MB+IC),0.919256,5.000000,0.917930,0.917103,0.916000,2013-07-11 16:15:00,0.914476,trailing_stop,0,7.500000,406.619800,PPT,0.700000,158.541567,PPT,0.099000,81.861203,295.249776,42.808506,406.619800,PPT,0.066330,54.847006
29,2013-07-11 20:45:00,0.913580,short,1.000000,41.801448,False,Standard (NTI+MB+IC),0.914080,5.000000,0.912758,0.911936,0.910839,2013-07-11 21:00:00,0.914179,stop_loss,0,0.250000,-598.544042,,,,,,,,-5.985440,-598.544042,,,
