iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,num_wins,num_losses,max_consec_wins,max_consec_losses,integrity_ok,primary_year
20,2012-02-15 22:00:00,2012-06-12 05:45:00,-4.429602608532596,-63942.026477728985,-6.39420264777306,46.757925072046106,1388,8.304653164209025,0.8463273175016546,542.6044934889403,-563.047825104264,649,739,8,9,True,2012
21,2019-03-22 00:15:00,2019-07-17 22:00:00,-9.296071369141163,-64430.814451830745,-6.443081445183023,54.98575498575499,702,6.5002975048610745,0.6086094501115473,259.55815152205633,-520.9501928460269,386,316,10,12,True,2019
22,2011-04-13 04:00:00,2011-08-08 11:45:00,2.1179445346429877,42472.897406015734,4.247289740601589,47.910216718266255,1292,2.7409259745188876,1.1123334126177706,679.4339904618374,-561.8079386179222,619,673,11,10,True,2011
23,2011-10-12 12:15:00,2012-02-07 14:15:00,3.8677512306156236,74629.86631383012,7.462986631382979,49.42450914014895,1477,1.5411913494965888,1.1756576509043097,684.2323563011213,-568.7546904765576,730,747,11,11,True,2011
24,2011-02-08 15:00:00,2011-06-05 22:45:00,0.08192004463666937,1068.3944595613098,0.10683944595613283,46.775446775446774,1287,3.2469716225549607,1.0028388671606048,626.9331329061984,-549.4092723357228,602,685,8,10,True,2011
25,2020-07-19 20:45:00,2020-11-12 04:30:00,-6.503550526981839,-59432.74751115169,-5.943274751115242,50.51546391752577,970,7.152203923978741,0.7688346550369446,403.4037684234735,-535.6262375805285,490,480,9,9,True,2020
26,2015-02-18 02:45:00,2015-06-15 10:30:00,-3.0424141830753197,-47526.92935612935,-4.752692935612612,49.27756653992395,1315,5.069993975949262,0.8741192880510746,509.30303366391297,-566.0499177966192,648,667,8,9,True,2015
27,2018-06-05 07:30:00,2018-09-28 15:15:00,-10.367760490583997,-89828.06428943099,-8.98280642894319,50.20576131687243,972,9.23474318965855,0.6569384965272727,352.4884936327487,-540.9967958310173,488,484,8,8,True,2018
28,2010-05-27 09:15:00,2010-09-21 16:45:00,1.8069215023798808,35384.71497932005,3.5384714979315293,49.19168591224018,1299,3.1719750652581395,1.093931361947552,644.9028519474246,-570.7700112349761,639,660,8,8,True,2010
29,2015-12-07 13:15:00,2016-04-05 00:00:00,-4.458202222218606,-50141.75640307049,-5.014175640307018,50.99127676447264,1261,5.890220032035468,0.8556529813184771,462.2515958597361,-562.086622234435,643,618,13,8,True,2015
30,2011-02-14 03:30:00,2011-06-09 11:15:00,0.3781794867789254,4169.269091635604,0.4169269091634313,46.82352941176471,1275,3.201736905806387,1.0112241890569003,629.1845814353003,-547.8671475298506,597,678,8,10,True,2011
31,2015-11-10 03:45:00,2016-03-08 14:30:00,-5.7712833716499565,-65652.67080131758,-6.565267080131639,50.19700551615445,1269,6.794545775733759,0.8121209437088849,445.50779416193376,-552.913189370996,637,632,9,9,True,2015
32,2013-04-30 10:30:00,2013-08-25 18:15:00,0.7647088688612103,15148.791193843032,1.5148791193845448,49.11785462244178,1417,2.026975945554069,1.0365589093252423,617.1198242492619,-574.7109659967311,696,721,9,10,True,2013
33,2023-07-25 17:00:00,2023-11-20 21:30:00,-5.448062609306803,-56555.64075538723,-5.655564075538644,53.645833333333336,960,6.562449897042096,0.7637940009515697,355.1027353444572,-538.0529201298489,515,445,14,7,True,2023
34,2016-09-22 19:45:00,2017-01-19 04:30:00,-5.412496842451996,-61023.9571628919,-6.102395716289373,50.54401582591493,1011,6.093395716289361,0.7821226974003004,428.6890257104814,-560.168098601896,511,500,12,9,True,2016
35,2015-12-29 13:00:00,2016-04-25 20:45:00,-4.968973747167111,-58010.758425045984,-5.801075842504553,49.88216810683425,1273,6.087534245145645,0.8355110447352196,464.03450054179467,-552.7784737759962,635,638,11,8,True,2015
36,2020-06-01 00:00:00,2020-09-24 07:45:00,-5.190454814724018,-52152.77243167983,-5.215277243168245,50.189393939393945,1056,6.441137173741115,0.8169782792284414,439.24760960742265,-541.7376530867184,530,526,9,8,True,2020
37,2020-02-13 14:30:00,2020-06-09 23:15:00,3.78361633850257,95916.1136203672,9.591611362036387,51.37404580152671,1310,1.6853846386408209,1.2895860702795678,634.6717607044609,-519.9654338049212,673,637,13,8,True,2020
38,2014-01-06 09:45:00,2014-05-01 17:30:00,-9.491671957364586,-110842.47561391251,-11.084247561391047,48.01762114537445,1135,11.2075195681973,0.6604346455540248,395.5634802713635,-553.2619870539075,545,590,9,7,True,2014
39,2017-05-07 23:00:00,2017-08-31 06:45:00,-6.707569777398403,-68820.63960717319,-6.882063960717468,52.23300970873787,1030,7.344706616475605,0.741056052000929,366.0848210068001,-540.1916124163245,538,492,11,8,True,2017
40,2016-12-21 09:30:00,2017-04-18 18:15:00,-11.578133172524353,-94035.43491099236,-9.403543491099123,49.01098901098901,910,9.482964469001104,0.634796120599825,366.4844570972505,-554.9299628800992,446,464,12,8,True,2016
41,2011-05-09 03:30:00,2011-09-01 11:15:00,3.056496512343813,74169.2831435069,7.416928314350568,48.384491114701135,1238,2.7655312570922295,1.2061196101692628,724.549940924819,-563.1238364169949,599,639,11,10,True,2011
42,2012-11-26 04:45:00,2013-03-26 02:15:00,-10.588450614452974,-102220.33317222063,-10.222033317222179,45.40295119182747,881,10.29448526140129,0.602734982092601,387.7246164827164,-534.9483986804726,400,481,7,9,True,2012
43,2020-04-23 19:30:00,2020-08-19 03:15:00,-4.024017734492774,-44857.90692068901,-4.485790692069195,49.63235294117647,1088,5.230519117580376,0.8483729761163564,464.7885930874613,-539.8608525326973,540,548,11,8,True,2020
44,2017-05-18 04:00:00,2017-09-12 11:45:00,-5.850444474091368,-62732.2314743869,-6.273223147438793,52.29615745079662,1067,6.375755548133363,0.7709771665547807,378.459376901536,-538.1386321914422,558,509,11,8,True,2017
45,2011-12-01 07:30:00,2012-03-28 09:30:00,-4.452520044757284,-57879.22100107842,-5.787922100107767,46.56488549618321,1441,6.32259433117032,0.8668771613813082,561.7009375046888,-564.6500650217204,671,770,10,11,True,2011
46,2016-03-14 03:45:00,2016-07-07 11:30:00,-1.6373215216078327,-32358.571684949882,-3.2358571684950386,50.413223140495866,1089,6.568527912688404,0.8948491681800719,501.59607001406755,-569.8792854123574,549,540,7,8,True,2016
47,2018-10-25 11:30:00,2019-02-21 09:15:00,-6.015203793712646,-70510.96779296597,-7.051096779296966,51.62932790224033,982,7.806585062832011,0.7198874587122338,357.42158002661495,-529.9446502451784,507,475,8,7,True,2018
48,2010-12-14 15:30:00,2011-04-11 03:00:00,-2.237804741495135,-35533.56035166763,-3.5533560351666873,46.2947543713572,1201,5.6188099924431825,0.8975186545996785,559.709397473307,-537.5689695299632,556,645,7,11,True,2010
49,2013-02-25 08:45:00,2013-06-20 17:00:00,-1.5324876986202867,-28998.72876004774,-2.899872876004537,47.59229534510433,1246,6.196562943286127,0.9204271656462673,565.6514004988774,-558.0857722142144,593,653,9,11,True,2013
50,2010-10-06 04:30:00,2011-01-31 15:45:00,0.5286784986703792,7029.940464082203,0.7029940464082756,46.78543764523625,1291,2.141441693817432,1.018539086904365,639.446284224198,-551.9586829801069,604,687,9,11,True,2010
