trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total
67,2013-11-20 13:30:00,0.936706,short,1.000000,43.621539,False,Standard (NTI+MB+IC),0.937206,5.000000,0.935863,0.935020,0.933896,2013-11-20 14:00:00,0.935863,take_profit_1,1,0.500000,2546.231455,8.430356,2546.231455,PPT,0.700000,2293.320789,TP1,0.300000,252.910667,2546.231455
68,2013-11-20 14:15:00,0.934474,short,1.000000,50.693542,False,Standard (NTI+MB+IC),0.934974,5.000000,0.933633,0.932792,0.931670,2013-11-20 14:30:00,0.933633,take_profit_1,1,0.250000,926.975580,8.410264,926.975580,PPT,0.700000,674.667651,TP1,0.300000,252.307929,926.975580
69,2013-11-20 14:45:00,0.932922,short,1.000000,57.419960,False,Standard (NTI+MB+IC),0.933422,5.000000,0.932083,0.931243,0.930123,2013-11-20 15:00:00,0.932083,take_profit_1,1,0.250000,568.410702,8.396300,568.410702,PPT,0.700000,316.521715,TP1,0.300000,251.888987,568.410702
70,2013-11-20 15:15:00,0.932604,short,1.000000,63.750011,False,Standard (NTI+MB+IC),0.933104,5.000000,0.931765,0.930926,0.929806,2013-11-20 15:30:00,0.933112,stop_loss,0,0.250000,-507.461052,-5.074611,-507.461052,,,,,,,
71,2013-11-20 15:45:00,0.933661,short,1.000000,60.908650,False,Standard (NTI+MB+IC),0.934161,5.000000,0.932820,0.931980,0.930860,2013-11-20 17:00:00,0.932820,take_profit_1,1,1.250000,483.445110,8.402945,483.445110,PPT,0.700000,231.356773,TP1,0.300000,252.088338,483.445110
72,2013-11-20 17:15:00,0.932518,short,1.000000,49.177681,False,Standard (NTI+MB+IC),0.933018,5.000000,0.931679,0.930840,0.929721,2013-11-20 17:30:00,0.933165,stop_loss,0,0.250000,-647.167236,-6.471672,-647.167236,,,,,,,
73,2013-11-20 17:45:00,0.932422,short,1.000000,42.985530,False,Standard (NTI+MB+IC),0.932922,5.000000,0.931583,0.930744,0.929625,2013-11-20 18:15:00,0.932943,stop_loss,0,0.500000,-520.819518,-5.208195,-520.819518,,,,,,,
74,2013-11-20 18:30:00,0.932902,short,1.000000,36.538845,False,Standard (NTI+MB+IC),0.933402,5.000000,0.932062,0.931222,0.930103,2013-11-20 20:00:00,0.932062,take_profit_1,1,1.500000,512.056543,8.396115,512.056543,PPT,0.700000,260.173090,TP1,0.300000,251.883452,512.056543
75,2013-11-20 20:15:00,0.931439,short,1.000000,29.430877,False,Standard (NTI+MB+IC),0.931939,5.000000,0.930601,0.929762,0.928644,2013-11-20 20:45:00,0.930601,take_profit_1,1,0.500000,775.658055,8.382949,775.658055,PPT,0.700000,524.169575,TP1,0.300000,251.488480,775.658055
76,2013-11-20 21:00:00,0.929915,short,1.000000,41.572488,False,Standard (NTI+MB+IC),0.930415,5.000000,0.929079,0.928242,0.927126,2013-11-20 22:15:00,0.930520,stop_loss,0,1.250000,-604.739483,-6.047395,-604.739483,,,,,,,
77,2013-11-20 22:30:00,0.930756,short,1.000000,43.426107,False,Standard (NTI+MB+IC),0.931256,5.000000,0.929918,0.929081,0.927964,2013-11-20 23:15:00,0.929918,take_profit_1,1,0.750000,479.427206,8.376803,479.427206,PPT,0.700000,228.123116,TP1,0.300000,251.304090,479.427206
78,2013-11-20 23:30:00,0.929571,short,1.000000,37.099621,False,Standard (NTI+MB+IC),0.930071,5.000000,0.928734,0.927898,0.926782,2013-11-21 00:30:00,0.930194,stop_loss,0,1.000000,-622.690681,-6.226907,-622.690681,,,,,,,
79,2013-11-21 00:45:00,0.930490,short,1.000000,15.036446,False,Standard (NTI+MB+IC),0.930990,5.000000,0.929652,0.928815,0.927698,2013-11-21 02:15:00,0.929652,take_profit_1,1,1.500000,671.159934,8.374409,671.159934,PPT,0.700000,419.927662,TP1,0.300000,251.232272,671.159934
80,2013-11-21 03:00:00,0.928325,short,1.000000,32.836437,False,Standard (NTI+MB+IC),0.928825,5.000000,0.927489,0.926654,0.925540,2013-11-21 03:15:00,0.928836,stop_loss,0,0.250000,-510.874467,-5.108745,-510.874467,,,,,,,
81,2013-11-21 03:30:00,0.929275,short,1.000000,36.601607,False,Standard (NTI+MB+IC),0.929775,5.000000,0.928438,0.927602,0.926487,2013-11-21 04:00:00,0.928438,take_profit_1,1,0.500000,1815.203103,8.363472,1815.203103,PPT,0.700000,1564.298931,TP1,0.300000,250.904172,1815.203103
82,2013-11-21 04:15:00,0.926592,short,1.000000,42.862078,False,Standard (NTI+MB+IC),0.927092,5.000000,0.925758,0.924924,0.923812,2013-11-21 05:00:00,0.927221,stop_loss,0,0.750000,-629.572617,-6.295726,-629.572617,,,,,,,
83,2013-11-21 05:15:00,0.926827,short,1.000000,46.320996,False,Standard (NTI+MB+IC),0.927327,5.000000,0.925992,0.925158,0.924046,2013-11-21 06:30:00,0.927436,stop_loss,0,1.250000,283.706263,-6.096599,283.706263,PPT,0.700000,466.604222,,,,466.604222
84,2013-11-21 06:45:00,0.926641,short,1.000000,40.403256,False,Standard (NTI+MB+IC),0.927141,5.000000,0.925807,0.924973,0.923861,2013-11-21 07:15:00,0.925807,take_profit_1,1,0.500000,740.662244,8.339766,740.662244,PPT,0.700000,490.469263,TP1,0.300000,250.192981,740.662244
85,2013-11-21 07:30:00,0.926483,short,1.000000,39.300157,False,Standard (NTI+MB+IC),0.926983,5.000000,0.925649,0.924815,0.923704,2013-11-21 08:30:00,0.925649,take_profit_1,1,1.000000,658.327577,8.338348,658.327577,PPT,0.700000,408.177137,TP1,0.300000,250.150440,658.327577
86,2013-11-21 08:45:00,0.924693,short,1.000000,44.146262,False,Standard (NTI+MB+IC),0.925193,5.000000,0.923861,0.923029,0.921919,2013-11-21 09:15:00,0.923861,take_profit_1,1,0.500000,356.829304,8.322238,356.829304,PPT,0.700000,107.162170,TP1,0.300000,249.667134,356.829304
87,2013-11-21 09:30:00,0.924079,short,1.000000,55.208871,False,Standard (NTI+MB+IC),0.924579,5.000000,0.923247,0.922416,0.921307,2013-11-21 09:45:00,0.923247,take_profit_1,1,0.250000,514.724964,8.316710,514.724964,PPT,0.700000,265.223664,TP1,0.300000,249.501301,514.724964
88,2013-11-21 10:00:00,0.924778,short,1.000000,53.541540,False,Standard (NTI+MB+IC),0.925278,5.000000,0.923946,0.923113,0.922003,2013-11-21 10:15:00,0.923946,take_profit_1,1,0.250000,1333.165457,8.323000,1333.165457,PPT,0.700000,1083.475445,TP1,0.300000,249.690012,1333.165457
89,2013-11-21 10:30:00,0.923717,short,1.000000,48.606512,False,Standard (NTI+MB+IC),0.924217,5.000000,0.922886,0.922054,0.920946,2013-11-21 10:45:00,0.924234,stop_loss,0,0.250000,-516.953907,-5.169539,-516.953907,,,,,,,
90,2013-11-21 13:15:00,0.921009,short,1.000000,27.919938,False,Standard (NTI+MB+IC),0.921509,5.000000,0.920180,0.919351,0.918246,2013-11-21 13:30:00,0.921656,stop_loss,0,0.250000,-647.752845,-6.477528,-647.752845,,,,,,,
91,2013-11-21 13:45:00,0.921854,short,1.000000,37.672780,False,Standard (NTI+MB+IC),0.922354,5.000000,0.921024,0.920195,0.919088,2013-11-21 15:00:00,0.922439,stop_loss,0,1.250000,-67.913025,-5.855218,-67.913025,PPT,0.700000,107.743518,,,,107.743518
92,2013-11-21 15:45:00,0.922254,short,1.000000,36.503576,False,Standard (NTI+MB+IC),0.922754,5.000000,0.921424,0.920594,0.919487,2013-11-21 16:45:00,0.922780,stop_loss,0,1.000000,-526.062118,-5.260621,-526.062118,,,,,,,
93,2013-11-21 23:00:00,0.919316,short,1.000000,40.294650,False,Standard (NTI+MB+IC),0.919816,5.000000,0.918489,0.917661,0.916558,2013-11-21 23:30:00,0.918489,take_profit_1,1,0.500000,1554.429869,8.273844,1554.429869,PPT,0.700000,1306.214543,TP1,0.300000,248.215326,1554.429869
94,2013-11-21 23:45:00,0.918075,short,1.000000,51.131157,False,Standard (NTI+MB+IC),0.918575,5.000000,0.917248,0.916422,0.915320,2013-11-22 00:15:00,0.918758,stop_loss,0,0.500000,15.141118,-6.837995,15.141118,PPT,0.700000,220.280964,,,,220.280964
95,2013-11-22 00:30:00,0.918600,short,1.000000,52.006926,False,Standard (NTI+MB+IC),0.919100,5.000000,0.917773,0.916947,0.915844,2013-11-22 00:45:00,0.917773,take_profit_1,1,0.250000,829.032642,8.267400,829.032642,PPT,0.700000,581.010638,TP1,0.300000,248.022004,829.032642
96,2013-11-22 01:00:00,0.917507,short,1.000000,51.987592,False,Standard (NTI+MB+IC),0.918007,5.000000,0.916682,0.915856,0.914755,2013-11-22 01:15:00,0.918020,stop_loss,0,0.250000,-512.654315,-5.126543,-512.654315,,,,,,,
97,2013-11-22 03:00:00,0.918978,short,1.000000,27.069431,False,Standard (NTI+MB+IC),0.919478,5.000000,0.918151,0.917324,0.916221,2013-11-22 04:00:00,0.919596,stop_loss,0,1.000000,324.084276,-6.183343,324.084276,PPT,0.700000,509.584570,,,,509.584570
