trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2018-03-14 05:00:00,0.788925,long,1.000000,60.109784,False,Standard (NTI+MB+IC),0.787925,10.000000,0.790109,0.791292,0.792870,2018-03-14 08:45:00,0.790109,tp1_pullback,2,3.750000,1479.234663,TP1,0.500000,591.693865,TP2,0.250000,591.693865,PPT,0.250000,295.846933,1479.234663,11.833877,1479.234663
2,2018-03-14 09:00:00,0.790685,long,1.000000,57.877038,False,Standard (NTI+MB+IC),0.789685,10.000000,0.791871,0.793057,0.794639,2018-03-14 09:30:00,0.789625,stop_loss,0,0.500000,-1060.699162,PPT,1.000000,-1060.699162,,,,,,,-1060.699162,-10.606992,-1060.699162
3,2018-03-14 10:30:00,0.788876,long,1.000000,21.485193,False,Standard (NTI+MB+IC),0.788043,8.333774,0.790059,0.791243,0.792820,2018-03-14 11:00:00,0.787888,stop_loss,0,0.500000,-987.565507,PPT,1.000000,-987.565507,,,,,,,-987.565507,-9.875655,-987.565507
4,2018-03-14 11:15:00,0.787034,long,1.000000,23.315132,False,Standard (NTI+MB+IC),0.788083,10.489260,0.788215,0.789395,0.790970,2018-03-14 11:30:00,0.788020,stop_loss,0,0.250000,985.742572,PPT,1.000000,985.742572,,,,,,,985.742572,9.857426,985.742572
5,2018-03-14 12:15:00,0.787842,short,1.000000,42.080429,False,Standard (NTI+MB+IC),0.788842,10.000000,0.786660,0.785479,0.783903,2018-03-15 08:45:00,0.783903,take_profit_3,3,20.500000,2166.565576,TP1,0.500000,590.881521,TP2,0.250000,590.881521,TP3,0.250000,984.802535,2166.565576,39.392101,2166.565576
6,2018-03-15 09:00:00,0.784241,short,1.000000,61.093605,False,Standard (NTI+MB+IC),0.785241,10.000000,0.783065,0.781888,0.780320,2018-03-15 09:30:00,0.784175,trailing_stop,1,0.500000,620.958074,TP1,0.500000,588.180789,PPT,0.500000,32.777285,,,,620.958074,0.655546,620.958074
7,2018-03-15 09:45:00,0.782514,short,1.000000,67.125842,False,Standard (NTI+MB+IC),0.783514,10.000000,0.781340,0.780166,0.778601,2018-03-15 20:00:00,0.778601,take_profit_3,3,10.250000,2151.912128,TP1,0.500000,586.885126,TP2,0.250000,586.885126,TP3,0.250000,978.141876,2151.912128,39.125675,2151.912128
8,2018-03-15 20:15:00,0.778198,short,1.000000,48.377703,False,Standard (NTI+MB+IC),0.779198,10.000000,0.777031,0.775864,0.774307,2018-03-15 22:15:00,0.779348,stop_loss,1,2.000000,8.760987,TP1,0.500000,583.648702,PPT,0.500000,-574.887715,,,,8.760987,-11.497754,8.760987
9,2018-03-15 23:00:00,0.778797,short,1.000000,28.457014,False,Standard (NTI+MB+IC),0.779797,10.000000,0.777629,0.776461,0.774903,2018-03-16 02:00:00,0.779886,stop_loss,0,3.000000,-1088.736867,PPT,1.000000,-1088.736867,,,,,,,-1088.736867,-10.887369,-1088.736867
10,2018-03-16 02:30:00,0.780015,short,1.000000,14.732508,False,Standard (NTI+MB+IC),0.781015,10.000000,0.778845,0.777675,0.776115,2018-03-16 08:00:00,0.776115,take_profit_3,3,5.500000,2145.041201,TP1,0.500000,585.011237,TP2,0.250000,585.011237,TP3,0.250000,975.018728,2145.041201,39.000749,2145.041201
11,2018-03-16 08:15:00,0.776685,short,1.000000,50.666497,False,Standard (NTI+MB+IC),0.777685,10.000000,0.775520,0.774355,0.772802,2018-03-16 10:45:00,0.772802,take_profit_3,3,2.500000,2135.884524,TP1,0.500000,582.513961,TP2,0.250000,582.513961,TP3,0.250000,970.856602,2135.884524,38.834264,2135.884524
12,2018-03-16 11:00:00,0.771875,short,1.000000,65.950946,False,Standard (NTI+MB+IC),0.772875,10.000000,0.770717,0.769559,0.768015,2018-03-16 11:15:00,0.772905,stop_loss,0,0.250000,-1030.259814,PPT,1.000000,-1030.259814,,,,,,,-1030.259814,-10.302598,-1030.259814
13,2018-03-16 11:30:00,0.772663,short,1.000000,67.227993,False,Standard (NTI+MB+IC),0.773663,10.000000,0.771504,0.770345,0.768800,2018-03-19 00:45:00,0.768800,take_profit_3,3,61.250000,2124.824463,TP1,0.500000,579.497581,TP2,0.250000,579.497581,TP3,0.250000,965.829302,2124.824463,38.633172,2124.824463
14,2018-03-19 01:00:00,0.769091,short,1.000000,55.653762,False,Standard (NTI+MB+IC),0.770091,10.000000,0.767937,0.766783,0.765245,2018-03-19 03:15:00,0.770116,stop_loss,0,2.250000,-1025.014556,PPT,1.000000,-1025.014556,,,,,,,-1025.014556,-10.250146,-1025.014556
15,2018-03-19 03:30:00,0.770159,short,1.000000,20.496076,False,Standard (NTI+MB+IC),0.771159,10.000000,0.769003,0.767848,0.766308,2018-03-19 06:30:00,0.771259,stop_loss,0,3.000000,-1100.929074,PPT,1.000000,-1100.929074,,,,,,,-1100.929074,-11.009291,-1100.929074
16,2018-03-20 21:45:00,0.769800,long,1.000000,50.121809,False,Standard (NTI+MB+IC),0.768800,10.000000,0.770954,0.772109,0.773649,2018-03-21 04:45:00,0.768789,stop_loss,0,7.000000,-1010.369518,PPT,1.000000,-1010.369518,,,,,,,-1010.369518,-10.103695,-1010.369518
17,2018-03-21 05:00:00,0.768317,long,1.000000,34.926560,False,Standard (NTI+MB+IC),0.769211,8.938336,0.769469,0.770622,0.772158,2018-03-21 05:15:00,0.769058,stop_loss,0,0.250000,741.370803,PPT,1.000000,741.370803,,,,,,,741.370803,7.413708,741.370803
18,2018-03-21 05:30:00,0.768491,short,1.000000,37.410711,False,Standard (NTI+MB+IC),0.769491,10.000000,0.767338,0.766186,0.764649,2018-03-21 09:30:00,0.769566,stop_loss,1,4.000000,39.082603,TP1,0.500000,576.368327,PPT,0.500000,-537.285724,,,,39.082603,-10.745714,39.082603
19,2018-03-21 11:45:00,0.770710,long,1.000000,41.277451,False,Standard (NTI+MB+IC),0.769710,10.000000,0.771866,0.773022,0.774563,2018-03-21 14:00:00,0.774563,take_profit_3,3,2.250000,2119.452150,TP1,0.500000,578.032405,TP2,0.250000,578.032405,TP3,0.250000,963.387341,2119.452150,38.535494,2119.452150
20,2018-03-21 14:15:00,0.774506,long,1.000000,66.811731,False,Standard (NTI+MB+IC),0.773506,10.000000,0.775668,0.776830,0.778379,2018-03-21 14:30:00,0.773461,stop_loss,0,0.250000,-1044.841679,PPT,1.000000,-1044.841679,,,,,,,-1044.841679,-10.448417,-1044.841679
21,2018-03-21 14:45:00,0.775630,long,1.000000,66.084001,False,Standard (NTI+MB+IC),0.774630,10.000000,0.776794,0.777957,0.779509,2018-03-21 15:00:00,0.775714,trailing_stop,1,0.250000,623.338773,TP1,0.500000,581.722776,PPT,0.500000,41.615997,,,,623.338773,0.832320,623.338773
22,2018-03-21 15:15:00,0.776622,long,1.000000,68.499253,False,Standard (NTI+MB+IC),0.775622,10.000000,0.777787,0.778952,0.780505,2018-03-21 21:45:00,0.775571,stop_loss,1,6.500000,57.152838,TP1,0.500000,582.466402,PPT,0.500000,-525.313564,,,,57.152838,-10.506271,57.152838
23,2018-03-21 22:00:00,0.774943,long,1.000000,18.278069,False,Standard (NTI+MB+IC),0.773943,10.000000,0.776105,0.777268,0.778818,2018-03-21 23:00:00,0.773775,stop_loss,0,1.000000,-1168.038443,PPT,1.000000,-1168.038443,,,,,,,-1168.038443,-11.680384,-1168.038443
24,2018-03-21 23:15:00,0.774293,long,1.000000,21.532725,False,Standard (NTI+MB+IC),0.774074,2.188591,0.775455,0.776616,0.778165,2018-03-21 23:30:00,0.773995,stop_loss,0,0.250000,-298.121192,PPT,1.000000,-298.121192,,,,,,,-298.121192,-2.981212,-298.121192
