trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl
167,2020-11-02 19:15:00,0.706083,long,1.000000,28.442359,False,Standard (NTI+MB+IC),0.705583,5.000000,0.706718,0.707354,0.708201,2020-11-02 19:45:00,0.705569,stop_loss,0,0.500000,-514.166792,,,,,-5.141668,-514.166792,,,
168,2020-11-02 23:30:00,0.703327,short,1.000000,40.719537,False,Standard (NTI+MB+IC),0.703827,5.000000,0.702694,0.702061,0.701217,2020-11-03 00:00:00,0.703880,stop_loss,0,0.500000,160.734818,PPT,0.700000,326.792173,326.792173,-5.535245,160.734818,,,
169,2020-11-03 01:00:00,0.704025,short,1.000000,29.377961,False,Standard (NTI+MB+IC),0.704525,5.000000,0.703391,0.702757,0.701913,2020-11-03 01:45:00,0.704679,stop_loss,0,0.750000,-654.765294,,,,,-6.547653,-654.765294,,,
170,2020-11-03 02:45:00,0.706976,long,1.000000,33.776486,False,Standard (NTI+MB+IC),0.706476,5.000000,0.707612,0.708248,0.709097,2020-11-03 03:00:00,0.707612,take_profit_1,1,0.250000,767.868374,PPT,0.700000,576.984925,767.868374,6.362782,767.868374,TP1,0.300000,190.883449
171,2020-11-03 03:15:00,0.709545,long,1.000000,44.677394,False,Standard (NTI+MB+IC),0.709045,5.000000,0.710184,0.710822,0.711674,2020-11-03 03:45:00,0.710184,take_profit_1,1,0.500000,691.911728,PPT,0.700000,500.334515,691.911728,6.385907,691.911728,TP1,0.300000,191.577214
172,2020-11-03 04:00:00,0.710762,long,1.000000,58.588549,False,Standard (NTI+MB+IC),0.710262,5.000000,0.711402,0.712042,0.712895,2020-11-03 04:30:00,0.711402,take_profit_1,1,0.500000,1156.322702,PPT,0.700000,964.416891,1156.322702,6.396860,1156.322702,TP1,0.300000,191.905811
173,2020-11-03 04:45:00,0.712441,long,1.000000,69.789489,False,Standard (NTI+MB+IC),0.711941,5.000000,0.713083,0.713724,0.714579,2020-11-03 05:15:00,0.711745,stop_loss,0,0.500000,-696.753608,,,,,-6.967536,-696.753608,,,
174,2020-11-03 05:30:00,0.711486,long,1.000000,70.474490,False,Standard (NTI+MB+IC),0.710986,5.000000,0.712126,0.712766,0.713620,2020-11-03 06:00:00,0.712126,take_profit_1,1,0.500000,629.190944,PPT,0.700000,437.089836,629.190944,6.403370,629.190944,TP1,0.300000,192.101108
175,2020-11-03 06:15:00,0.712216,long,1.000000,67.020235,False,Standard (NTI+MB+IC),0.711716,5.000000,0.712857,0.713498,0.714352,2020-11-03 06:45:00,0.712857,take_profit_1,1,0.500000,531.316960,PPT,0.700000,339.018725,531.316960,6.409941,531.316960,TP1,0.300000,192.298236
176,2020-11-03 07:00:00,0.713275,long,1.000000,68.394236,False,Standard (NTI+MB+IC),0.712775,5.000000,0.713917,0.714559,0.715415,2020-11-03 08:15:00,0.713917,take_profit_1,1,1.250000,559.903499,PPT,0.700000,367.319179,559.903499,6.419477,559.903499,TP1,0.300000,192.584320
177,2020-11-03 08:30:00,0.713227,long,1.000000,75.581187,False,Standard (NTI+MB+IC),0.712727,5.000000,0.713869,0.714511,0.715366,2020-11-03 08:45:00,0.712578,stop_loss,0,0.250000,-649.098611,,,,,-6.490986,-649.098611,,,
178,2020-11-03 09:00:00,0.713628,long,1.000000,66.658148,False,Standard (NTI+MB+IC),0.713128,5.000000,0.714270,0.714913,0.715769,2020-11-03 09:45:00,0.712981,stop_loss,0,0.750000,59.405124,PPT,0.700000,253.369679,253.369679,-6.465485,59.405124,,,
179,2020-11-03 10:00:00,0.713843,long,1.000000,51.172381,False,Standard (NTI+MB+IC),0.713343,5.000000,0.714485,0.715128,0.715984,2020-11-03 10:30:00,0.714485,take_profit_1,1,0.500000,764.715045,PPT,0.700000,571.977465,764.715045,6.424586,764.715045,TP1,0.300000,192.737580
180,2020-11-03 10:45:00,0.716552,long,1.000000,51.302784,False,Standard (NTI+MB+IC),0.716052,5.000000,0.717197,0.717842,0.718702,2020-11-03 11:00:00,0.717197,take_profit_1,1,0.250000,542.058660,PPT,0.700000,348.589616,542.058660,6.448968,542.058660,TP1,0.300000,193.469044
181,2020-11-03 11:15:00,0.716724,long,1.000000,56.648004,False,Standard (NTI+MB+IC),0.716224,5.000000,0.717369,0.718015,0.718875,2020-11-03 11:45:00,0.716137,stop_loss,0,0.500000,-587.471224,,,,,-5.874712,-587.471224,,,
