sim,start_date,end_date,sharpe,return,pnl,trades,win_rate,max_dd,profit_factor,annual_return,annual_pnl
1,2014-12-03 08:30:00,2015-04-10 11:00:00,2.645855184648448,4.970359018068458,49703.590180682084,1863,63.660762211486855,2.0321466721073898,1.1284041050227118,20.15756712883319,201575.67128832178
2,2018-06-22 02:00:00,2018-10-26 01:45:00,0.8979746194470686,0.9880731746541684,9880.73174654091,1096,65.23722627737226,1.6229276171634042,1.05610203625953,4.007185652764127,40071.856527638134
3,2021-05-17 05:45:00,2021-09-21 01:30:00,4.196253543934552,4.213884824921226,42138.84824921535,1075,68.65116279069767,0.8324346146659269,1.2697676467485999,17.089644012180525,170896.4401218178
4,2013-07-07 23:00:00,2013-11-10 22:45:00,-0.7676490304127587,-1.188285275607172,-11882.852756072325,1592,60.61557788944724,2.4371207298067836,0.9685359099217941,-4.819156951073531,-48191.56951073776
5,2013-07-21 23:15:00,2013-11-24 23:00:00,1.60190927271673,2.470442065578897,24704.420655787937,1490,62.751677852349,1.4921901096325079,1.0746862879031946,10.019015043736637,100190.15043736219
6,2010-01-21 02:00:00,2010-05-27 01:30:00,3.249709632608529,9.248072810247471,92480.72810248019,2199,58.2537517053206,3.457861673525801,1.1774424255809586,37.50607306378141,375060.7306378363
7,2019-10-15 12:45:00,2020-02-20 06:15:00,2.554673420808953,1.8594736722401344,18594.736722402125,736,65.625,0.823709055198911,1.1876237734160244,7.541198781862767,75411.98781863083
8,2014-07-02 06:15:00,2014-11-05 06:00:00,1.4455832115063083,2.3021082985458197,23021.082985456887,1316,65.72948328267478,2.843587626025888,1.0939273104778646,9.336328099658045,93363.28099657515
9,2013-09-18 02:30:00,2014-01-26 18:00:00,3.9991867256722444,5.999235021203151,59992.35021203317,1522,66.03153745072274,1.813495305875781,1.223743071781568,24.33023091932389,243302.30919324563
10,2018-07-12 06:45:00,2018-11-15 06:30:00,1.8901343917453628,1.9640944985385984,19640.944985384347,1090,65.04587155963303,1.3781631410971364,1.1185892444739645,7.965494355184315,79654.94355183652
11,2011-04-11 07:15:00,2011-08-15 07:00:00,1.9383405821547661,6.0978271765345475,60978.27176535181,2321,57.43214131839724,4.125023206373814,1.101292647858737,24.73007688261233,247300.768826149
12,2014-12-23 10:30:00,2015-04-30 13:00:00,0.7715514995245009,1.4062897440475295,14062.897440475206,1804,60.75388026607539,3.312112526935713,1.0341824501821812,5.703286184192758,57032.861841927224
13,2018-02-02 02:30:00,2018-06-08 02:15:00,1.4860565088365414,2.0685686326209574,20685.68632621098,1261,65.66217287866772,2.1017469997088147,1.1001530310575434,8.389195010073882,83891.95010074452
14,2020-06-02 11:30:00,2020-10-06 11:15:00,-3.6856659432308483,-4.360688017191959,-43606.880171919045,1435,58.67595818815331,5.516589025509456,0.8638989421386559,-17.685012514167386,-176850.12514167168
15,2016-01-04 21:30:00,2016-05-09 21:15:00,-0.3026958240001105,-0.50724932246916,-5072.493224695047,1730,60.982658959537574,4.619192618852969,0.987021114851661,-2.057177807791593,-20571.77807792991
16,2017-05-24 05:30:00,2017-09-27 05:15:00,0.05992649402745419,0.019444094357674475,194.44094357709866,1099,63.05732484076433,3.239470737102916,1.0009330453282959,0.07885660489501314,788.5660489515668
17,2010-10-14 07:00:00,2011-02-17 10:15:00,0.4638272149991637,0.7777092233132105,7777.09223313267,2119,58.56536101934875,2.478492044076956,1.0148435411445884,3.1540429612146865,31540.42961214916
18,2010-05-26 20:15:00,2010-09-29 19:45:00,0.8796065188594473,1.9334492189002805,19334.49218900595,2243,55.37226928221133,4.81598392775346,1.032975952508993,7.841210721095582,78412.10721096856
19,2024-11-07 13:00:00,2025-03-17 03:45:00,0.9755066341150369,0.7419165968584014,7419.16596858494,1144,65.20979020979021,1.3878001446265265,1.0372532101001715,3.008883976147961,30088.839761483367
20,2023-02-23 23:45:00,2023-08-15 21:30:00,1.6371531330274451,2.598657454504678,25986.574545047544,1501,65.02331778814124,1.850280390160128,1.0917739204933898,10.538999676602305,105389.99676602615
21,2017-02-07 03:45:00,2017-06-13 03:30:00,2.319788327894484,2.4091244190839234,24091.244190841364,1142,66.81260945709282,1.4604675260462157,1.1450361789015737,9.770337921840355,97703.3792184122
22,2014-10-23 05:15:00,2015-03-02 07:45:00,3.9987450257189074,6.652936128359683,66529.36128359348,1842,65.36373507057546,1.7019252064857735,1.1821870798046308,26.981352076125383,269813.5207612402
23,2014-06-03 04:00:00,2014-10-07 03:45:00,2.892786591210664,3.5333088751262753,35333.088751265575,1028,66.82879377431907,1.0264363477295015,1.2132428155250123,14.329530438012116,143295.3043801326
24,2015-02-12 18:00:00,2015-06-18 17:45:00,-1.788441339845951,-2.7532436550464596,-27532.43655046428,1687,59.33609958506224,4.38066360974951,0.9327160054188092,-11.165932601021753,-111659.32601021625
25,2019-07-10 00:45:00,2019-11-13 00:30:00,2.7874669740033178,2.110694239098683,21106.94239098639,785,69.80891719745223,1.4621137078047,1.1952598793658962,8.56003774745577,85600.37747455592
