sim,start_date,end_date,sharpe,return,pnl,trades,win_rate,max_dd,profit_factor,annual_return,annual_pnl
1,2014-12-03 08:30:00,2015-04-10 11:00:00,2.184482558276702,7.693414810482925,76934.14810482846,1858,62.809472551130256,4.493657267926338,1.0977400653107139,31.201071175847417,312010.711758471
2,2015-09-11 04:45:00,2016-01-19 07:30:00,2.636346779674996,7.50763660653599,75076.36606536273,1520,65.19736842105263,3.302981085301305,1.1254839410344326,30.44763734872929,304476.3734873044
3,2018-10-25 13:30:00,2019-03-04 03:15:00,1.2956182544221861,3.2528722662714893,32528.722662715,1109,66.90712353471596,2.513435375302905,1.0894015788478812,13.192204190989928,131922.0419098997
4,2012-01-03 00:00:00,2012-05-07 23:45:00,0.029283409748889655,-0.8440084290657193,-8440.084290655606,1849,59.59978366684694,7.593460660807683,0.9903454308210348,-3.4229230734331946,-34229.230734325516
5,2024-04-10 04:15:00,2024-08-14 04:00:00,0.8239853008426286,1.5069177677281433,15069.177677282745,1051,67.17411988582302,1.8277982117266132,1.0472545501681247,6.111388724675248,61113.8872467578
